env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,seed_gain,seed_gain_ratio,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,best_u_gain,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-4.92025873641221,1.2015483837443678e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922641392861164,1.194974415597765e-07,1,-6.922641392861164,1.194974415597765e-07,-6.621611397197182,-2.0023826564489537,-2.0023826564489537,"[-0.050854, -0.271303, 0.592729, -0.00187, 0.083244]",5.607966984000557,0.8668297395883738,0.2548596982558862,0.7498078795407068,-0.12505,,False
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-5.869846941231754,1.349438382496446e-06,-6.038712302676681,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.9226344385968375,1.194993550619807e-07,1,-6.9226344385968375,1.194993550619807e-07,-6.822291106708843,-1.0527874973650837,-1.0527874973650837,"[-0.051315, -0.270743, 0.592646, -0.002111, 0.083185]",5.704407989544811,0.8548831345343829,0.2548596982558862,0.7498078795407068,-0.12505,,False
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-2.862286427980361,0.0013731360590266,-6.016093178802871,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.403858323202484,3.945860040648065e-07,12,-6.2488960571016,5.637725715237586e-07,-3.430649492107485,-3.541571895222123,-3.386609629121239,"[0.016016, -0.22859, 0.675762, -0.023353, 0.056279]",6.220109228695789,0.0,0.3777590657737335,1.1113829531442587,0.0458637311103646,,False
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-5.171284436126464,6.740863980369181e-06,-6.016093178802871,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922633608229476,1.194995835439513e-07,1,-6.922633608229476,1.194995835439513e-07,-6.203179444197726,-1.751349172103012,-1.751349172103012,"[-0.050512, -0.271749, 0.592239, -0.002634, 0.082866]",5.919176411890652,0.8864813635307962,0.2920123131844493,0.8591124247850819,-0.06595,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-4.172915516604246,6.715594788250762e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922633608229476,1.194995835439513e-07,2,-6.922633608229476,1.194995835439513e-07,-5.197850075736349,-2.7497180916252297,-2.7497180916252297,"[-0.043842, -0.265584, 0.608867, -0.000818, 0.080889]",5.562109214426908,0.5883096902746303,0.2467105176811599,0.7258326498416002,-0.1391635,,False
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-5.788836126657082,1.6261622435652534e-06,-6.546717257202107,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922636306917596,1.1949884098074144e-07,1,-6.922636306917596,1.1949884098074144e-07,-6.822292975029602,-1.133800180260514,-1.133800180260514,"[-0.054368, -0.26829, 0.592647, -0.002489, 0.082206]",6.170789883962866,1.056988872563684,0.2725217471650651,0.801770365298809,-0.09595,,False
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-4.882511362271473,1.3106557517593828e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922636306917596,1.1949884098074144e-07,1,-6.922636306917596,1.1949884098074144e-07,-6.0288892277924,-2.0401249446461227,-2.0401249446461227,"[-0.050854, -0.271303, 0.592729, -0.00187, 0.083244]",5.607966984000557,0.8668297395883738,0.2548596982558862,0.7498078795407068,-0.12505,,False
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-4.716610012877399,1.920392437820805e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922641392861164,1.194974415597765e-07,1,-6.922641392861164,1.194974415597765e-07,-6.079669159435279,-2.2060313799837648,-2.2060313799837648,"[-0.050854, -0.271303, 0.592729, -0.00187, 0.083244]",5.607966984000557,0.8668297395883738,0.2548596982558862,0.7498078795407068,-0.12505,,False
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-4.60821868974639,2.4647978714078155e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922641392861164,1.194974415597765e-07,1,-6.922641392861164,1.194974415597765e-07,-5.558752406995936,-2.314422703114774,-2.314422703114774,"[-0.050854, -0.271303, 0.592729, -0.00187, 0.083244]",5.607966984000557,0.8668297395883738,0.2548596982558862,0.7498078795407068,-0.12505,,False
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-4.823952001683003,1.4998505901435857e-05,-4.917870460761809,0.0,15,15,False,0.2728042705406059,0.802601560872627,,-6.922641392861164,1.194974415597765e-07,1,-6.922641392861164,1.194974415597765e-07,-6.307608712856411,-2.0986893911781603,-2.0986893911781603,"[-0.050854, -0.271303, 0.592729, -0.00187, 0.083244]",5.607966984000557,0.8668297395883738,0.2548596982558862,0.7498078795407068,-0.12505,,False
