env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL10x20_RxHeavy,0,"[0.03816959521885451, -0.3, -0.008173453327049444, 0.009073215236822745, 5.386517075769626, 1.4352721736732879, -0.24070342167768582]","[0.03817, -0.3, 0.644584, -0.008173, 0.009073]",5.386517075769626,1.4352721736732879,0.5858264789862128,0.5745086584154288,-0.24070342167768582,0.21653634494161295,9.32703244268517e-05,0.00011658790553356462,,-4.021231698588836,-4.03025651260622,-6.822290276341483,1.50560040760695e-07,19.28789756699445
IL10x20_RxHeavy,1,"[0.04227918428316695, -0.2942661415719003, -0.001961694342073581, 0.006677762135306171, 5.120061279130312, 1.3183007735905792, -0.2116034216776858]","[0.042279, -0.294266, 0.654815, -0.001962, 0.006678]",5.120061279130312,1.3183007735905792,0.6264248787918894,0.6143227211845537,-0.2116034216776858,0.22709056810858702,5.007334993063707e-05,6.259168741329634e-05,,-4.2832583538762545,-4.300393353124277,-6.307600928224724,4.924918769929309e-07,18.134947146805636
IL10x20_RxHeavy,2,"[0.046770671652271584, -0.2882386106098751, 0.003273243736618787, 0.004528316619072312, 4.863103942871193, 1.2014706394529429, -0.1833764216776858]","[0.046771, -0.288239, 0.657189, 0.003273, 0.004528]",4.863103942871193,1.2014706394529429,0.6684916664417342,0.6555768034144691,-0.1833764216776858,0.2354884025398564,2.6516311940462158e-05,3.3145389925577695e-05,,-4.515843075408235,-4.576486880542102,-5.889176759856955,1.2906938483470098e-06,17.019531264425105
IL10x20_RxHeavy,3,"[0.05154489543375269, -0.28205310975106923, 0.007572132753452591, 0.002588440302422762, 4.615624162211315, 1.0843329486435864, -0.1559962316776858]","[0.051545, -0.282053, 0.656241, 0.007572, 0.002588]",4.615624162211315,1.0843329486435864,0.7119937602970919,0.6982384625841835,-0.1559962316776858,0.24293017552793078,1.4013367632687206e-05,1.7516709540859006e-05,,-4.7308596791296464,-4.853457484375692,-6.589300274896143,2.574540482314517e-07,16.37342703269081
IL10x20_RxHeavy,4,"[0.05650058708129059, -0.275864718652568, 0.011087154403966407, 0.0008097063013133893, 4.377748993186489, 0.9662130675447513, -0.1825550159776858]","[0.056501, -0.275865, 0.655738, 0.011087, 0.00081]",4.377748993186489,0.9662130675447513,0.669757218941927,0.6568179061899843,-0.1825550159776858,0.22175049031067823,5.369269166688129e-06,6.711586458360162e-06,,-4.927042698289006,-5.270084823886041,-6.890330270560124,1.2872702411572582e-07,16.089955691833044
IL10x20_RxHeavy,5,"[0.061323009431162805, -0.2695778580636704, 0.014027161621371558, -0.0007129219745035298, 4.139671107251774, 0.8677900435645854, -0.15679299520668583]","[0.061323, -0.269578, 0.654359, 0.014027, -0.000713]",4.139671107251774,0.8677900435645854,0.7106887227647908,0.6969586376039921,-0.15679299520668583,0.2287003196878499,2.8079231978833237e-06,3.5099039973541547e-06,,-5.132899940991482,-5.551614775171728,-7.123320272005464,7.528002038034748e-08,15.273941840994247
IL10x20_RxHeavy,6,"[0.0661366030140414, -0.26354194061598163, 0.01681195143161119, -0.002136368213701018, 3.910726112052378, 0.7676401475949031, -0.13180383505881582]","[0.066137, -0.263542, 0.651373, 0.016812, -0.002136]",3.910726112052378,0.7676401475949031,0.7527808876240922,0.7382376067707093,-0.13180383505881582,0.23520981085574988,1.4716208915361053e-06,1.8395261144201315e-06,,-5.324642988497825,-5.832204055432888,-6.55131915746053,2.8098351595507725e-07,15.520851455827842
IL10x20_RxHeavy,7,"[0.07094013037631067, -0.2577706263893388, 0.019439695720108185, -0.003549394992503424, 3.69114504924638, 0.6649784613217704, -0.10756434971538192]","[0.07094, -0.257771, 0.6483, 0.01944, -0.003549]",3.69114504924638,0.6649784613217704,0.7959908391542286,0.7806127676318806,-0.10756434971538192,0.24172505446496734,7.772136787228293e-07,9.715170984035366e-07,,-5.504334052257906,-6.109459564555055,-5.766321006340989,1.712690913617788e-06,15.745306924297095
IL10x20_RxHeavy,8,"[0.07573945313678858, -0.252287197498123, 0.021913704079413506, -0.005033698404914321, 3.4813773408899533, 0.5587695288229693, -0.1310766504985128]","[0.075739, -0.252287, 0.645026, 0.021914, -0.005034]",3.4813773408899533,0.5587695288229693,0.7540424030493827,0.7394747504652179,-0.1310766504985128,0.22270162161036727,2.877512689314149e-07,3.5968908616426863e-07,,-5.663810055785064,-6.540982752533283,-5.808492714622074,1.5542013625956583e-06,15.931453123482404
IL10x20_RxHeavy,9,"[0.08030604548816346, -0.24676046538796553, 0.024161379398231528, -0.0061932450380426055, 3.269082469682991, 0.47542385534141957, -0.10826971873887585]","[0.080306, -0.24676, 0.642579, 0.024161, -0.006193]",3.269082469682991,0.47542385534141957,0.7946990622809792,0.7793459471226627,-0.10826971873887585,0.22921763815587623,1.5208362214249938e-07,1.9010452767812423e-07,,-5.836068267481249,-6.817917552522366,-5.180562567988107,6.598381657736803e-06,15.382034887516319
