env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL20x10_TxHeavy,0,"[0.03681690148519031, -0.3, -0.008946893544960977, 0.008255333893086005, 5.429249533413046, 1.7648806708446794, -0.18070342167768583]","[0.036817, -0.3, 0.645981, -0.008947, 0.008255]",5.429249533413046,1.7648806708446794,0.6726187934167877,0.6596241967409902,-0.18070342167768583,0.13671264459963103,6.54922130762574e-05,8.186526634532175e-05,,-5.241801092921178,-4.183810333886857,-2.84514591425089,0.0014284139593885561,20.141621306203625
IL20x10_TxHeavy,1,"[0.039873938920316904, -0.2930158389495158, -0.0037052033998115465, 0.005341453153697864, 5.217521390836332, 1.9645108129600795, -0.1516034216776858]","[0.039874, -0.293016, 0.658064, -0.003705, 0.005341]",5.217521390836332,1.9645108129600795,0.7192319931806536,0.705336857095865,-0.1516034216776858,0.1514128036781719,3.75913774876194e-05,4.6989221859524255e-05,,-5.523919409908844,-4.424911759832581,-3.079126607499312,0.0008334381815177048,19.214223159663778
IL20x10_TxHeavy,2,"[0.04351757582695163, -0.28563501320729545, 0.0001349074883241117, 0.0028858166125115383, 4.993614283661181, 2.1363885609568904, -0.12337642167768581]","[0.043518, -0.285635, 0.667827, 0.000135, 0.002886]",4.993614283661181,2.1363885609568904,0.7675311277655632,0.7527028810096726,-0.12337642167768581,0.16605536862767395,2.1839420110241573e-05,2.7299275137801967e-05,,-5.781064020770395,-4.660758897389722,-2.9540052024512846,0.0011117184098305252,17.49352859850613
IL20x10_TxHeavy,3,"[0.047685943570053964, -0.2782354119172943, 0.002732386652193132, 0.000783219743531773, 4.7514982415492275, 2.264245131361593, -0.09599623167768581]","[0.047686, -0.278235, 0.670563, 0.002732, 0.000783]",4.7514982415492275,2.264245131361593,0.8174782143682897,0.801685019484446,-0.09599623167768581,0.1786606740465912,1.2580459481947568e-05,1.572557435243446e-05,,-5.988458880578587,-4.900303496662596,-3.053291977573752,0.000884520743753771,16.44748627148646
IL20x10_TxHeavy,4,"[0.052266565503319394, -0.2710848813368561, 0.004365415599689527, -0.0011129256947493126, 4.495308562267929, 2.3342719160881384, -0.06943744737768581]","[0.052267, -0.271085, 0.67117, 0.004365, -0.001113]",4.495308562267929,2.3342719160881384,0.8690304058663652,0.8522412531787439,-0.06943744737768581,0.1899192438804463,7.1655550015182395e-06,8.9569437518978e-06,,-6.167065666661698,-5.144750166081425,-2.9990429124797817,0.0010022062055546792,15.895076210320378
IL20x10_TxHeavy,5,"[0.05718739610907449, -0.26436683957902296, 0.005319057984429746, -0.0029800946696933984, 4.237697121908395, 2.332146541666961, -0.043675426606685816]","[0.057187, -0.264367, 0.670147, 0.005319, -0.00298]",4.237697121908395,2.332146541666961,0.9221402796742179,0.9043250756832576,-0.043675426606685816,0.19950596345814464,4.007267859026219e-06,5.009084823782774e-06,,-6.3189790461103525,-5.397151626918686,-2.869543946019777,0.0013503801767139095,15.549410126442547
IL20x10_TxHeavy,6,"[0.06238360586024546, -0.2581903289191654, 0.005784346242230407, -0.004984555501737258, 3.9988688277200697, 2.258615198794115, -0.0686645867545558]","[0.062384, -0.25819, 0.668657, 0.005784, -0.004985]",3.9988688277200697,2.258615198794115,0.8705782895738103,0.8537592326898208,-0.0686645867545558,0.18515084205934632,1.7731521520518849e-06,2.216440190064856e-06,,-6.432577281353801,-5.7512539965133564,-2.7380807919077745,0.001827760165847063,15.314652264037704
IL20x10_TxHeavy,7,"[0.06723009235209944, -0.25189381561923496, 0.00626176915805131, -0.006370623340476153, 3.777544489152234, 2.3574625666344615, -0.04442510141112191]","[0.06723, -0.251894, 0.668244, 0.006262, -0.006371]",3.777544489152234,2.3574625666344615,0.9205498633931208,0.9027653853026584,-0.04442510141112191,0.19661585091591977,1.0845673790544218e-06,1.3557092238180273e-06,,-6.5760982700501485,-5.964743462144443,-2.652158793238194,0.0022276205044516055,14.678261738106595
IL20x10_TxHeavy,8,"[0.07234245557985827, -0.2462452837423052, 0.006385992485828265, -0.008205770139473996, 3.545800616950567, 2.317743471621872, -0.020912800627991033]","[0.072342, -0.246245, 0.66682, 0.006386, -0.008206]",3.545800616950567,2.317743471621872,0.9717613429726611,0.9529874894308729,-0.020912800627991033,0.20506242251233617,6.144275995640974e-07,7.680344994551218e-07,,-6.695548715147557,-6.211529284400408,-2.5938594409192377,0.0025476546656741494,14.49711153282509
IL20x10_TxHeavy,9,"[0.07761122259202068, -0.24129021424040548, 0.006217751573550271, -0.010541193367206513, 3.366211718662871, 2.177160964741801, -0.04371973238762799]","[0.077611, -0.24129, 0.66434, 0.006218, -0.010541]",3.366211718662871,2.177160964741801,0.9220462097217437,0.9042328231065447,-0.04371973238762799,0.19030387384914912,2.725535663928895e-07,3.406919579911119e-07,,-6.801122840880603,-6.564548130808845,-2.515786469960075,0.0030493939199302492,14.437847269491712
