env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
CD_Sweep_15ps,0,"[0.0005336507575497688, 0.0028303927693622, -0.025312028419382314, -0.3, -0.014828001988556468, 0.050129037139619, -0.002562056363329233, -0.004529545086020096, -0.007012646975195595, -0.00307729936098836]","[0.000534, 0.00283, -0.025312, -0.3, 0.599275, -0.014828, 0.050129, -0.002562, -0.00453]",-0.007012646975195595,-0.00307729936098836,-2.358009140015619,-2.8743348471193766,-3.3271688609510006,0.000470794238139289,1.8908254006919927
CD_Sweep_15ps,1,"[0.0014384507931359165, 0.005936323156460576, -0.017174821360274962, -0.3, -0.028876128584784562, 0.04340481508831616, -0.0038198875707885363, -0.007942150219177078, -0.013582192769039103, -0.00572837783702356]","[0.001438, 0.005936, -0.017175, -0.3, 0.591407, -0.028876, 0.043405, -0.00382, -0.007942]",-0.013582192769039103,-0.00572837783702356,-2.3911958191481832,-2.8300585865085313,-3.4250323199663795,0.00037580943570767806,1.7980924234773086
CD_Sweep_15ps,2,"[0.002538340258475223, 0.008973766050924377, -0.010190436448531815, -0.3, -0.042393508356585945, 0.0383301263499276, -0.004318140883449067, -0.011173349268546124, -0.01936686765188097, -0.007897789055070974]","[0.002538, 0.008974, -0.01019, -0.3, 0.582082, -0.042394, 0.03833, -0.004318, -0.011173]",-0.01936686765188097,-0.007897789055070974,-2.421570239183703,-2.7810835182301608,-3.4250323199663795,0.00037580943570767806,1.8054863427047652
CD_Sweep_15ps,3,"[0.003638537620933028, 0.011782650578412128, -0.004086533423424423, -0.3, -0.05513669519184603, 0.03460615897399167, -0.004292713634609794, -0.014518191417935285, -0.02442173048275187, -0.009647829376197155]","[0.003639, 0.011783, -0.004087, -0.3, 0.571939, -0.055137, 0.034606, -0.004293, -0.014518]",-0.02442173048275187,-0.009647829376197155,-2.4492260482163952,-2.7302737278312303,-3.4395910401373047,0.000363420113651381,1.8184177262112027
CD_Sweep_15ps,4,"[0.004557043710593004, 0.014138853826640586, 0.0030053918042186713, -0.3, -0.06639062868224145, 0.03209431870337588, -0.003794589876599356, -0.01736999949646575, -0.028609827332128118, -0.01097075741863334]","[0.004557, 0.014139, 0.003005, -0.3, 0.558649, -0.066391, 0.032094, -0.003795, -0.01737]",-0.028609827332128118,-0.01097075741863334,-2.475410287454877,-2.6693620674245935,-3.4495752610439054,0.00035516056561384963,1.9226672716762483
CD_Sweep_15ps,5,"[0.005216926319722499, 0.015985868396878662, 0.010541475011319475, -0.3, -0.07631148115127866, 0.030420647025540676, -0.0028756698622220303, -0.01975939910824305, -0.03210382246411462, -0.011972915120861679]","[0.005217, 0.015986, 0.010541, -0.3, 0.538889, -0.076311, 0.030421, -0.002876, -0.019759]",-0.03210382246411462,-0.011972915120861679,-2.500844258508461,-2.583645976017771,-3.4755886934088234,0.00033451169552002114,2.0225965838893023
CD_Sweep_15ps,6,"[0.005499728082455158, 0.017308630351555096, 0.017792357513613147, -0.3, -0.08540265549430824, 0.02917401597253554, -0.0015205722436421381, -0.021709400094499648, -0.03519204102522634, -0.012758235548160617]","[0.0055, 0.017309, 0.017792, -0.3, 0.521593, -0.085403, 0.029174, -0.001521, -0.021709]",-0.03519204102522634,-0.012758235548160617,-2.523946627153009,-2.5102577171918323,-3.4109458586877746,0.00038819875776397513,2.00981285306049
CD_Sweep_15ps,7,"[0.005392918301616958, 0.0180860671871206, 0.024726767873743605, -0.3, -0.09368094839574428, 0.028256784357953896, 0.00020318552219236686, -0.02323787108793859, -0.037945405480856696, -0.013374213010840382]","[0.005393, 0.018086, 0.024727, -0.3, 0.506415, -0.093681, 0.028257, 0.000203, -0.023238]",-0.037945405480856696,-0.013374213010840382,-2.5446539126989145,-2.447217075503125,-3.4755886934088234,0.00033451169552002114,1.9695213188959628
CD_Sweep_15ps,8,"[0.004898304971039056, 0.018312431014054716, 0.03132778671272514, -0.3, -0.1, 0.02757992693182995, 0.0020978015483163366, -0.024366226813008, -0.04042313083850754, -0.013858296329286635]","[0.004898, 0.018312, 0.031328, -0.3, 0.491418, -0.1, 0.02758, 0.002098, -0.024366]",-0.04042313083850754,-0.013858296329286635,-2.56179473836707,-2.386915222180026,-3.4755886934088234,0.00033451169552002114,1.9041189744835652
CD_Sweep_15ps,9,"[0.003986055115503998, 0.01795663462392486, 0.037589740375994746, -0.2996372613235748, -0.1, 0.026987021591603804, 0.0038129669269559097, -0.025073421009399455, -0.042694790113315936, -0.014244634851130424]","[0.003986, 0.017957, 0.03759, -0.299637, 0.484957, -0.1, 0.026987, 0.003813, -0.025073]",-0.042694790113315936,-0.014244634851130424,-2.5704206428875533,-2.365797028537418,-3.4755886934088234,0.00033451169552002114,1.8170935839987576
CD_Sweep_15ps,10,"[0.003130676524227928, 0.01741455857093889, 0.04313998446119045, -0.2993871299840897, -0.1, 0.026459105683492624, 0.0053862103643836385, -0.025790303669634862, -0.04479200542521271, -0.014604073843203738]","[0.003131, 0.017415, 0.04314, -0.299387, 0.479292, -0.1, 0.026459, 0.005386, -0.02579]",-0.04479200542521271,-0.014604073843203738,-2.5778543510627814,-2.3475163797460104,-3.4755886934088234,0.00033451169552002114,1.810705878264637
CD_Sweep_15ps,11,"[0.002333278695329847, 0.016737182882797116, 0.04806464805934136, -0.29920858255739996, -0.1, 0.025977590358269274, 0.006818828382952955, -0.026489720837414348, -0.046730985918725515, -0.014938162213165126]","[0.002333, 0.016737, 0.048065, -0.299209, 0.47437, -0.1, 0.025978, 0.006819, -0.02649]",-0.046730985918725515,-0.014938162213165126,-2.58427800135482,-2.3318297197879287,-3.4109458586877746,0.00038819875776397513,1.8017796596364062
