env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
IL_Sweep_14dB,0,"[0.0014816463811580484, 0.003714403581800051, -0.0269405368445511, -0.3, -0.012583445842408905, 0.047582956067654725, -0.004292534588482315, -0.0053226214151289135, -0.004105217266350177, -0.0035014793510660183]","[0.001482, 0.003714, -0.026941, -0.3, 0.598082, -0.012583, 0.047583, -0.004293, -0.005323]",-0.004105217266350177,-0.0035014793510660183,-2.197472575419337,-2.865896070711914,-2.8362990068996505,0.0014578102286242898,1.8601396445218341
IL_Sweep_14dB,1,"[0.003235703776253578, 0.007631164376924947, -0.020724768978019694, -0.3, -0.02512466622482868, 0.03885031801371685, -0.007324551019581018, -0.009666471326980557, -0.007587080224768409, -0.006296487644982149]","[0.003236, 0.007631, -0.020725, -0.3, 0.587442, -0.025125, 0.03885, -0.007325, -0.009666]",-0.007587080224768409,-0.006296487644982149,-2.2310219015273827,-2.8060999099204866,-3.029965273140072,0.0009333289282410466,1.8783040976102747
IL_Sweep_14dB,2,"[0.005015315702916357, 0.011436724422517214, -0.015431672680222542, -0.3, -0.03717261041240988, 0.032010392736078155, -0.009963663587543614, -0.014168902980154684, -0.010423912347071237, -0.008451407325361551]","[0.005015, 0.011437, -0.015432, -0.3, 0.574801, -0.037173, 0.03201, -0.009964, -0.014169]",-0.010423912347071237,-0.008451407325361551,-2.261792908235923,-2.7396783191276826,-3.148545265379924,0.0007103211312276993,1.938876752009003
IL_Sweep_14dB,3,"[0.00664424282831102, 0.015026235963508657, -0.010620597488066194, -0.3, -0.04865108079025603, 0.026664908229320262, -0.012580314193643374, -0.01813873481265555, -0.012733532016057156, -0.010075939607092988]","[0.006644, 0.015026, -0.010621, -0.3, 0.561674, -0.048651, 0.026665, -0.01258, -0.018139]",-0.012733532016057156,-0.010075939607092988,-2.2896670088484896,-2.6729730336260764,-3.1799537296315483,0.0006607638430025109,1.9683711350829416
IL_Sweep_14dB,4,"[0.008001303873887073, 0.018338724325962723, -0.005947165166222437, -0.3, -0.05961580831950008, 0.022512097339678072, -0.014407912374721455, -0.021434700187617676, -0.014624538041377397, -0.011274837269301837]","[0.008001, 0.018339, -0.005947, -0.3, 0.549742, -0.059616, 0.022512, -0.014408, -0.021435]",-0.014624538041377397,-0.011274837269301837,-2.3146447145260822,-2.613655565707294,-3.207982453231792,0.000619466102814854,1.9433775926423402
IL_Sweep_14dB,5,"[0.008937119256082858, 0.02112294587322818, 0.0001506530575119359, -0.3, -0.06947696201476006, 0.01955187755778563, -0.015366050539829835, -0.023912907339105338, -0.016077956616564398, -0.01208641712880077]","[0.008937, 0.021123, 0.000151, -0.3, 0.541481, -0.069477, 0.019552, -0.015366, -0.023913]",-0.016077956616564398,-0.01208641712880077,-2.3371975426389775,-2.5737367109575144,-3.247353145131066,0.0005657790405708999,1.9937473016095073
IL_Sweep_14dB,6,"[0.00948414117442062, 0.023217436927825498, 0.007457438887468775, -0.3, -0.07787169895066189, 0.017723608883221813, -0.015738031562271906, -0.025722651411807303, -0.017122316137887682, -0.012602690368310005]","[0.009484, 0.023217, 0.007457, -0.3, 0.522785, -0.077872, 0.017724, -0.015738, -0.025723]",-0.017122316137887682,-0.012602690368310005,-2.360682920669235,-2.4933433827645395,-3.241058912033378,0.0005740385886084313,2.1625861850820747
IL_Sweep_14dB,7,"[0.009504606587533625, 0.024729557189692653, 0.014619530506013556, -0.3, -0.08559798981297671, 0.016433821147915677, -0.015389010081468885, -0.026891016481595708, -0.0179362348460043, -0.01291920477692983]","[0.009505, 0.02473, 0.01462, -0.3, 0.506834, -0.085598, 0.016434, -0.015389, -0.026891]",-0.0179362348460043,-0.01291920477692983,-2.3820831131963773,-2.426487368324079,-3.213811996892516,0.0006112065547773226,2.1196956119728503
IL_Sweep_14dB,8,"[0.009010450586114835, 0.02563188945360398, 0.02153831932595558, -0.3, -0.09261900159348303, 0.015601866939742894, -0.014394361929699952, -0.02748352125846805, -0.018548116164453857, -0.013083533342040871]","[0.00901, 0.025632, 0.021538, -0.3, 0.493721, -0.092619, 0.015602, -0.014394, -0.027484]",-0.018548116164453857,-0.013083533342040871,-2.401580682707985,-2.3729846997616715,-3.2050967649943036,0.0006235958768336197,2.065872499719543
IL_Sweep_14dB,9,"[0.00808329503015603, 0.025957898955339124, 0.028098567661864717, -0.3, -0.09891872914430667, 0.01515066857531104, -0.012906415461913633, -0.027623455458663647, -0.018982421922000267, -0.013137847242387715]","[0.008083, 0.025958, 0.028099, -0.3, 0.483261, -0.098919, 0.015151, -0.012906, -0.027623]",-0.018982421922000267,-0.013137847242387715,-2.419389655425309,-2.331535730969811,-3.1993822814698745,0.000631855424871151,2.0175587484834447
