env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
IL_Worst_20dB,0,"[0.001783132649178003, 0.003425056007757897, -0.028825140687747004, -0.3, -0.009997594235281959, 0.04599199129373546, -0.006951614793258893, -0.006650592933671273, -0.003764124318626424, -0.004176284637313194]","[0.001783, 0.003425, -0.028825, -0.3, 0.596375, -0.009998, 0.045992, -0.006952, -0.006651]",-0.003764124318626424,-0.004176284637313194,-2.0151466775469964,-2.8554487890341815,-1.3613979503337457,0.043511299061715344,1.895080492865715
IL_Worst_20dB,1,"[0.003954975501562256, 0.0072772235798018985, -0.024335605256106736, -0.3, -0.020337670627627587, 0.0356736229084666, -0.012733652647661218, -0.01220921748696703, -0.006974467733528139, -0.007465736019158998]","[0.003955, 0.007277, -0.024336, -0.3, 0.583478, -0.020338, 0.035674, -0.012734, -0.012209]",-0.006974467733528139,-0.007465736019158998,-2.0496203617882633,-2.7827619069790956,-1.5342245166822153,0.02922641073080481,1.94684505090196
IL_Worst_20dB,2,"[0.006205087163546274, 0.011208135659258895, -0.020488281029268206, -0.3, -0.030478896072825147, 0.027315927976409204, -0.018026664003837213, -0.017452908124739604, -0.009612511421005384, -0.00994499088638523]","[0.006205, 0.011208, -0.020488, -0.3, 0.568824, -0.030479, 0.027316, -0.018027, -0.017453]",-0.009612511421005384,-0.00994499088638523,-2.0811060095750307,-2.7048227202211566,-1.7246329304171555,0.01885241839566539,2.0370988591879535
IL_Worst_20dB,3,"[0.00837627168173723, 0.015170685717791076, -0.016757864922016395, -0.3, -0.04047664975927846, 0.020382923228265404, -0.02229666952394713, -0.021797655849917576, -0.011841259777024625, -0.01180138461640089]","[0.008376, 0.015171, -0.016758, -0.3, 0.554741, -0.040477, 0.020383, -0.022297, -0.021798]",-0.011841259777024625,-0.01180138461640089,-2.1092081661295894,-2.631921506257414,-1.9627989210771266,0.010894343861503899,2.040847401108075
IL_Worst_20dB,4,"[0.010284065565250532, 0.019027689538135814, -0.01287780695435746, -0.3, -0.05026177850465164, 0.014647438708275073, -0.0254358736124227, -0.02516258393349658, -0.013744605088633226, -0.013158067824051468]","[0.010284, 0.019028, -0.012878, -0.3, 0.542303, -0.050262, 0.014647, -0.025436, -0.025163]",-0.013744605088633226,-0.013158067824051468,-2.133722066059842,-2.5686119329607453,-2.1447742331605806,0.007165157922558478,1.985984273276633
IL_Worst_20dB,5,"[0.011753012806001368, 0.022620285171764395, -0.008703548204494989, -0.3, -0.05976227535300327, 0.009985592227195441, -0.027350858512596988, -0.02748786741589898, -0.01538078686271203, -0.014111927464124445]","[0.011753, 0.02262, -0.008704, -0.3, 0.532337, -0.059762, 0.009986, -0.027351, -0.027488]",-0.01538078686271203,-0.014111927464124445,-2.154837044961206,-2.5182706809485693,-2.3910786138561315,0.004063697634465442,1.8840199093942998
IL_Worst_20dB,6,"[0.012629834826345852, 0.025708101270823513, -0.0037620881996645334, -0.3, -0.06868992880890101, 0.006434554263973958, -0.028028439036272553, -0.028773182643901954, -0.016751857612381856, -0.014729740083520333]","[0.01263, 0.025708, -0.003762, -0.3, 0.525974, -0.06869, 0.006435, -0.028028, -0.028773]",-0.016751857612381856,-0.014729740083520333,-2.1732840795424613,-2.48600017364366,-2.514255504308145,0.0030601625479053786,1.802462044380597
IL_Worst_20dB,7,"[0.012925118973306449, 0.02797974880205102, 0.0025491273643786904, -0.3, -0.07637080899371058, 0.004156235509431122, -0.02783738802940793, -0.02929872712907884, -0.017793280283566644, -0.01507882167570126]","[0.012925, 0.02798, 0.002549, -0.3, 0.518883, -0.076371, 0.004156, -0.027837, -0.029299]",-0.017793280283566644,-0.01507882167570126,-2.190788403420237,-2.4543120332325477,-2.526741215856205,0.0029734372935112992,1.8902698008954757
IL_Worst_20dB,8,"[0.012778202750880338, 0.029513949741722896, 0.009189884272410694, -0.3, -0.08299305545558971, 0.0028244803213964267, -0.02718108373957064, -0.02940256752512494, -0.018585985507105607, -0.015261972627365773]","[0.012778, 0.029514, 0.00919, -0.3, 0.506117, -0.082993, 0.002824, -0.027181, -0.029403]",-0.018585985507105607,-0.015261972627365773,-2.2083721060747146,-2.4012594296004384,-2.456190301956766,0.003497918593894542,2.0077450279529216
IL_Worst_20dB,9,"[0.012097621505243725, 0.030433022032868996, 0.015489287197656965, -0.3, -0.08895444701149642, 0.00205540407354536, -0.02586323910709351, -0.028940204838258574, -0.019236147233183808, -0.015317230517036526]","[0.012098, 0.030433, 0.015489, -0.3, 0.496167, -0.088954, 0.002055, -0.025863, -0.02894]",-0.019236147233183808,-0.015317230517036526,-2.224711264672728,-2.3612338147117176,-2.3853785539758174,0.004117384696709396,1.9785535762749054
IL_Worst_20dB,10,"[0.011066501532144625, 0.030844594045798878, 0.021314620648826783, -0.3, -0.0943050438659226, 0.0017395782027792052, -0.024213229631188753, -0.02819680908577937, -0.01976020379219064, -0.015296212769004485]","[0.011067, 0.030845, 0.021315, -0.3, 0.48832, -0.094305, 0.00174, -0.024213, -0.028197]",-0.01976020379219064,-0.015296212769004485,-2.239955761648472,-2.3306644393891403,-2.339142166138313,0.004579919386811153,1.9810650546718716
