env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
Combined_Stress,0,"[-0.0019450882333154668, -0.0001978777112911723, -0.024151987399378943, -0.2891234553404345, -0.005739651295196493, 0.04950820393632955, -0.007209269276204386, -0.006855340285675997, -0.0022661985264754085, -0.0020887801051531433]","[-0.001945, -0.000198, -0.024152, -0.289123, 0.615269, -0.00574, 0.049508, -0.007209, -0.006855]",-0.0022661985264754085,-0.0020887801051531433,-2.4059628166680684,-2.9865232199213954,-1.1483685535820187,0.07106102154090128,2.427660814817161
Combined_Stress,1,"[-0.0020640536763534708, 0.0002652541283675624, -0.013182512960797216, -0.27872726695664674, -0.007861953990720294, 0.03954514208151692, -0.009045672098118213, -0.008513561661990736, -0.00492182465257681, -0.004520171953584465]","[-0.002064, 0.000265, -0.013183, -0.278727, 0.640795, -0.007862, 0.039545, -0.009046, -0.008514]",-0.00492182465257681,-0.004520171953584465,-2.434817888334451,-3.080573978983288,-1.1348264230635212,0.07331174838112858,1.7687390920906245
Combined_Stress,2,"[-0.0018640792480150833, 0.0010176606049982538, -0.0033221098144950393, -0.2697104775365119, -0.009733945992246383, 0.029525982555570707, -0.010438075275148126, -0.009759981934844598, -0.007805335158023274, -0.007347801424739932]","[-0.001864, 0.001018, -0.003322, -0.26971, 0.664628, -0.009734, 0.029526, -0.010438, -0.00976]",-0.007805335158023274,-0.007347801424739932,-2.4560315944986146,-3.170363671186618,-1.1231441287575483,0.07531055900621118,1.3682836027354859
Combined_Stress,3,"[-0.0016215408447861094, 0.00215490322863858, 0.003019789869512789, -0.2613616376656233, -0.012139662784125175, 0.01860975079501593, -0.012381820571039625, -0.01133394850867491, -0.01119519307865937, -0.010880650601519302]","[-0.001622, 0.002155, 0.00302, -0.261362, 0.677377, -0.01214, 0.01861, -0.012382, -0.011334]",-0.01119519307865937,-0.010880650601519302,-2.470920515088634,-3.214678728829599,-1.1145841178629388,0.07680966697502313,0.9844845402494896
Combined_Stress,4,"[-0.0013747337723410895, 0.003494960284594527, 0.007796851574674081, -0.254330188735857, -0.015522824305589242, 0.00815957414358721, -0.014858487167289665, -0.013412492026619906, -0.014626694856157564, -0.014549846780141895]","[-0.001375, 0.003495, 0.007797, -0.25433, 0.68105, -0.015523, 0.00816, -0.014858, -0.013412]",-0.014626694856157564,-0.014549846780141895,-2.4823707259804335,-3.2220472725927554,-1.1154489439516022,0.0766568653363288,0.8299883306627392
Combined_Stress,5,"[-0.0011296760052287218, 0.004910538116648388, 0.012481441567063921, -0.24854649961734207, -0.019479299560775414, -0.0012836812344523517, -0.01737210837061237, -0.015669083560338925, -0.01785671044777329, -0.01799522512087319]","[-0.00113, 0.004911, 0.012481, -0.248546, 0.679128, -0.019479, -0.001284, -0.017372, -0.015669]",-0.01785671044777329,-0.01799522512087319,-2.491802054067811,-3.2077662884617997,-1.1412094161467663,0.07224213691026828,0.7556602498959644
Combined_Stress,6,"[-0.0008973538562802217, 0.006351783663436486, 0.017141076970960716, -0.24362999147922892, -0.023852015568075553, -0.009588849696136166, -0.019763658252885813, -0.017946386482421105, -0.02091696610101453, -0.02119757289165522]","[-0.000897, 0.006352, 0.017141, -0.24363, 0.660829, -0.023852, -0.009589, -0.019764, -0.017946]",-0.02091696610101453,-0.02119757289165522,-2.4991285975651456,-3.1296637723950034,-1.1724459891188566,0.06722859125148672,0.6843718990018687
Combined_Stress,7,"[-0.0007154810512093801, 0.007854411038871783, 0.02219213956384646, -0.23877267668915403, -0.028669214968075136, -0.015982792757524962, -0.021856026983516866, -0.02008367600889504, -0.023950083024417274, -0.024197194098504352]","[-0.000715, 0.007854, 0.022192, -0.238773, 0.643874, -0.028669, -0.015983, -0.021856, -0.020084]",-0.023950083024417274,-0.024197194098504352,-2.5057374489942443,-3.0583227930690584,-1.202716120259023,0.06270235892691951,0.5963742402579938
Combined_Stress,8,"[-0.0006477155550069903, 0.009165526936075499, 0.02703494526986331, -0.23448020776156653, -0.0334147888506196, -0.02179140845900305, -0.023404397167167447, -0.021833952297369383, -0.02666287179706972, -0.026724471515329456]","[-0.000648, 0.009166, 0.027035, -0.23448, 0.628227, -0.033415, -0.021791, -0.023404, -0.021834]",-0.02666287179706972,-0.026724471515329456,-2.511525062902076,-2.9934914010802434,-1.2419346321553382,0.05728822518831769,0.5721987484813432
Combined_Stress,9,"[-0.0007037720042468075, 0.010244320294971566, 0.031655606331527725, -0.23063231791837052, -0.038021288144264226, -0.027068292315642326, -0.024380922856447235, -0.023177781917192712, -0.029098829719903338, -0.02883962523499008]","[-0.000704, 0.010244, 0.031656, -0.230632, 0.614116, -0.038021, -0.027068, -0.024381, -0.023178]",-0.029098829719903338,-0.02883962523499008,-2.5165341319409316,-2.9358127011355206,-1.2672999853115734,0.054038093035549094,0.5441188096788274
Combined_Stress,10,"[-0.0008948574228261729, 0.011060398282103676, 0.0360500668345316, -0.2271291248135449, -0.04244943082384864, -0.03181355369104263, -0.024779798351869962, -0.02411917414185699, -0.03130166987717459, -0.030604204466229933]","[-0.000895, 0.01106, 0.03605, -0.227129, 0.601704, -0.042449, -0.031814, -0.02478, -0.024119]",-0.03130166987717459,-0.030604204466229933,-2.520832978785585,-2.8856828176736524,-1.312154901923667,0.048735463195453944,0.5114433652163416
Combined_Stress,11,"[-0.001223515312875676, 0.011591083785745476, 0.04019962683797357, -0.223914134207469, -0.046666091965386756, -0.03603255801369848, -0.024619692861894926, -0.0246831867665229, -0.03330248110996882, -0.03207073912253376]","[-0.001224, 0.011591, 0.0402, -0.223914, 0.59107, -0.046666, -0.036033, -0.02462, -0.024683]",-0.03330248110996882,-0.03207073912253376,-2.524509289208232,-2.8431789649896806,-1.3360594213494184,0.04612544601559403,0.4768684877721907
Combined_Stress,12,"[-0.0016764690003893256, 0.011829118973998461, 0.044076333803514015, -0.22096841407852827, -0.05064516322386373, -0.039741600096129204, -0.023952342532727006, -0.02492016177036817, -0.035121675903986356, -0.03328543876718706]","[-0.001676, 0.011829, 0.044076, -0.220968, 0.58219, -0.050645, -0.039742, -0.023952, -0.02492]",-0.035121675903986356,-0.03328543876718706,-2.527658085736067,-2.8079971053053905,-1.3509717756236252,0.04456852121051936,0.443162133982036
Combined_Stress,13,"[-0.002225168030681594, 0.011788389196257859, 0.047654002493911954, -0.21829753126708984, -0.05437153471194392, -0.041800000000000004, -0.022862772089554895, -0.024903246680599102, -0.03677291164673243, -0.03429063961698693]","[-0.002225, 0.011788, 0.047654, -0.218298, 0.576097, -0.054372, -0.0418, -0.022863, -0.024903]",-0.03677291164673243,-0.03429063961698693,-2.530208392188246,-2.783973518666208,-1.3749629061552604,0.04217325227963526,0.4122938703471711
Combined_Stress,14,"[-0.0028175928732169712, 0.011527229690838076, 0.05088171476269457, -0.21600919485684844, -0.05790902565926134, -0.041800000000000004, -0.02162290522242681, -0.02482739598513081, -0.03827018789823399, -0.035161632177285206]","[-0.002818, 0.011527, 0.050882, -0.216009, 0.572605, -0.057909, -0.0418, -0.021623, -0.024827]",-0.03827018789823399,-0.035161632177285206,-2.532174945962423,-2.770170550335684,-1.3753458256350886,0.04213608431346637,0.3886878800351326
Combined_Stress,15,"[-0.003411396315674141, 0.011132767607966826, 0.053727145866502714, -0.21419837635226835, -0.06132841954279195, -0.041800000000000004, -0.020524402404932394, -0.02487734591202827, -0.039624365462935573, -0.03596748671643593]","[-0.003411, 0.011133, 0.053727, -0.214198, 0.569, -0.061328, -0.0418, -0.020524, -0.024877]",-0.039624365462935573,-0.03596748671643593,-2.533856984163368,-2.755967238434859,-1.3923604365743838,0.040517212898110215,0.3746965454804034
Combined_Stress,16,"[-0.0040040879319512565, 0.010639025376828233, 0.05624913262437883, -0.21274056074758174, -0.06457171080772058, -0.041800000000000004, -0.019491784676737282, -0.024976302620193888, -0.04084349528464569, -0.036696672704042074]","[-0.004004, 0.010639, 0.056249, -0.212741, 0.565527, -0.064572, -0.0418, -0.019492, -0.024976]",-0.04084349528464569,-0.036696672704042074,-2.5353221401951327,-2.7423282184431454,-1.3784213969323993,0.041838740584115235,0.3624633177819633
Combined_Stress,17,"[-0.004588007588150036, 0.010076668871262465, 0.058496827232855694, -0.21155181319298433, -0.06761524104633403, -0.041800000000000004, -0.018491081242525985, -0.02508761394404168, -0.04193872524118985, -0.03734894794352993]","[-0.004588, 0.010077, 0.058497, -0.211552, 0.562293, -0.067615, -0.0418, -0.018491, -0.025088]",-0.04193872524118985,-0.03734894794352993,-2.53661362975504,-2.72966700253989,-1.392316172753125,0.04052134267212898,0.3513276125167576
Combined_Stress,18,"[-0.005155300864929968, 0.009471356469112856, 0.06050988789203451, -0.21057357234262886, -0.07045229445070267, -0.041800000000000004, -0.017509671064702616, -0.025195077416656723, -0.04292150241095599, -0.03792894574528244]","[-0.005155, 0.009471, 0.06051, -0.210574, 0.559333, -0.070452, -0.0418, -0.01751, -0.025195]",-0.04292150241095599,-0.03792894574528244,-2.5377611537239457,-2.7181219794159936,-1.426227078579323,0.037477699220298664,0.34108882305469307
Combined_Stress,19,"[-0.005699588568068905, 0.008843681115153051, 0.06232040560564711, -0.20976333890523777, -0.07308509789802316, -0.041800000000000004, -0.016545466250538682, -0.025292739001610772, -0.04380274895399666, -0.038443191181903334]","[-0.0057, 0.008844, 0.06232, -0.209763, 0.55665, -0.073085, -0.0418, -0.016545, -0.025293]",-0.04380274895399666,-0.038443191181903334,-2.538786376246453,-2.7076951254325703,-1.4274251330822698,0.03737445486982952,0.3316606560823034
Combined_Stress,20,"[-0.006216353943124507, 0.00820963449650351, 0.06395463599060644, -0.20908915329564712, -0.07552075924704973, -0.041800000000000004, -0.015601118520989294, -0.02537955550125437, -0.0445926234255972, -0.03889867004673087]","[-0.006216, 0.00821, 0.063955, -0.209089, 0.554229, -0.075521, -0.0418, -0.015601, -0.02538]",-0.0445926234255972,-0.03889867004673087,-2.539705883463849,-2.6983239370644005,-1.4312812692433812,0.03704407294832827,0.3229791104561329
Combined_Stress,21,"[-0.006702812179946289, 0.0075812563040050665, 0.06543430712438547, -0.2085262747924775, -0.07776901673119173, -0.041800000000000004, -0.014680957307597867, -0.025456607216713893, -0.04530046170302685, -0.039302144599595856]","[-0.006703, 0.007581, 0.065434, -0.208526, 0.552049, -0.077769, -0.0418, -0.014681, -0.025457]",-0.04530046170302685,-0.039302144599595856,-2.5405328851592497,-2.689919297513243,-1.4481635758569658,0.0356316902339104,0.31498273332164406
Combined_Stress,22,"[-0.007157599233457608, 0.00696732257643107, 0.066, -0.20805512308646515, -0.07984091445592062, -0.041800000000000004, -0.01378943875157118, -0.025525681123474777, -0.04593477904149667, -0.039659847218947004]","[-0.007158, 0.006967, 0.066, -0.208055, 0.550864, -0.079841, -0.0418, -0.013789, -0.025526]",-0.04593477904149667,-0.039659847218947004,-2.5411576848718482,-2.684639333822117,-1.4587616207878238,0.03477269723800713,0.30761165242358934
Combined_Stress,23,"[-0.007554203652890343, 0.006414560836941701, 0.066, -0.2076350910666023, -0.08174020294750403, -0.041800000000000004, -0.012935266809683795, -0.025587603943682, -0.046503621642060726, -0.03997821267864962]","[-0.007554, 0.006415, 0.066, -0.207635, 0.550333, -0.08174, -0.0418, -0.012935, -0.025588]",-0.046503621642060726,-0.03997821267864962,-2.5416404161751425,-2.681463109112394,-1.4569601003537127,0.03491723932866393,0.3017564389516619
Combined_Stress,24,"[-0.00788532576763137, 0.005941053137083826, 0.066, -0.2072457379776038, -0.08347551868458306, -0.041800000000000004, -0.012126197516117735, -0.0256450447730109, -0.047013912208146234, -0.04026287611683461]","[-0.007885, 0.005941, 0.066, -0.207246, 0.549881, -0.083476, -0.0418, -0.012126, -0.025645]",-0.047013912208146234,-0.04026287611683461,-2.54207445709126,-2.6786939254031314,-1.4567033492484496,0.03493788819875776,0.29718123787871137
