env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
DGD_Sweep_5ps,0,"[-0.0033469338107063574, -0.0018723892409020942, -0.023615566752184722, -0.2870246011651822, -0.005942665970239363, 0.051288743113049116, -0.004902203320240499, -0.005831694787984716, -0.0025215314879942496, -0.0012479390760095454]","[-0.003347, -0.001872, -0.023616, -0.287025, 0.616175, -0.005943, 0.051289, -0.004902, -0.005832]",-0.0025215314879942496,-0.0012479390760095454,-2.423439487159261,-2.990703945327215,-3.397301978021228,0.00040058807982027225,2.46690953120253
DGD_Sweep_5ps,1,"[-0.003484712283843939, -0.0017837762559786018, -0.012401953489732769, -0.27447406681800546, -0.007093742410822648, 0.043971238749509096, -0.005181289477130284, -0.006378966149044974, -0.005309966646148433, -0.0025820300873491985]","[-0.003485, -0.001784, -0.012402, -0.274474, 0.64523, -0.007094, 0.043971, -0.005181, -0.006379]",-0.005309966646148433,-0.0025820300873491985,-2.455397030299676,-3.0994023787875573,-3.429831202848148,0.0003716796616889124,1.9080442637234618
DGD_Sweep_5ps,2,"[-0.0033845824150225117, -0.0015209422290077548, -0.0021012528314868564, -0.26300519651966037, -0.008181665821461404, 0.03708171464759715, -0.0052473951944498045, -0.0067766708621985515, -0.008259094237752113, -0.00403175085210037]","[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,-2.4794215689257273,-3.2043412993140934,-3.4445544596688547,0.0003592903396326153,1.527932454862717
DGD_Sweep_5ps,3,"[-0.0032654387484145155, -0.0012233106921033868, 0.003456639960820118, -0.250724339658732, -0.00963908375416807, 0.02944801731984618, -0.005287460639874555, -0.00731326697125139, -0.011941614172304233, -0.005903470278809146]","[-0.003265, -0.001223, 0.003457, -0.250724, 0.689642, -0.009639, 0.029448, -0.005287, -0.007313]",-0.011941614172304233,-0.005903470278809146,-2.49535474604805,-3.264612143884587,-3.4445544596688547,0.0003592903396326153,1.0479452477178928
DGD_Sweep_5ps,4,"[-0.00315173088890042, -0.0009341324508359151, 0.0078083979881877815, -0.23925292903506373, -0.010979041775584116, 0.0221967489226978, -0.0052231189466857885, -0.007794845968773213, -0.015814676148007314, -0.007903022556036742]","[-0.003152, -0.000934, 0.007808, -0.239253, 0.702659, -0.010979, 0.022197, -0.005223, -0.007795]",-0.015814676148007314,-0.007903022556036742,-2.507359001784942,-3.3097501458049368,-3.429831202848148,0.0003716796616889124,0.8647245156546217
DGD_Sweep_5ps,5,"[-0.003044395428073683, -0.0006549635932544819, 0.01223980302002313, -0.22892629564719671, -0.012826712569941789, 0.015587480733162021, -0.00509440594094236, -0.008272769879071048, -0.019697209457804087, -0.009926981449410876]","[-0.003044, -0.000655, 0.01224, -0.228926, 0.713353, -0.012827, 0.015587, -0.005094, -0.008273]",-0.019697209457804087,-0.009926981449410876,-2.517084066823176,-3.3464848916964023,-3.429831202848148,0.0003716796616889124,0.7542216148529601
DGD_Sweep_5ps,6,"[-0.0029444588553220203, -0.00038929183018139053, 0.016648217930117774, -0.21967489833513063, -0.015241773797621695, 0.009604813269476804, -0.004910935277611861, -0.00878056070501732, -0.023543512500973703, -0.011945215626951972]","[-0.002944, -0.000389, 0.016648, -0.219675, 0.721805, -0.015242, 0.009605, -0.004911, -0.008781]",-0.023543512500973703,-0.011945215626951972,-2.5250625033916965,-3.3747792795268436,-3.429831202848148,0.0003716796616889124,0.6675292908635667
DGD_Sweep_5ps,7,"[-0.0028526303459916647, -0.00013939939466022677, 0.02096164107255826, -0.21140566893388132, -0.018074159358241255, 0.004219713200295642, -0.0046697533871337205, -0.009323895257591698, -0.02731412957219371, -0.013929520199574167]","[-0.002853, -0.000139, 0.020962, -0.211406, 0.728353, -0.018074, 0.00422, -0.00467, -0.009324]",-0.02731412957219371,-0.013929520199574167,-2.5316844463495887,-3.3958938736320805,-3.4445544596688547,0.0003592903396326153,0.5981578976684416
DGD_Sweep_5ps,8,"[-0.0027698040240721773, 9.223713851634122e-05, 0.02512747185913764, -0.2040261191290144, -0.02119762936687441, -0.0006029697001093725, -0.004367841603629032, -0.009904159505015803, -0.030977464275043522, -0.015856686242892867]","[-0.00277, 9.2e-05, 0.025127, -0.204026, 0.731912, -0.021198, -0.000603, -0.004368, -0.009904]",-0.030977464275043522,-0.015856686242892867,-2.5371426590317414,-3.405302559621242,-3.429831202848148,0.0003716796616889124,0.5417340455683692
DGD_Sweep_5ps,9,"[-0.00269786432273429, 0.00032467918088501066, 0.029136569684495954, -0.19870000000000002, -0.02451963615055359, -0.004767223889917507, -0.00399930068938399, -0.010517164441734679, -0.03452565668692806, -0.01771470662463604]","[-0.002698, 0.000325, 0.029137, -0.1987, 0.725338, -0.02452, -0.004767, -0.003999, -0.010517]",-0.03452565668692806,-0.01771470662463604,-2.540910481272573,-3.3747662913731427,-3.4445544596688547,0.0003592903396326153,0.49308632285078685
DGD_Sweep_5ps,10,"[-0.0026502643931136847, 0.0005425301847577205, 0.03305839052569498, -0.19870000000000002, -0.02793976250572823, -0.007613193254497169, -0.0035523971582624944, -0.011209601517158245, -0.03796692066806306, -0.019482341506993094]","[-0.00265, 0.000543, 0.033058, -0.1987, 0.714734, -0.02794, -0.007613, -0.003552, -0.01121]",-0.03796692066806306,-0.019482341506993094,-2.542633476402182,-3.3321229828232477,-3.429831202848148,0.0003716796616889124,0.45074162051463584
DGD_Sweep_5ps,11,"[-0.00264534811457164, 0.00067195719938523, 0.036730478022755454, -0.19870000000000002, -0.031125380570319352, -0.009533474260060272, -0.003088496654919229, -0.011834624198782527, -0.04112858409990116, -0.021050824162058696]","[-0.002645, 0.000672, 0.03673, -0.1987, 0.70567, -0.031125, -0.009533, -0.003088, -0.011835]",-0.04112858409990116,-0.021050824162058696,-2.5441619206123156,-3.2961039697353973,-3.4445544596688547,0.0003592903396326153,0.4396878753012517
DGD_Sweep_5ps,12,"[-0.002668277805656507, 0.0007203096703846321, 0.04011490254970031, -0.19870000000000002, -0.03406274476676265, -0.010849940297519253, -0.002643382844364579, -0.012398728864734008, -0.0440065959096819, -0.02243851715244552]","[-0.002668, 0.00072, 0.040115, -0.1987, 0.697842, -0.034063, -0.01085, -0.002643, -0.012399]",-0.0440065959096819,-0.02243851715244552,-2.5455176777774144,-3.2652664942016063,-3.429831202848148,0.0003716796616889124,0.4336905215409532
DGD_Sweep_5ps,13,"[-0.0027079012442776016, 0.0006996772490985584, 0.04320038861688105, -0.19870000000000002, -0.03675043406255985, -0.011911173746593716, -0.0022320671673913333, -0.01290688898493839, -0.04660951521622385, -0.023663841529004408]","[-0.002708, 0.0007, 0.0432, -0.1987, 0.690891, -0.03675, -0.011911, -0.002232, -0.012907]",-0.04660951521622385,-0.023663841529004408,-2.546725226639779,-3.238025051094679,-3.429831202848148,0.0003716796616889124,0.43126112224879704
DGD_Sweep_5ps,14,"[-0.0027566620770268575, 0.000622983621649378, 0.04600521833077948, -0.19870000000000002, -0.03920251783423466, -0.012826017517709022, -0.0018535694827367913, -0.013363089349664226, -0.04896205551625527, -0.024746700302198464]","[-0.002757, 0.000623, 0.046005, -0.1987, 0.68467, -0.039203, -0.012826, -0.001854, -0.013363]",-0.04896205551625527,-0.024746700302198464,-2.5478021205785195,-3.213727080146424,-3.4445544596688547,0.0003592903396326153,0.4296147935823438
DGD_Sweep_5ps,15,"[-0.0028097264404993235, 0.0005018240387322942, 0.048553824612103925, -0.19870000000000002, -0.04143686821856414, -0.013612193232817616, -0.0015046818412682646, -0.013771377437551073, -0.05109055012363387, -0.02570535343145375]","[-0.00281, 0.000502, 0.048554, -0.1987, 0.67911, -0.041437, -0.013612, -0.001505, -0.013771]",-0.05109055012363387,-0.02570535343145375,-2.548762357591921,-3.1920814194968337,-3.429831202848148,0.0003716796616889124,0.4279505154512422
DGD_Sweep_5ps,16,"[-0.0028639689450941225, 0.0003463398692449742, 0.05086900799299739, -0.19870000000000002, -0.043470988255749576, -0.014286074884319322, -0.0011833544089278733, -0.014136031370498573, -0.05301833611661133, -0.02655566589354823]","[-0.002864, 0.000346, 0.050869, -0.1987, 0.674144, -0.043471, -0.014286, -0.001183, -0.014136]",-0.05301833611661133,-0.02655566589354823,-2.5496187467049785,-3.1728088043782554,-3.429831202848148,0.0003716796616889124,0.42630201338640356
DGD_Sweep_5ps,17,"[-0.002917371986199859, 0.00016527759887333295, 0.05297192845271784, -0.19870000000000002, -0.045321698809853934, -0.014862523506478277, -0.0008880040187688293, -0.014461302711982775, -0.05476609724458592, -0.02731137411522975]","[-0.002917, 0.000165, 0.052972, -0.1987, 0.669712, -0.045322, -0.014863, -0.000888, -0.014461]",-0.05476609724458592,-0.02731137411522975,-2.5503829102268964,-3.1556491433890304,-3.429831202848148,0.0003716796616889124,0.42469649942475685
DGD_Sweep_5ps,18,"[-0.0029686610564749736, -3.392757618820555e-05, 0.054882119715189276, -0.19870000000000002, -0.047004934488489004, -0.015354841794044068, -0.0006171874086878625, -0.014751261560869578, -0.05635217927751611, -0.027984350182278083]","[-0.002969, -3.4e-05, 0.054882, -0.1987, 0.665687, -0.047005, -0.015355, -0.000617, -0.014751]",-0.05635217927751611,-0.027984350182278083,-2.5510614647829666,-3.140098974938834,-3.4445544596688547,0.0003592903396326153,0.4231540603930896
DGD_Sweep_5ps,19,"[-0.0030171264034057964, -0.0002412759667541615, 0.056617464016200963, -0.19870000000000002, -0.04853521423459619, -0.015774434858858273, -0.00036953615839353614, -0.015009416419618097, -0.057792634731582714, -0.02858466179447708]","[-0.003017, -0.000241, 0.056617, -0.1987, 0.661736, -0.048535, -0.015774, -0.00037, -0.015009]",-0.057792634731582714,-0.02858466179447708,-2.551647763493942,-3.1248468683985227,-3.429831202848148,0.0003716796616889124,0.4217527689016549
