env,step,x,taps,gdc,gdc2,pred_a,pred_b,real_lb,real_ber,grad_norm
IL_Sweep_14dB,0,"[-0.0026827707919863894, -0.0009517420114617193, -0.023656403743172925, -0.28804116452365697, -0.0059109945645963845, 0.050303926725661356, -0.005906688901408214, -0.006253081660459625, -0.002183465395946576, -0.0016022553654046656]","[-0.002683, -0.000952, -0.023656, -0.288041, 0.616293, -0.005911, 0.050304, -0.005907, -0.006253]",-0.002183465395946576,-0.0016022553654046656,-2.4273665541610474,-2.99096047287038,-2.837531048809342,0.001453680454605524,2.4211503854989718
IL_Sweep_14dB,1,"[-0.0028440100822546247, -0.0007031547604198305, -0.01234820944816943, -0.27656844753990795, -0.0075202671585334726, 0.04165858345875241, -0.006731599289896744, -0.007221891903711544, -0.0046336805549559955, -0.0033816103693934283]","[-0.002844, -0.000703, -0.012348, -0.276568, 0.644404, -0.00752, 0.041659, -0.006732, -0.007222]",-0.0046336805549559955,-0.0033816103693934283,-2.4573286943956614,-3.0958493197502013,-3.0280478550943504,0.0009374587022598123,1.8190999591509762
IL_Sweep_14dB,2,"[-0.002706919755513921, -0.000285523280792175, -0.002021111072065757, -0.2663175357175895, -0.008990738799674696, 0.03319492257863022, -0.0072620972889204105, -0.00794919498918001, -0.007258151202937902, -0.005417318521407092]","[-0.002707, -0.000286, -0.002021, -0.266318, 0.671272, -0.008991, 0.033195, -0.007262, -0.007949]",-0.007258151202937902,-0.005417318521407092,-2.479390106698558,-3.198330836082384,-3.114560768069557,0.000768137967490419,1.4179573914048618
IL_Sweep_14dB,3,"[-0.0025375430058103515, 0.00020846638184235703, 0.00397892501355216, -0.2558490836691427, -0.010970600621997548, 0.023637398055479063, -0.00790740183135403, -0.008925610518295083, -0.010508669893802508, -0.008101880654412169]","[-0.002538, 0.000208, 0.003979, -0.255849, 0.685985, -0.010971, 0.023637, -0.007907, -0.008926]",-0.010508669893802508,-0.008101880654412169,-2.493838512121502,-3.2501158899843854,-3.1665897680735666,0.0006814127130963394,0.9653707983501988
IL_Sweep_14dB,4,"[-0.0023716873954054917, 0.0008114647365623305, 0.008957928020469203, -0.2464334225970946, -0.013383398969819861, 0.014440563821546805, -0.00836549949679689, -0.00981416251312145, -0.013864781887089199, -0.010958253011130249]","[-0.002372, 0.000811, 0.008958, -0.246433, 0.695422, -0.013383, 0.014441, -0.008365, -0.009814]",-0.013864781887089199,-0.010958253011130249,-2.504750985522214,-3.2811696575128826,-3.1799537296315483,0.0006607638430025109,0.7974151589150599
IL_Sweep_14dB,5,"[-0.0022184945366696, 0.001596718251631608, 0.013917867002496696, -0.23827011881102417, -0.01650954389554057, 0.006004099575953076, -0.008708307191912845, -0.010688049214707604, -0.017135780483649544, -0.013794618225384862]","[-0.002218, 0.001597, 0.013918, -0.23827, 0.702087, -0.01651, 0.006004, -0.008708, -0.010688]",-0.017135780483649544,-0.013794618225384862,-2.5136568007174,-3.3018516895997148,-3.1993822814698745,0.000631855424871151,0.7011785207528619
IL_Sweep_14dB,6,"[-0.002085488573393847, 0.0024691009083586245, 0.01876170388552055, -0.23123791067162, -0.02014371215713411, -0.0016588287435517655, -0.008981041858540597, -0.01184018561526273, -0.02027445083613616, -0.016553307364946222]","[-0.002085, 0.002469, 0.018762, -0.231238, 0.702822, -0.020144, -0.001659, -0.008981, -0.01184]",-0.02027445083613616,-0.016553307364946222,-2.5207866744544067,-3.2993207419407438,-3.234854599632093,0.0005822981366459627,0.6265543389521069
IL_Sweep_14dB,7,"[-0.001979773151853433, 0.0033715030900398884, 0.023557670170069687, -0.22497597144192902, -0.024174976671747835, -0.008231339080944838, -0.00914747481035311, -0.013226163047978438, -0.023307423352210338, -0.01922425016705295]","[-0.00198, 0.003372, 0.023558, -0.224976, 0.691335, -0.024175, -0.008231, -0.009147, -0.013226]",-0.023307423352210338,-0.01922425016705295,-2.5262720420328715,-3.248407114733504,-3.234854599632093,0.0005822981366459627,0.5567413500021788
IL_Sweep_14dB,8,"[-0.0019241650017745976, 0.0042626082217499545, 0.02850530034401271, -0.21895235760894713, -0.028585519169341107, -0.01292461458008083, -0.009116190286241686, -0.014735329644818902, -0.02629396204111606, -0.02181152850790699]","[-0.001924, 0.004263, 0.028505, -0.218952, 0.680994, -0.028586, -0.012925, -0.009116, -0.014735]",-0.02629396204111606,-0.02181152850790699,-2.531239497246591,-3.2029783563435816,-3.247353145131066,0.0005657790405708999,0.48682955647212645
IL_Sweep_14dB,9,"[-0.001929380142178231, 0.005023898266017394, 0.03315816812022238, -0.2136601046743673, -0.033036571020188824, -0.017016892587448488, -0.008973411482487368, -0.016260676412032438, -0.0290158667506134, -0.02414729115932962]","[-0.001929, 0.005024, 0.033158, -0.21366, 0.670941, -0.033037, -0.017017, -0.008973, -0.016261]",-0.0290158667506134,-0.02414729115932962,-2.535615049853876,-3.159412926115371,-3.2569689139226656,0.0005533897185146029,0.45900210262891017
