env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,best_gain,seed_gain,early_stop,cloud
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.480751658239125,0.0003305585096264241,-2.448041188127092,-3.1244296931074422,15,5,False,-3.760077516998296,0.00017374906772551018,2,-3.7265511217027174,0.00018769334676461288,-3.6875494567504083,-0.27932585875917093,-0.24579946346359227,0.3,-0.09999999999999999,"[0.00847, 0.018718, 0.005517, -0.3, 0.595961, -0.009845, 0.038819, -0.019903, 0.002766]",-0.00038730584896422667,-0.0032956296417973223,1.9755690397534542,2.0,True,"{'n': 8, 'seed_lb': -3.022317993160315, 'seed_ber': 0.0009499090095872938, 'real_lb_min': -2.7907345842061266, 'real_lb_max': -0.962490242504265, 'spearman_real_va': 0.2380952380952381, 'spearman_real_vb': 0.3571428571428572, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-2.7551129711153712,0.001757466392483056,-2.23609109353161,-3.1244296931074422,15,4,False,-3.4535529669160034,0.00035192249914681563,3,-3.4535529669160034,0.00035192249914681563,-3.0040345664597825,-0.6984399958006322,-0.6984399958006322,1.0,-1.0,"[0.014134, 0.024648, 0.007482, -0.3, 0.569046, -0.021701, 0.030285, -0.027336, -0.005366]",-9.947364063396595e-05,-0.005548977740076311,1.9785642516937156,2.0,True,"{'n': 8, 'seed_lb': -2.5514589210375744, 'seed_ber': 0.0028089310508295213, 'real_lb_min': -2.4002001073831973, 'real_lb_max': -0.894940672458064, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.227509327715586,0.05922303668992993,-1.9170768638332076,-3.1244296931074422,15,4,False,-1.6978078662373808,0.02005359010672966,3,-1.6978078662373808,0.02005359010672966,-1.345283713180965,-0.4702985385217948,-0.4702985385217948,1.0,-1.0,"[0.013453, 0.021561, 0.001052, -0.3, 0.576448, -0.023923, 0.021484, -0.029266, -0.012813]",-0.0035713632919486065,-0.007423887229358598,1.984854951688125,2.0,True,"{'n': 8, 'seed_lb': -1.2337049644012634, 'seed_ber': 0.0583841599201222, 'real_lb_min': -1.7643678096143611, 'real_lb_max': -0.4268089081497827, 'spearman_real_va': 0.38095238095238104, 'spearman_real_vb': 0.6428571428571429, 'agree_a': 0.75, 'agree_b': 0.75, 'n_better_than_seed': 2}"
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-2.4052878605186554,0.003932893077116744,-1.9170768638332076,-3.1244296931074422,15,4,False,-3.2064002200864192,0.0006217270742226762,3,-3.2064002200864192,0.0006217270742226762,-2.608753840103641,-0.8011123595677638,-0.8011123595677638,1.0,-1.0,"[0.013453, 0.021561, 0.001052, -0.3, 0.576448, -0.023923, 0.021484, -0.029266, -0.012813]",-0.0035713632919486065,-0.007423887229358598,1.984854951688125,2.0,True,"{'n': 8, 'seed_lb': -2.300541039623618, 'seed_ber': 0.005005632484556054, 'real_lb_min': -2.271088239630603, 'real_lb_max': -0.4270912140704519, 'spearman_real_va': 0.5476190476190477, 'spearman_real_vb': 0.8333333333333335, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-3.0012355739487955,0.0009971590290617392,-2.448041188127092,-3.1244296931074422,15,5,False,-3.4235575829509766,0.0003770877437667449,3,-3.418799980662751,0.0003812413680793228,-3.2511599823161252,-0.4223220090021811,-0.41756440671395545,0.8999999999999998,-0.7999999999999999,"[0.011238, 0.024088, 0.017174, -0.3, 0.570442, -0.012562, 0.034794, -0.025339, 0.004363]",0.00017934945628569297,-0.003881321911072097,1.9692475051735523,2.0,True,"{'n': 8, 'seed_lb': -2.6880878666607595, 'seed_ber': 0.0020507472287212376, 'real_lb_min': -2.4265564381506133, 'real_lb_max': -0.42656868468666276, 'spearman_real_va': 0.9285714285714287, 'spearman_real_vb': 0.7857142857142858, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-2.6932713821330387,0.0020264160560207072,-2.2218312472401958,-3.1244296931074422,15,4,False,-3.4373827005655238,0.0003652727711602388,3,-3.4373827005655238,0.0003652727711602388,-2.901245696551932,-0.744111318432485,-0.744111318432485,1.0,-1.0,"[0.014093, 0.024121, -0.009192, -0.3, 0.565512, -0.031196, 0.023742, -0.029297, -0.002848]",-0.005500014904373282,-0.006919680775090177,1.9775143442764376,2.0,True,"{'n': 8, 'seed_lb': -2.5292126387993106, 'seed_ber': 0.0029565645221536897, 'real_lb_min': -2.4258697624018613, 'real_lb_max': -0.8952785814458448, 'spearman_real_va': 0.38095238095238104, 'spearman_real_vb': 0.6428571428571429, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.2900856614097993,0.0005127602358105234,-2.448041188127092,-3.1244296931074422,15,5,False,-3.5790533651063074,0.00026360074593948884,2,-3.553112436450508,0.0002798256772574195,-3.4614748396387927,-0.28896770369650815,-0.2630267750407085,0.6,-0.49999999999999994,"[0.00847, 0.018718, 0.005517, -0.3, 0.595961, -0.009845, 0.038819, -0.019903, 0.002766]",-0.00038730584896422667,-0.0032956296417973223,1.9755690397534542,2.0,True,"{'n': 8, 'seed_lb': -2.8230049441384946, 'seed_ber': 0.001503124853968951, 'real_lb_min': -2.5473640793448666, 'real_lb_max': -0.9124337791793151, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.4751548049060648,0.0003348460615123991,-2.448041188127092,-3.1244296931074422,15,5,False,-3.74742768128935,0.0001788843382481188,3,-3.723583588483471,0.0001889802466663965,-3.6774243138258433,-0.2722728763832851,-0.24842878357740616,0.39999999999999997,-0.19999999999999998,"[0.011238, 0.024088, 0.017174, -0.3, 0.570442, -0.012562, 0.034794, -0.025339, 0.004363]",0.00017934945628569297,-0.003881321911072097,1.9692475051735523,2.0,True,"{'n': 8, 'seed_lb': -3.0100319467657766, 'seed_ber': 0.0009771653378864258, 'real_lb_min': -2.740807387378708, 'real_lb_max': -0.9502489243285213, 'spearman_real_va': 0.2380952380952381, 'spearman_real_vb': 0.3571428571428572, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.453670104498665,0.000351827591673463,-2.448041188127092,-3.1244296931074422,15,5,False,-3.746424647771994,0.00017929796161585582,2,-3.709158451147694,0.00019536265504568038,-3.629413958278683,-0.29275454327332895,-0.25548834664902875,0.3,-0.09999999999999999,"[0.00847, 0.018718, 0.005517, -0.3, 0.595961, -0.009845, 0.038819, -0.019903, 0.002766]",-0.00038730584896422667,-0.0032956296417973223,1.9755690397534542,2.0,True,"{'n': 8, 'seed_lb': -2.9969238697085707, 'seed_ber': 0.0010071081958949164, 'real_lb_min': -2.7168806519239124, 'real_lb_max': -0.9275628852830545, 'spearman_real_va': 0.28571428571428575, 'spearman_real_vb': 0.523809523809524, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5855657710702324,0.00025967744470475554,-2.448041188127092,-3.1244296931074422,15,5,False,-3.7544450374608176,0.00017601714098243614,4,-3.7544450374608176,0.00017601714098243614,-3.720627479853229,-0.16887926639058515,-0.16887926639058515,0.8999999999999998,-0.7999999999999999,"[0.01383, 0.029132, 0.028143, -0.3, 0.546691, -0.014732, 0.031243, -0.030189, 0.006041]",0.0009485057481672589,-0.00426205473360698,1.963372928904058,2.0,True,"{'n': 8, 'seed_lb': -3.054582102455573, 'seed_ber': 0.0008818970655968611, 'real_lb_min': -2.768578177353659, 'real_lb_max': -0.9595911074041996, 'spearman_real_va': 0.30952380952380953, 'spearman_real_vb': 0.4761904761904762, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
