env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
HighNoise_IL10x10,0,"[-0.001578179517522109, 0.0011637334198092866, -0.01912563829567203, -0.28832021812529635, 0.0028454603736053413, 0.056005957564450086, -0.004440103121387732, -0.005731516943186666, 0.002459716984303333, 0.00019091795341971877, 1.9948183704927929]","[-0.001578, 0.001164, -0.019126, -0.28832, 0.620789, 0.002845, 0.056006, -0.00444, -0.005732]",0.002459716984303333,0.00019091795341971877,1.9948183704927929,-2.60255678503042,-3.60140894691359,-3.4490703258160296,0.0003555737354338524,3.0982348532550645
HighNoise_IL10x10,1,"[-0.0018561564524494198, 0.002497666608888207, -0.004679602398256745, -0.27771041437166955, 0.0059874908266116505, 0.05417761033763248, -0.004666622139360115, -0.006467196625712809, 0.0051202212346977095, 0.0006705081150098063, 1.9897249282828153]","[-0.001856, 0.002498, -0.00468, -0.27771, 0.641957, 0.005987, 0.054178, -0.004667, -0.006467]",0.0051202212346977095,0.0006705081150098063,1.9897249282828153,-2.6539590116524616,-3.698641261945226,-3.560806997305393,0.000274911560274303,2.8105192259706397
HighNoise_IL10x10,2,"[-0.0018024934466104566, 0.004120402983634697, 0.006818873479886439, -0.2661595963176103, 0.009706409632041588, 0.05262545721449483, -0.004251799385349956, -0.006683757862488022, 0.008217748253195562, 0.0014359117840820165, 1.9843572899565844]","[-0.001802, 0.00412, 0.006819, -0.26616, 0.647831, 0.009706, 0.052625, -0.004252, -0.006684]",0.008217748253195562,0.0014359117840820165,1.9843572899565844,-2.6945796651946528,-3.7083600499049627,-3.598382878363328,0.0002521257026949092,2.373153745832546
HighNoise_IL10x10,3,"[-0.0016384294235070721, 0.0059886227400601155, 0.015599266293249238, -0.2542503333560618, 0.013747289346425648, 0.05132459897412814, -0.0037865018535876587, -0.0068148611582610095, 0.011522479882638255, 0.002392977884849843, 1.97896875060745]","[-0.001638, 0.005989, 0.015599, -0.25425, 0.64685, 0.013747, 0.051325, -0.003787, -0.006815]",0.011522479882638255,0.002392977884849843,1.97896875060745,-2.7290808112335494,-3.6783473828702244,-3.6007233777934755,0.0002507706018193007,2.1254785245363124
HighNoise_IL10x10,4,"[-0.0014522340366526273, 0.007873726957775192, 0.023729083336476678, -0.24336833814070855, 0.017565129396018345, 0.05034439421860371, -0.0033718758458636455, -0.006921200279006324, 0.01458829086876959, 0.0033805481474976206, 1.9741659936891875]","[-0.001452, 0.007874, 0.023729, -0.243368, 0.645374, 0.017565, 0.050344, -0.003372, -0.006921]",0.01458829086876959,0.0033805481474976206,1.9741659936891875,-2.761253197068575,-3.6489570196308296,-3.581115368067722,0.00026235215259764647,2.155245202210717
HighNoise_IL10x10,5,"[-0.0012460260881637475, 0.009761127208835728, 0.03126919560655737, -0.23344577896258206, 0.021167586427538056, 0.049629184201304626, -0.0029676691640672906, -0.007029926093985818, 0.017430288259243174, 0.00437615096721047, 1.9698708620035912]","[-0.001246, 0.009761, 0.031269, -0.233446, 0.643484, 0.021168, 0.049629, -0.002968, -0.00703]",0.017430288259243174,0.00437615096721047,1.9698708620035912,-2.7912186374210735,-3.620258295431682,-3.5847942497739376,0.0002601391699852266,2.1819909201866174
HighNoise_IL10x10,6,"[-0.0010214740361210186, 0.011634609021259252, 0.03826719757003209, -0.2244097607931927, 0.02456032367990631, 0.04913005919967524, -0.0025622848600182885, -0.007146340213560734, 0.02006191174026772, 0.005362472566782055, 1.966019388924594]","[-0.001021, 0.011635, 0.038267, -0.22441, 0.641268, 0.02456, 0.04913, -0.002562, -0.007146]",0.02006191174026772,0.005362472566782055,1.966019388924594,-2.8191027536608093,-3.5923858681364775,-3.5836137094141356,0.0002608472668670909,2.2066641937749023
HighNoise_IL10x10,7,"[-0.0007799387108933365, 0.01347876675699676, 0.04476253549118283, -0.21618743813225766, 0.02774868790183339, 0.04880519604435445, -0.0021510102240610124, -0.00727146990582425, 0.02249583689516958, 0.00632653071926136, 1.9625582209379417]","[-0.00078, 0.013479, 0.044763, -0.216187, 0.638815, 0.027749, 0.048805, -0.002151, -0.007271]",0.02249583689516958,0.00632653071926136,1.9625582209379417,-2.8450316654634493,-3.5654836452721934,-3.5298101248845684,0.0002952499788093605,2.229889112012479
HighNoise_IL10x10,8,"[-0.0005226436823879174, 0.015280131314064475, 0.050789519966099164, -0.2087086156270497, 0.030738503963067494, 0.04861939767129566, -0.001731599642736199, -0.007405232844629984, 0.024744351379232976, 0.007258914735874412, 1.9594421464713705]","[-0.000523, 0.01528, 0.05079, -0.208709, 0.636204, 0.030739, 0.048619, -0.001732, -0.007405]",0.024744351379232976,0.007258914735874412,1.9594421464713705,-2.869128581468077,-3.5396800177804777,-3.498252480899657,0.0003175027703845431,2.2520510673999485
HighNoise_IL10x10,9,"[-0.0002507866610550936, 0.017027591561089538, 0.05637906373717721, -0.20190711970614414, 0.03353634210811294, 0.04854336594048914, -0.0013030476571680605, -0.007547179752154006, 0.02681944685029983, 0.008153094792822724, 1.9566323848599791]","[-0.000251, 0.017028, 0.056379, -0.201907, 0.633506, 0.033536, 0.048543, -0.001303, -0.007547]",0.02681944685029983,0.008153094792822724,1.9566323848599791,-2.891511727628116,-3.5150772947274618,-3.4802984909654864,0.00033090361297450624,2.2733805221938965
