env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
IL16x10,0,"[-0.001997556983476378, 0.00019351859836326944, -0.021303270366876185, -0.28649019653129126, -0.0019964210021034706, 0.053780370272828976, -0.004453615615772093, -0.006457761436543807, -0.00012499728675440634, -0.0005108983537936022, 1.9968271593603288]","[-0.001998, 0.000194, -0.021303, -0.28649, 0.623327, -0.001996, 0.05378, -0.004454, -0.006458]",-0.00012499728675440634,-0.0005108983537936022,1.9968271593603288,-2.671193805296427,-3.5944907837256435,-2.8358962293335743,0.0014591628721537212,5.092288232481672
IL16x10,1,"[-0.0020195918568312442, 0.0007567911972263234, -0.00843843377595723, -0.2739240261306321, -0.0016843125143445456, 0.05004560643296372, -0.004157055660885286, -0.006573064882129082, 8.632906834478923e-05, -0.0007238385909394346, 1.993523248830687]","[-0.00202, 0.000757, -0.008438, -0.273924, 0.652401, -0.001684, 0.050046, -0.004157, -0.006573]",8.632906834478923e-05,-0.0007238385909394346,1.993523248830687,-2.7492782563292213,-3.7170851422381266,-2.993816366900789,0.0010143401893856893,4.323291674731068
IL16x10,2,"[-0.0017852668516664446, 0.001710446334416245, 0.0027650114710302976, -0.26166204690726197, -0.0011255907981333395, 0.047128532001612156, -0.0037063195469332934, -0.006635330042149572, 0.0006000260363029941, -0.0006987566773014233, 1.990199869052979]","[-0.001785, 0.00171, 0.002765, -0.261662, 0.673481, -0.001126, 0.047129, -0.003706, -0.006635]",0.0006000260363029941,-0.0006987566773014233,1.990199869052979,-2.8121901596856933,-3.798731398806722,-2.9466958176048688,0.0011305875075249077,3.7851121153238285
IL16x10,3,"[-0.0014621237475286272, 0.0031978610841049836, 0.009089360734042037, -0.2478206651587174, -0.00048792051925967224, 0.04447533983418123, -0.0031995974439492534, -0.006730842970440377, 0.001461565746158224, -0.00044327830699633007, 1.9863424642174263]","[-0.001462, 0.003198, 0.009089, -0.247821, 0.683536, -0.000488, 0.044475, -0.0032, -0.006731]",0.001461565746158224,-0.00044327830699633007,1.9863424642174263,-2.8590417075964614,-3.811595547553442,-3.022809504913445,0.0009488345604288111,2.9008560764831346
IL16x10,4,"[-0.0011886793855806327, 0.004862272583408766, 0.015236045038206802, -0.23518958670182868, -2.5224607939194335e-06, 0.042496733517493945, -0.0028017477000030462, -0.006816328406203482, 0.0024236513378631626, -4.968233274521561e-05, 1.9827695591775218]","[-0.001189, 0.004862, 0.015236, -0.23519, 0.691406, -3e-06, 0.042497, -0.002802, -0.006816]",0.0024236513378631626,-4.968233274521561e-05,1.9827695591775218,-2.9007220971331216,-3.818128278744123,-2.9920432238830608,0.0010184900160910891,2.8108777462139085
IL16x10,5,"[-0.0009133656092443934, 0.0066433387984975514, 0.02116022885121652, -0.22368839038839364, 0.00045894426662015285, 0.04105290205713356, -0.0024232402899126387, -0.006909067385703238, 0.0034427482526308436, 0.00044317872386669653, 1.979468059444667]","[-0.000913, 0.006643, 0.02116, -0.223688, 0.696751, 0.000459, 0.041053, -0.002423, -0.006909]",0.0034427482526308436,0.00044317872386669653,1.979468059444667,-2.937726157495513,-3.8157729218520546,-3.034162692112208,0.0009243518353815389,2.7392162214480846
IL16x10,6,"[-0.0006307072868483895, 0.008488467358166232, 0.026825232932595148, -0.21323549602841843, 0.0011272266350072003, 0.040027731268208265, -0.0020519380368921977, -0.0070109515694816394, 0.004483223380842982, 0.0010015720097276452, 1.9764281121005447]","[-0.000631, 0.008488, 0.026825, -0.213235, 0.700602, 0.001127, 0.040028, -0.002052, -0.007011]",0.004483223380842982,0.0010015720097276452,1.9764281121005447,-2.9712137937655987,-3.809754868568783,-2.996926450747884,0.001007102210605601,2.6867290480519834
IL16x10,7,"[-0.00033796791533844377, 0.010359285296103317, 0.03221275603644454, -0.2037442616969664, 0.0019359135516436696, 0.0393299879661252, -0.001680802444549479, -0.007121986927694869, 0.00551876033686784, 0.0015993038701596018, 1.973633611773044]","[-0.000338, 0.010359, 0.032213, -0.203744, 0.703277, 0.001936, 0.03933, -0.001681, -0.007122]",0.00551876033686784,0.0015993038701596018,1.973633611773044,-3.001629936690871,-3.801127570425172,-2.9588448349262975,0.0010993985632544395,2.645714617014605
IL16x10,8,"[-3.473436247412577e-05, 0.012225671546055451, 0.03731318548269644, -0.19870000000000002, 0.0028344479655393936, 0.038887775042092024, -0.0013070525978489034, -0.0072415329006611925, 0.00653136674212583, 0.002216390662373838, 1.9710680124384652]","[-3.5e-05, 0.012226, 0.037313, -0.1987, 0.701456, 0.002834, 0.038888, -0.001307, -0.007242]",0.00653136674212583,0.002216390662373838,1.9710680124384652,-3.021531893282536,-3.782703891629289,-2.948908823114852,0.001124841101173502,2.6136647779811053
IL16x10,9,"[0.00024073004355556837, 0.01402761962847743, 0.04208822267822584, -0.19870000000000002, 0.003745409220790047, 0.03858857621411565, -0.0009790055717155814, -0.007355897042308449, 0.007501359673658487, 0.002823600954402837, 1.9687191220798899]","[0.000241, 0.014028, 0.042088, -0.1987, 0.694275, 0.003745, 0.038589, -0.000979, -0.007356]",0.007501359673658487,0.002823600954402837,1.9687191220798899,-3.0296459075015334,-3.751326273943153,-2.9083262596457398,0.0012350192882309206,2.603929466991723
IL16x10,10,"[0.0005142622134432066, 0.01571214412415967, 0.04650633355586578, -0.19870000000000002, 0.004603671712477747, 0.03833460343667409, -0.0007392658061265362, -0.0074512756144047, 0.008414724218994555, 0.003396830240927417, 1.9665760764399556]","[0.000514, 0.015712, 0.046506, -0.1987, 0.687438, 0.004604, 0.038335, -0.000739, -0.007451]",0.008414724218994555,0.003396830240927417,1.9665760764399556,-3.0371797943227947,-3.721507856689799,-2.9066580443285406,0.001239772376812824,2.6193202274378633
IL16x10,11,"[0.0007906920153026673, 0.017284355422644147, 0.05059159053886688, -0.19870000000000002, 0.0054096318649769016, 0.038118521443776025, -0.0005531127295804465, -0.007533747727993687, 0.009272547659115735, 0.003936457001452495, 1.9646205432691672]","[0.000791, 0.017284, 0.050592, -0.1987, 0.681018, 0.00541, 0.038119, -0.000553, -0.007534]",0.009272547659115735,0.003936457001452495,1.9646205432691672,-3.04420770112288,-3.693592927118821,-2.9003188941486706,0.0012580013461968155,2.6348801063022975
IL16x10,12,"[0.0010661875613430013, 0.018749840595205722, 0.05436728611444164, -0.19870000000000002, 0.006164593164643943, 0.037934366718258804, -0.0004013300268343641, -0.007607023502998889, 0.01007653113931539, 0.004443270932288336, 1.9628354950760194]","[0.001066, 0.01875, 0.054367, -0.1987, 0.675009, 0.006165, 0.037934, -0.000401, -0.007607]",0.01007653113931539,0.004443270932288336,1.9628354950760194,-3.050765590146989,-3.667539449880592,-2.884762352927826,0.0013038800698488937,2.6500170426974634
IL16x10,13,"[0.0013377491759101626, 0.020114279723775292, 0.05785545603319239, -0.19870000000000002, 0.006870305372461101, 0.037777139885977286, -0.0002728612672834919, -0.007673395898615339, 0.010828687525873104, 0.004918275412425778, 1.9612054393683644]","[0.001338, 0.020114, 0.057855, -0.1987, 0.669399, 0.00687, 0.037777, -0.000273, -0.007673]",0.010828687525873104,0.004918275412425778,1.9612054393683644,-3.056883432101935,-3.64327526551797,-2.8655841631999035,0.0013627488895172398,2.6645944068528324
IL16x10,14,"[0.0016030582190558445, 0.021383333471200597, 0.06107682979004466, -0.19870000000000002, 0.007528804049176058, 0.03764265020747065, -0.0001610703961065859, -0.007734317477136096, 0.01153123398847459, 0.005362639493346818, 1.9597163237849635]","[0.001603, 0.021383, 0.061077, -0.1987, 0.66417, 0.007529, 0.037643, -0.000161, -0.007734]",0.01153123398847459,0.005362639493346818,1.9597163237849635,-3.0625877914275645,-3.62071379690174,-2.8877161792137707,0.0012950419027019093,2.6785427898771306
