env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,best_gain,seed_gain,early_stop,cloud
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.480751658239125,0.0003305585096264241,-2.5544509725564333,-3.550871798449855,15,15,True,-3.746836496776096,0.00017912801083949518,3,-3.6393947179076775,0.00022940626919619526,-3.638526654338685,-0.26608483853697074,-0.1586430596685524,-0.6749999999999999,0.807142857142857,"[-0.001644, 0.005971, 0.015588, -0.254233, 0.646926, 0.013727, 0.051308, -0.003793, -0.00681]",0.0,0.0,2.0,2.0,False,
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-2.7551129711153712,0.001757466392483056,-2.5648050882301434,-3.550871798449855,15,15,True,-3.068098049274908,0.0008548736890001821,2,-2.714910667295174,0.0019279214384336453,-2.714910667295174,-0.3129850781595369,0.040202303820197294,-0.9178571428571428,0.9392857142857142,"[-0.001662, 0.002885, 0.004795, -0.262627, 0.666932, 0.000539, 0.050364, -0.003476, -0.006719]",0.0,0.0,2.0,2.0,False,
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.227509327715586,0.05922303668992993,-2.6094440133469194,-3.550871798449855,15,15,True,-1.2353161343708765,0.058167964371934756,0,-0.956599218422253,0.11050979711185052,-0.956599218422253,-0.0078068066552905435,0.2709101092933329,-1.0,0.6107142857142855,"[-0.001617, 0.000632, -0.021049, -0.286554, 0.62344, -0.002522, 0.053804, -0.00423, -0.006153]",0.0,0.0,2.0,2.0,False,
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-2.4052878605186554,0.003932893077116744,-2.6094440133469194,-3.550871798449855,15,15,True,-2.613294582307338,0.0024361578099502683,1,-2.3946245080483597,0.004030653749137029,-2.3946245080483597,-0.20800672178868274,0.010663352470295706,-0.9285714285714284,0.7785714285714285,"[-0.00151, 0.001736, -0.007988, -0.274209, 0.651605, -0.002464, 0.050068, -0.004061, -0.006358]",0.0,0.0,2.0,2.0,False,
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-3.0012355739487955,0.0009971590290617392,-2.5544509725564333,-3.550871798449855,15,15,True,-3.2879286509402355,0.0005153132970485523,1,-2.5848599131973113,0.002600998410554383,-2.5846933982867966,-0.28669307699144,0.41637566075148413,-0.9607142857142855,0.9892857142857142,"[-0.001858, 0.002495, -0.004681, -0.277707, 0.641967, 0.005983, 0.054175, -0.004668, -0.006466]",0.0,0.0,2.0,2.0,False,
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-2.6932713821330387,0.0020264160560207072,-2.605250486184432,-3.550871798449855,15,15,True,-3.00310481638178,0.0009928763901368481,5,-2.838174926241136,0.001451526850134925,-2.8213084575283243,-0.3098334342487412,-0.14490354410809747,-0.6321428571428571,0.8464285714285712,"[-0.000916, 0.006636, 0.021151, -0.223686, 0.6968, 0.000446, 0.041027, -0.002431, -0.006906]",0.0,0.0,2.0,2.0,False,
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.2900856614097993,0.0005127602358105234,-2.5544509725564333,-3.550871798449855,15,15,True,-3.5115124105199826,0.0003079552338100315,2,-3.2034258473873236,0.0006259997396831533,-3.2034258473873236,-0.22142674911018334,0.08665981402247569,-0.9249999999999998,0.9857142857142854,"[-0.001806, 0.004112, 0.006814, -0.266151, 0.647869, 0.009695, 0.052617, -0.004255, -0.006681]",0.0,0.0,2.0,2.0,False,
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.4751548049060648,0.0003348460615123991,-2.5544509725564333,-3.550871798449855,15,15,True,-3.73301929660759,0.00018491864539504368,2,-3.591923731386004,0.0002559035252355252,-3.583424935691055,-0.25786449170152537,-0.11676892647993942,-0.8392857142857142,0.9535714285714283,"[-0.001806, 0.004112, 0.006814, -0.266151, 0.647869, 0.009695, 0.052617, -0.004255, -0.006681]",0.0,0.0,2.0,2.0,False,
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.453670104498665,0.000351827591673463,-2.5544509725564333,-3.550871798449855,15,15,True,-3.7104421762126383,0.00019478603789719093,2,-3.4744285547937572,0.0003354064771846578,-3.4659063197342665,-0.2567720717139732,-0.020758450295092157,-0.8571428571428571,0.9535714285714283,"[-0.001806, 0.004112, 0.006814, -0.266151, 0.647869, 0.009695, 0.052617, -0.004255, -0.006681]",0.0,0.0,2.0,2.0,False,
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5855657710702324,0.00025967744470475554,-2.5544509725564333,-3.550871798449855,15,15,True,-3.760041366460637,0.00017376353114584902,5,-3.60722159068991,0.00024704633153822196,-3.60722159068991,-0.1744755953904047,-0.02165581961967744,-0.8214285714285712,0.914285714285714,"[-0.001256, 0.009724, 0.031241, -0.233407, 0.643644, 0.021131, 0.049596, -0.002981, -0.00702]",0.0,0.0,2.0,2.0,False,
DGD5ps,10.0,10.0,0.0,5.0,45.0,False,-3.541400739231085,0.000287474455970738,-2.5544509725564333,-3.550871798449855,15,15,True,-3.745668724553368,0.0001796103153789663,3,-3.5726496753680883,0.0002675163465244681,-3.5726496753680883,-0.20426798532228307,-0.03124893613700319,-0.8214285714285712,0.9357142857142854,"[-0.001644, 0.005971, 0.015588, -0.254233, 0.646926, 0.013727, 0.051308, -0.003793, -0.00681]",0.0,0.0,2.0,2.0,False,
