env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
CD15ps,0,"[-0.001578179517522109, 0.0011637334198092866, -0.01912563829567203, -0.28832021812529635, 0.0028454603736053413, 0.056005957564450086, -0.004440103121387732, -0.005731516943186666, 0.0, 0.0, 2.0]","[-0.001578, 0.001164, -0.019126, -0.28832, 0.620789, 0.002845, 0.056006, -0.00444, -0.005732]",0.0,0.0,2.0,-2.60149834574951,-3.6009733205340253,-3.6425892569637757,0.0002277250169309794,3.0982348532550645
CD15ps,1,"[-0.0018576843146347432, 0.0024945627226833017, -0.004680924514747322, -0.2777074783472999, 0.005983420628453899, 0.05417454166074482, -0.004668027003953777, -0.0064660737908832705, 0.0, 0.0, 2.0]","[-0.001858, 0.002495, -0.004681, -0.277707, 0.641967, 0.005983, 0.054175, -0.004668, -0.006466]",0.0,0.0,2.0,-2.6519091652546556,-3.6980994781602026,-3.7253565955999526,0.00018821030756292702,2.8121966272164878
CD15ps,2,"[-0.0018057926181350669, 0.004111501980633183, 0.006814485253600091, -0.2661510644185898, 0.009695284482321244, 0.05261675407010632, -0.0042554307219494405, -0.006680932088589961, 0.0, 0.0, 2.0]","[-0.001806, 0.004112, 0.006814, -0.266151, 0.647869, 0.009695, 0.052617, -0.004255, -0.006681]",0.0,0.0,2.0,-2.6915062077137764,-3.707675032415867,-3.73301929660759,0.00018491864539504368,2.375578300522295
CD15ps,3,"[-0.0016438270559363754, 0.005971420892152974, 0.015587629909575943, -0.2542327829410246, 0.013727480383457186, 0.05130821283394203, -0.0037930305527709195, -0.006809888667313391, 0.0, 0.0, 2.0]","[-0.001644, 0.005971, 0.015588, -0.254233, 0.646926, 0.013727, 0.051308, -0.003793, -0.00681]",0.0,0.0,2.0,-2.724991622602339,-3.677332063982399,-3.71893832916904,0.00019101244814471354,2.1282746132113077
CD15ps,4,"[-0.0014598699140710928, 0.007846795816014681, 0.023709469744396222, -0.24334052599896303, 0.017536544127449264, 0.050319805777800736, -0.0033815779795556143, -0.006913896446820022, 0.0, 0.0, 2.0]","[-0.00146, 0.007847, 0.023709, -0.243341, 0.645492, 0.017537, 0.05032, -0.003382, -0.006914]",0.0,0.0,2.0,-2.75627747000542,-3.647558248089828,-3.731937948331872,0.00018537964735359944,2.158755046670232
CD15ps,5,"[-0.0012559818394658859, 0.00972372520666396, 0.031241488946502236, -0.233407128211325, 0.02113076330949855, 0.049596431720527495, -0.002980749845758336, -0.007020161337402281, 0.0, 0.0, 2.0]","[-0.001256, 0.009724, 0.031241, -0.233407, 0.643644, 0.021131, 0.049596, -0.002981, -0.00702]",0.0,0.0,2.0,-2.785463886561263,-3.618425710037331,-3.7219232767200157,0.00018970410264457582,2.186041774551254
CD15ps,6,"[-0.0010338449253798503, 0.011586444835459894, 0.038231621528919124, -0.22436011508526307, 0.02451609551635987, 0.0490894872661244, -0.0025789347066547987, -0.007133967644237643, 0.0, 0.0, 2.0]","[-0.001034, 0.011586, 0.038232, -0.22436, 0.641469, 0.024516, 0.049089, -0.002579, -0.007134]",0.0,0.0,2.0,-2.8126597003666385,-3.590075977835401,-3.7128133858888717,0.0001937254213325335,2.2111302437717555
CD15ps,7,"[-0.0007948385211075331, 0.013419848863354894, 0.04471949512809013, -0.21612690916645563, 0.02769799287229276, 0.04875730807982536, -0.002171414910887471, -0.007256326126325236, 0.0, 0.0, 2.0]","[-0.000795, 0.01342, 0.044719, -0.216127, 0.639056, 0.027698, 0.048757, -0.002171, -0.007256]",0.0,0.0,2.0,-2.837977757944766,-3.5626617821279067,-3.711559033880544,0.0001942857580211368,2.2346777678347465
CD15ps,8,"[-0.0005401995986409068, 0.015210669150188795, 0.0507395098813324, -0.2086374851139903, 0.03068228133846059, 0.048564768237678, -0.001755941389203836, -0.007387145357269856, 0.0, 0.0, 2.0]","[-0.00054, 0.015211, 0.05074, -0.208637, 0.636482, 0.030682, 0.048565, -0.001756, -0.007387]",0.0,0.0,2.0,-2.8615305659269006,-3.536320922684811,-3.673744012010411,0.00021196101376649322,2.257093074878771
CD15ps,9,"[-0.0002711333000542065, 0.016947928644344853, 0.056322614809922615, -0.20182577445534333, 0.03347547717351148, 0.048482588529614706, -0.0013315042617265457, -0.00752597383489295, 0.0, 0.0, 2.0]","[-0.000271, 0.016948, 0.056323, -0.201826, 0.633817, 0.033475, 0.048483, -0.001332, -0.007526]",0.0,0.0,2.0,-2.883427571343055,-3.51116485449292,-3.6262395469339253,0.00023646150699601303,2.2786229739370154
CD15ps,10,"[1.1117542649609216e-05, 0.018623000933667554, 0.06149732120286348, -0.19870000000000002, 0.03608481139453021, 0.04848656903054309, -0.0008978849207332322, -0.007672202651434814, 0.0, 0.0, 2.0]","[1.1e-05, 0.018623, 0.061497, -0.1987, 0.628027, 0.036085, 0.048487, -0.000898, -0.007672]",0.0,0.0,2.0,-2.8986917820129245,-3.4805103459260516,-3.6209315842078573,0.00023936928127533524,2.2994138270613003
CD15ps,11,"[0.00028236766349944923, 0.020208600292496656, 0.066, -0.19870000000000002, 0.038493394772711034, 0.048517142133924, -0.0004972873645785974, -0.007813656426110847, 0.0, 0.0, 2.0]","[0.000282, 0.020209, 0.066, -0.1987, 0.619488, 0.038493, 0.048517, -0.000497, -0.007814]",0.0,0.0,2.0,-2.9076443323041037,-3.4441953327704926,-3.596232760079649,0.00025337702926211904,2.3192406202530305
CD15ps,12,"[0.0005550403693265308, 0.021684947819995828, 0.066, -0.19870000000000002, 0.04068980564096747, 0.04852969833148916, -0.00015956417847001915, -0.007939854732886924, 0.0, 0.0, 2.0]","[0.000555, 0.021685, 0.066, -0.1987, 0.615741, 0.04069, 0.04853, -0.00016, -0.00794]",0.0,0.0,2.0,-2.910108651555524,-3.428270455204843,-3.6191836679604386,0.00024033461832561205,2.338860330832745
CD15ps,13,"[0.0008097809711547744, 0.023048279669542353, 0.066, -0.19870000000000002, 0.0426713451120945, 0.0485193305522907, 0.00011604834319594643, -0.00804287656316413, 0.0, 0.0, 2.0]","[0.00081, 0.023048, 0.066, -0.1987, 0.612092, 0.042671, 0.048519, 0.000116, -0.008043]",0.0,0.0,2.0,-2.9122711841644833,-3.412506418832338,-3.583424935691055,0.0002609606733575749,2.346519550723043
CD15ps,14,"[0.001046784101773833, 0.024306079860170176, 0.066, -0.19870000000000002, 0.04446025101200093, 0.04849036070536428, 0.0003561910438498726, -0.008127676372325946, 0.0, 0.0, 2.0]","[0.001047, 0.024306, 0.066, -0.1987, 0.608513, 0.04446, 0.04849, 0.000356, -0.008128]",0.0,0.0,2.0,-2.914165799461876,-3.3967658289166156,-3.591923731386004,0.0002559035252355252,2.354547376628433
