env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
HighNoise_IL16x16,0,"[-0.001997556983476378, 0.00019351859836326944, -0.021303270366876185, -0.28649019653129126, -0.0019964210021034706, 0.053780370272828976, -0.004453615615772093, -0.006457761436543807, 0.0, 0.0, 2.0]","[-0.001998, 0.000194, -0.021303, -0.28649, 0.623327, -0.001996, 0.05378, -0.004454, -0.006458]",0.0,0.0,2.0,-2.670577176858344,-3.594093723823051,-2.638948827178809,0.0022964192187318127,5.092288232481672
HighNoise_IL16x16,1,"[-0.0020197659041984325, 0.0007563283151364493, -0.00843898330179064, -0.27392391564398444, -0.001686545681283313, 0.05004369332559383, -0.004158254109887643, -0.006572949143844052, 0.0, 0.0, 2.0]","[-0.00202, 0.000756, -0.008439, -0.273924, 0.6524, -0.001687, 0.050044, -0.004158, -0.006573]",0.0,0.0,2.0,-2.7480697524035786,-3.7165130058383347,-2.639291738185784,0.002294606723624516,4.324890282633596
HighNoise_IL16x16,2,"[-0.0017856945375396933, 0.0017090944670976297, 0.0027637603996574552, -0.26166187355275733, -0.0011302647898353965, 0.04712309818011203, -0.0037089523726615615, -0.0066349409572393, 0.0, 0.0, 2.0]","[-0.001786, 0.001709, 0.002764, -0.261662, 0.673482, -0.00113, 0.047123, -0.003709, -0.006635]",0.0,0.0,2.0,-2.8104181686016427,-3.798138623241951,-2.5203044891660924,0.0030178351374304576,3.7877210366967504
HighNoise_IL16x16,3,"[-0.0014629891556677494, 0.003194985332957115, 0.009085866160393146, -0.24782014762433013, -0.000495557992574663, 0.044464210606617045, -0.0032040717346302587, -0.006729934080363216, 0.0, 0.0, 2.0]","[-0.001463, 0.003195, 0.009086, -0.24782, 0.683542, -0.000496, 0.044464, -0.003204, -0.00673]",0.0,0.0,2.0,-2.8566212325407587,-3.810880387069866,-2.4677046201029675,0.003406397927762943,2.90358477695436
HighNoise_IL16x16,4,"[-0.0011901677671395498, 0.004857344842934739, 0.015229856292686528, -0.23518834051848056, -1.2984194675598948e-05, 0.04247877544748459, -0.0028080697352353004, -0.006814663674525055, 0.0, 0.0, 2.0]","[-0.00119, 0.004857, 0.01523, -0.235188, 0.69142, -1.3e-05, 0.042479, -0.002808, -0.006815]",0.0,0.0,2.0,-2.897719517953695,-3.8173162808285066,-2.3975759643862204,0.004003354377478065,2.8142652650263886
HighNoise_IL16x16,5,"[-0.000915601872388907, 0.006635953612144687, 0.021151102256490112, -0.22368596543068794, 0.00044567307501879435, 0.04102741009191944, -0.0024314507736899606, -0.0069064905145675036, 0.0, 0.0, 2.0]","[-0.000916, 0.006636, 0.021151, -0.223686, 0.6968, 0.000446, 0.041027, -0.002431, -0.006906]",0.0,0.0,2.0,-2.9342115277259864,-3.8149924346695667,-2.2873046238147614,0.0051605427034486845,2.743090495347195
HighNoise_IL16x16,6,"[-0.0006337358380488591, 0.008478460223145298, 0.026813316187467406, -0.2132311792861895, 0.0011051494262381597, 0.0399944548741836, -0.002061966307321474, -0.00700733249755344, 0.0, 0.0, 2.0]","[-0.000634, 0.008478, 0.026813, -0.213231, 0.700674, 0.001105, 0.039994, -0.002062, -0.007007]",0.0,0.0,2.0,-2.9672254688197293,-3.8089045592597155,-2.1977085051691065,0.006342953021263105,2.69079234893263
HighNoise_IL16x16,7,"[-0.00034192334953791055, 0.010346473288787258, 0.03219809780936829, -0.2037375356997525, 0.0019051371808816119, 0.039288908865563535, -0.0016927225974226875, -0.007117178382637108, 0.0, 0.0, 2.0]","[-0.000342, 0.010346, 0.032198, -0.203738, 0.703372, 0.001905, 0.039289, -0.001693, -0.007117]",0.0,0.0,2.0,-2.9972126080714045,-3.8001901786417687,-2.0973499729944387,0.00799189974120806,2.6500001931391433
HighNoise_IL16x16,8,"[-3.973910726173948e-05, 0.012209939325079463, 0.03729587680143477, -0.19870000000000002, 0.0027952406808107143, 0.03883903958472496, -0.0013209267013632254, -0.0072353946060618336, 0.0, 0.0, 2.0]","[-4e-05, 0.01221, 0.037296, -0.1987, 0.701564, 0.002795, 0.038839, -0.001321, -0.007235]",0.0,0.0,2.0,-3.016687370640329,-3.7816035670004,-2.039789903339203,0.009124521454159052,2.618120637425807
HighNoise_IL16x16,9,"[0.000234478709802109, 0.014008763198356883, 0.04206819490074019, -0.19870000000000002, 0.003698038500323857, 0.03853231445153504, -0.0009949026346886944, -0.007348283072337901, 0.0, 0.0, 2.0]","[0.000234, 0.014009, 0.042068, -0.1987, 0.694415, 0.003698, 0.038532, -0.000995, -0.007348]",0.0,0.0,2.0,-3.024405578430237,-3.750057947839738,-2.0213349528624476,0.009520615961736183,2.6086450499002187
HighNoise_IL16x16,10,"[0.000505222448657219, 0.01569006594483841, 0.04648355798428074, -0.19870000000000002, 0.004548592516482732, 0.03827119934254709, -0.0007569445920132371, -0.007442142032613, 0.0, 0.0, 2.0]","[0.000505, 0.01569, 0.046484, -0.1987, 0.687602, 0.004549, 0.038271, -0.000757, -0.007442]",0.0,0.0,2.0,-3.0315738575348896,-3.7200103379739313,-2.0181559030294864,0.009590562876952131,2.624290793887663
HighNoise_IL16x16,11,"[0.0007787871016009167, 0.017258995543453625, 0.0505660511122151, -0.19870000000000002, 0.005347297322242742, 0.0380483582601228, -0.0005724213802550213, -0.0075230830943179864, 0.0, 0.0, 2.0]","[0.000779, 0.017259, 0.050566, -0.1987, 0.681205, 0.005347, 0.038048, -0.000572, -0.007523]",0.0,0.0,2.0,-3.038267283371223,-3.6918593797308956,-2.016108650554402,0.009635879257885716,2.6401157706700125
HighNoise_IL16x16,12,"[0.0010513877527074946, 0.018721190040491265, 0.05433900482401967, -0.19870000000000002, 0.006095465962090947, 0.037857843431913694, -0.00042214715054883755, -0.0075948397197782265, 0.0, 0.0, 2.0]","[0.001051, 0.018721, 0.054339, -0.1987, 0.675218, 0.006095, 0.037858, -0.000422, -0.007595]",0.0,0.0,2.0,-3.044519032984186,-3.6655669608270136,-2.0044998220186994,0.009896922694618253,2.6554878129361676
HighNoise_IL16x16,13,"[0.0013200628722906157, 0.020082369947294103, 0.057824483945748184, -0.19870000000000002, 0.006794845373642774, 0.03769465927898044, -0.0002950848483423056, -0.007659719353680336, 0.0, 0.0, 2.0]","[0.00132, 0.020082, 0.057824, -0.1987, 0.669629, 0.006795, 0.037695, -0.000295, -0.00766]",0.0,0.0,2.0,-3.0503565557478947,-3.641064123925941,-1.9933965787142183,0.010153211226126608,2.670274041789974
HighNoise_IL16x16,14,"[0.0015825243773648768, 0.021348227553687746, 0.061043239908552024, -0.19870000000000002, 0.007447459749559392, 0.03755461022376638, -0.00018461132545608737, -0.007719184226768506, 0.0, 0.0, 2.0]","[0.001583, 0.021348, 0.061043, -0.1987, 0.66442, 0.007447, 0.037555, -0.000185, -0.007719]",0.0,0.0,2.0,-3.055804135314861,-3.618266868260482,-1.9999398965290274,0.01000138402933101,2.684408239170989
