env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
IL14x14,0,"[-0.0018177323383083651, 0.0005790305996621757, -0.020179557477314685, -0.28688723720802817, -0.0005553813742446819, 0.054996247688858114, -0.003992022793716292, -0.006217925882385359, 0.0, 0.0, 2.0]","[-0.001818, 0.000579, -0.02018, -0.286887, 0.624775, -0.000555, 0.054996, -0.003992, -0.006218]",0.0,0.0,2.0,-2.634494811104308,-3.6088612371154003,-2.9055904076362573,0.0012428238886795164,4.928786857201472
IL14x14,1,"[-0.0018817409450106262, 0.0015190497187132878, -0.0065044411644955644, -0.27493286691159197, -0.00012530818450465138, 0.05239946208497779, -0.003886146457308338, -0.00659268773288936, 0.0, 0.0, 2.0]","[-0.001882, 0.001519, -0.006504, -0.274933, 0.652158, -0.000125, 0.052399, -0.003886, -0.006593]",0.0,0.0,2.0,-2.710849124190893,-3.7284799036238185,-3.0463221357502928,0.000898830631101665,4.253525782867195
IL14x14,2,"[-0.001662393715992178, 0.002885393423094751, 0.004795496136479102, -0.26262724497850604, 0.0005386750072641179, 0.05036404149417682, -0.0034758728873895183, -0.006719029918798282, 0.0, 0.0, 2.0]","[-0.001662, 0.002885, 0.004795, -0.262627, 0.666932, 0.000539, 0.050364, -0.003476, -0.006719]",0.0,0.0,2.0,-2.769432161015709,-3.778432380122333,-3.068098049274908,0.0008548736890001821,3.5517825375958503
IL14x14,3,"[-0.0013724394023782904, 0.004725164760617479, 0.01241109823387512, -0.24936267770942364, 0.0016267648174568667, 0.048683760123825456, -0.003034598295549413, -0.006838392405853058, 0.0, 0.0, 2.0]","[-0.001372, 0.004725, 0.012411, -0.249363, 0.671945, 0.001627, 0.048684, -0.003035, -0.006838]",0.0,0.0,2.0,-2.8148421117390274,-3.770222096830987,-3.0454455887790153,0.0009006465945115938,2.892401333696372
IL14x14,4,"[-0.001112917746871867, 0.00667844444129051, 0.019632127443558814, -0.2373092965556722, 0.002930755632282007, 0.04751283987503186, -0.0026681262006915517, -0.006939529688532597, 0.0, 0.0, 2.0]","[-0.001113, 0.006678, 0.019632, -0.237309, 0.675216, 0.002931, 0.047513, -0.002668, -0.00694]",0.0,0.0,2.0,-2.855996456013132,-3.757796536499459,-3.0420217726276775,0.0009077750192546655,2.846093203942425
IL14x14,5,"[-0.0008469592963104892, 0.008697668672044377, 0.0264554369545296, -0.22637264584253308, 0.004368335668661681, 0.04673907703829544, -0.0023120178985832148, -0.007045858778588588, 0.0, 0.0, 2.0]","[-0.000847, 0.008698, 0.026455, -0.226373, 0.677162, 0.004368, 0.046739, -0.002312, -0.007046]",0.0,0.0,2.0,-2.893472996929395,-3.7425819392408988,-2.9844482005210686,0.0010364582182374497,2.8107641912204673
IL14x14,6,"[-0.0005682298029012396, 0.010743865550893007, 0.03288291558641666, -0.21645715872131166, 0.005879639444660434, 0.046274209927312716, -0.001953435289263312, -0.007161101861931782, 0.0, 0.0, 2.0]","[-0.000568, 0.010744, 0.032883, -0.216457, 0.678079, 0.00588, 0.046274, -0.001953, -0.007161]",0.0,0.0,2.0,-2.927696918833467,-3.725520339101237,-2.9541659394533473,0.0011113070271684576,2.783932981472488
IL14x14,7,"[-0.00027554254364378443, 0.012785639168826518, 0.03892055366548401, -0.20747091772591705, 0.00742073007682249, 0.046048344442052545, -0.0015883107114953588, -0.007285617848750816, 0.0, 0.0, 2.0]","[-0.000276, 0.012786, 0.038921, -0.207471, 0.678204, 0.007421, 0.046048, -0.001588, -0.007286]",0.0,0.0,2.0,-2.959017992180143,-3.7073324520072606,-2.884046887272395,0.0013060298790079584,2.763945943893283
IL14x14,8,"[3.097751327537138e-05, 0.014798232402947063, 0.04457778995692651, -0.1993275949318656, 0.008959446129944456, 0.046005947433244765, -0.0012150502827333808, -0.007419001885469964, 0.0, 0.0, 2.0]","[3.1e-05, 0.014798, 0.044578, -0.199328, 0.677666, 0.008959, 0.046006, -0.001215, -0.007419]",0.0,0.0,2.0,-2.9877101235168597,-3.6882434244305404,-2.8336428455520526,0.0014667535717179576,2.749498245015963
IL14x14,9,"[0.00035818634036416624, 0.01676241223382249, 0.0498665772754778, -0.19870000000000002, 0.010472275203693053, 0.046102616670844115, -0.0008333008909168073, -0.007560591887509304, 0.0, 0.0, 2.0]","[0.000358, 0.016762, 0.049867, -0.1987, 0.669344, 0.010472, 0.046103, -0.000833, -0.007561]",0.0,0.0,2.0,-2.9993117485458454,-3.6509015010790544,-2.812429387456708,0.0015401769252090098,2.7398408930472535
