dim,unit,step,real_log10_plus,real_log10_minus,real_d_plus,real_d_minus,real_slope,model_a_slope,model_b_slope,sign_match_a,sign_match_b,ratio_a
FFE_side0,tap,0.05,-3.6231392700838714,-2.8195479974476214,-0.196757774768062,0.606833497868188,-8.035912726362499,-1.5262458237175474,-2.0838759681882584,1,1,0.18992812337428297
FFE_side1,tap,0.05,-3.6903360072574185,-2.8419246333363843,-0.2639545119416091,0.584456861979425,-8.484113739210342,-2.3658565236796716,-3.1495714693136714,1,1,0.2788572379393718
FFE_side2,tap,0.05,-3.6390182161940205,-2.845235176824501,-0.21263672087821117,0.5811463184913084,-7.9378303936951955,-6.981410863089931,-6.933391848227576,1,1,0.8795112161422696
FFE_side3,tap,0.05,-3.266861654707478,-3.179217473006475,0.15951984060833135,0.24716402230933454,-0.8764418170100319,-4.679791165207237,-7.450907231233062,1,1,5.339534324334585
FFE_side4,tap,0.05,-3.360480180336772,-3.4598451257062783,0.06590131497903728,-0.03346363039046896,0.9936494536950624,-0.6525099869702858,-3.5387240602422794,0,0,-0.656680265403268
FFE_side5,tap,0.05,-3.2228582251843143,-3.6301067984449387,0.20352327013149507,-0.2037253031291293,4.072485732606244,2.6951811201295026,0.2219545636631688,1,1,0.661802470798267
FFE_side6,tap,0.05,-3.213208578636371,-3.5911216858016233,0.21317291667943827,-0.1647401904858139,3.7791310716525217,0.02541002990959479,-2.9413703402390277,1,0,0.006723775764274724
FFE_side7,tap,0.05,-3.3388690031931376,-3.5237679673653237,0.08751249212267176,-0.09738647204951434,1.848989641721861,-2.0496789663700494,-3.9231426883784897,0,0,-1.1085399940160279
CTLE_gDC,dB,1.0,-2.9683050453054576,-3.668472330416897,0.4580764500103518,-0.24209083510108753,0.35008364255571967,0.01674037435621798,-0.02040234777093143,1,0,0.0478182134818069
CTLE_gDC2,dB,1.0,-3.196019561888438,-3.5906321676398245,0.2303619334273712,-0.16425067232401513,0.19730630287569317,0.0139844616219313,-0.025438327895831392,1,0,0.07087691279047373
driver_gain_u,dex,0.1,-2.487579834813035,-3.7250192044730013,0.9388016605027745,-0.2986377091571919,6.187196848299831,1.7688081292115079,1.3195947294160624,1,1,0.28588198704192763
