env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop,cloud
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.4263814953158094,0.0003746437610538,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.768356450421159,0.00017046826837,10,-3.768356450421159,0.00017046826837,-3.735993421833789,-0.3419749551053495,-0.3419749551053495,0.4973174326084314,0.4973174326084314,"[0.012284, 0.007168, 0.014973, -0.228284, 0.686129, 0.015216, 0.033265, -0.000165, 0.002517]",1.3836208414866926,-0.1125990370692853,0.2459200799783212,0.5613332115460424,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -3.0014479341972695, 'seed_ber': 0.0009966715598807, 'real_lb_min': -2.1580353912866097, 'real_lb_max': -0.7350664812532898, 'spearman_real_va': 0.8095238095238096, 'spearman_real_vb': 0.880952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.3002423018907634,0.0005009076888733,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.563009900899252,0.0002735206369282,5,-3.5051413190121017,0.0003125062309349,-3.4897344460755275,-0.2627675990084883,-0.2048990171213383,-0.5928571428571427,-0.5928571428571427,"[0.007662, 0.008504, 0.000403, -0.261996, 0.663917, 0.008107, 0.042444, 0.000679, 0.006288]",1.113987410620788,-0.0327609105363362,0.2704002186074608,0.6172111814824488,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.841620368790238, 'seed_ber': 0.0014400568296695628, 'real_lb_min': -2.1154367867628694, 'real_lb_max': -0.812067946558692, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.6190476190476191, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.2222621470866022,0.059942914202658,-3.5272624716144545,-2.3264453369328666,15,15,False,-1.2388462749402962,0.057697065468744,0,-0.9100002148881554,0.123026816207768,-0.9100002148881554,-0.016584127853694,0.3122619321984468,-1.0,-1.0,"[0.001605, 0.002487, -0.02666, -0.29378, 0.617234, 0.000686, 0.055366, -2.7e-05, 0.002155]",-0.2302352318641417,-0.1923323633933326,0.3850997646236104,0.8790225168308843,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -1.2345599972839447, 'seed_ber': 0.05826932708295129, 'real_lb_min': -1.8025396009923287, 'real_lb_max': -0.42722177887721424, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.5000000000000001, 'agree_a': 0.875, 'agree_b': 0.875, 'n_better_than_seed': 1}"
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.325710904043751,0.0004723773831547,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.4798435700100696,0.0003312504141977,3,-2.764746562330459,0.0017189111854369,-2.585030552566122,-0.1541326659663187,0.5609643417132921,-0.964285714285714,-0.964285714285714,"[0.005297, 0.007124, -0.008932, -0.275257, 0.64422, 0.005219, 0.047332, 0.000848, 0.005769]",0.608972328337654,-0.077262902262529,0.3385887633303957,0.7728572548057424,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.8347532825180233, 'seed_ber': 0.0014630080557423131, 'real_lb_min': -1.8039457663988958, 'real_lb_max': -0.4270231297743421, 'spearman_real_va': 0.7380952380952381, 'spearman_real_vb': 0.5952380952380953, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-2.951485132938411,0.0011181881024982,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.5106851281582845,0.0003085424131277,2,-3.154291019376122,0.0007009854128669,-3.154291019376122,-0.5591999952198736,-0.2028058864377113,-0.7535714285714286,-0.7535714285714286,"[0.004118, 0.005963, -0.014137, -0.281807, 0.63511, 0.003407, 0.049894, 0.000618, 0.004946]",0.3375466138619654,-0.113256817928541,0.3009974755320084,0.6870519870623338,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.667332177811313, 'seed_ber': 0.0021511357711132355, 'real_lb_min': -1.83143221184234, 'real_lb_max': -0.42719038172142043, 'spearman_real_va': 0.7857142857142858, 'spearman_real_vb': 0.7142857142857144, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.4618654893401435,0.0003452506545841,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.609709879537733,0.0002456349275485,10,-3.5923608798056628,0.0002556460696524,-3.581784053277699,-0.1478443901975898,-0.1304953904655192,-0.1571428571428571,-0.1571428571428571,"[0.012284, 0.007168, 0.014973, -0.228284, 0.686129, 0.015216, 0.033265, -0.000165, 0.002517]",1.3836208414866926,-0.1125990370692853,0.2459200799783212,0.5613332115460424,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.915855434975856, 'seed_ber': 0.0012137928224108833, 'real_lb_min': -1.9826703208866907, 'real_lb_max': -0.8412547924206002, 'spearman_real_va': 0.8333333333333335, 'spearman_real_vb': 0.6666666666666669, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.191845693345668,0.0006429161075351,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.606164441255805,0.0002476484184153,5,-3.6061055897769942,0.0002476819796596,-3.551690419293042,-0.4143187479101375,-0.4142598964313273,0.3321428571428571,0.3321428571428571,"[0.007662, 0.008504, 0.000403, -0.261996, 0.663917, 0.008107, 0.042444, 0.000679, 0.006288]",1.113987410620788,-0.0327609105363362,0.2704002186074608,0.6172111814824488,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.818815478352109, 'seed_ber': 0.0015176950639070646, 'real_lb_min': -1.9408149171411049, 'real_lb_max': -0.42676202497992544, 'spearman_real_va': 0.8571428571428572, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.430670379901973,0.0003709621672075,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.768356450421159,0.00017046826837,10,-3.768356450421159,0.00017046826837,-3.731182432876414,-0.3376860705191853,-0.3376860705191853,0.0572451720988122,0.0572451720988122,"[0.012284, 0.007168, 0.014973, -0.228284, 0.686129, 0.015216, 0.033265, -0.000165, 0.002517]",1.3836208414866926,-0.1125990370692853,0.2459200799783212,0.5613332115460424,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.9880657336615277, 'seed_ber': 0.0010278607120795574, 'real_lb_min': -2.060029779409827, 'real_lb_max': -0.7288527022642416, 'spearman_real_va': 0.8095238095238096, 'spearman_real_vb': 0.880952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.4134678161523166,0.0003859510118391,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.758911917539847,0.0001742160177889,13,-3.753791372635424,0.0001762822671781,-3.722639344926771,-0.34544410138753,-0.3403235564831073,0.4110814867583197,0.4110814867583197,"[0.014782, 0.005478, 0.020353, -0.209807, 0.698592, 0.01818, 0.029136, -0.001365, -0.002307]",1.3448948934739429,-0.3432632526076286,0.2261029250184605,0.5160988929889536,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -2.968727638763724, 'seed_ber': 0.0010746631598513962, 'real_lb_min': -1.846000055963976, 'real_lb_max': -0.7195368760781746, 'spearman_real_va': 0.8571428571428572, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5379678598641884,0.0002897558014699,-3.5272624716144545,-2.3264453369328666,15,15,False,-3.766682849962809,0.000171126453541,4,-3.7500714986390378,0.0001777986672973,-3.739009464826255,-0.2287149900986205,-0.2121036387748494,-0.6331099093758497,-0.6331099093758497,"[0.006557, 0.008039, -0.003875, -0.268768, 0.654577, 0.006471, 0.044777, 0.00076, 0.006176]",0.8598998509973234,0.0097559504147716,0.3020620349275477,0.6894819331831721,0.4381,1.0,,False,"{'n': 8, 'seed_lb': -3.046387732559084, 'seed_ber': 0.0008986948799674281, 'real_lb_min': -2.141699121673081, 'real_lb_max': -0.7354473238722464, 'spearman_real_va': 0.880952380952381, 'spearman_real_vb': 0.7857142857142858, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
