k_steps,n_cases,main_positive,main_mean_improve_x,main_worse_steps,main_steps,abl_positive,abl_mean_improve_x,abl_worse_steps,abl_steps
1,15,14,1.7444857416693025,1,15,12,1.1107108861643598,3,15
2,15,15,1.8423266955391233,3,30,12,1.1349769896714108,8,30
3,15,15,1.880834891124569,7,45,12,1.1384495314650132,14,45
4,15,15,1.8839318847211293,11,60,12,1.1384495314650132,20,60
5,15,15,1.8843816175746109,15,75,12,1.1384495314650132,28,75
6,15,15,1.8914961973724893,19,90,12,1.1384495314650132,40,90
7,15,15,1.8914961973724893,23,105,12,1.1384495314650132,52,105
8,15,15,1.8933164979524597,28,120,12,1.1384495314650132,65,120
9,15,15,1.8933164979524597,33,135,12,1.1384495314650132,78,135
10,15,15,1.8933164979524597,38,150,12,1.1384495314650132,91,150
11,15,15,1.9026404231954033,43,165,12,1.1384495314650132,104,165
12,15,15,1.9026404231954033,48,180,12,1.1384495314650132,117,180
13,15,15,1.9026404231954033,53,195,12,1.1384495314650132,131,195
14,15,15,1.9032084695611415,58,210,12,1.1384495314650132,145,210
15,15,15,1.9032084695611415,63,225,12,1.1384495314650132,158,225
