env,step,recorded_log10,resim_log10,diff_dex,recorded_ber,resim_ber
Base_IL10x10,0,-3.7374273198181007,-3.7374273198181007,0.0,0.0001830512421149,0.0001830512421149171
Base_IL10x10,1,-3.759888257163128,-3.759888257163128,0.0,0.0001738248017895,0.00017382480178955342
Base_IL10x10,2,-3.761524035328042,-3.761524035328042,0.0,0.0001731713189223,0.00017317131892230112
Base_IL10x10,3,-3.751975641511532,-3.7519756415115317,4.440892098500626e-16,0.0001770208242074,0.0001770208242074492
IL20x20,0,-1.2576684746383997,-1.2576684746383995,2.220446049250313e-16,0.0552499036967557,0.05524990369675575
IL20x20,1,-1.2738670746410794,-1.2738670746410794,0.0,0.0532271147605786,0.05322711476057868
IL20x20,2,-1.227261390219367,-1.227261390219367,0.0,0.0592568566076616,0.05925685660766169
IL20x20,3,-1.2125214634220256,-1.2125214634220256,0.0,0.0613025494850186,0.06130254948501867
Comb_IL20x10_CD15_DGD5,0,-3.380237539500445,-3.380237539500445,0.0,0.0004166414370569,0.00041664143705697106
Comb_IL20x10_CD15_DGD5,1,-3.2928935099169103,-3.2928935099169103,0.0,0.0005094557755616,0.0005094557755616576
Comb_IL20x10_CD15_DGD5,2,-3.036774846103247,-3.036774846103247,0.0,0.0009188088166015,0.0009188088166015123
Comb_IL20x10_CD15_DGD5,3,-3.41300798897797,-3.41300798897797,0.0,0.0003863598697823,0.00038635986978237527
