env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
DGD2ps,0,"[-0.031797120257450975, -0.29147402350189083, -0.004266477920891115, 0.05322709836823713, 5.878244565211531, 1.7258182827038406]","[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.13230408487081233,0.3019951720402016,0.15317517643926348,0.0,0.0,,-4.750132954015689,0.0,-4.7114036550239184,1.943552806631466e-05,7.649329269768677
DGD2ps,1,"[-0.024752711017683664, -0.2854058694324611, -0.0015310202020071858, 0.05282575597010005, 5.630472753086006, 1.573207244059733]","[-0.024753, -0.285406, 0.635485, -0.001531, 0.052826]",5.630472753086006,1.573207244059733,0.13230408487081233,0.3019951720402016,0.15058202688448885,0.0,0.0,,-4.840160035455586,0.0,-4.685009906341377,2.0653330446258407e-05,8.472280144128561
DGD2ps,2,"[-0.01773080305548204, -0.27949198001564746, 0.00051924259816391, 0.05261498598574758, 5.384703652827603, 1.4343767637674905]","[-0.017731, -0.279492, 0.649643, 0.000519, 0.052615]",5.384703652827603,1.4343767637674905,0.13230408487081233,0.3019951720402016,0.1480089228473804,0.0,0.0,,-4.9151475319504145,0.0,-4.7114036550239184,1.943552806631466e-05,7.578017069963928
DGD2ps,3,"[-0.010780123480754985, -0.2737681092775709, 0.002010029794801523, 0.0526044384502842, 5.142443703182972, 1.3067930765586966]","[-0.01078, -0.273768, 0.660837, 0.00201, 0.052604]",5.142443703182972,1.3067930765586966,0.13230408487081233,0.3019951720402016,0.14525629801865014,0.0,0.0,,-4.975854025038875,0.0,-4.685009906341377,2.0653330446258407e-05,6.803990391755633
DGD2ps,4,"[-0.003938009586476796, -0.26824918377507506, 0.0030422015150132027, 0.05279390147937321, 4.905053475109083, 1.1877015908663124]","[-0.003938, -0.268249, 0.671977, 0.003042, 0.052794]",4.905053475109083,1.1877015908663124,0.13230408487081233,0.3019951720402016,0.1428668041979798,0.0,0.0,,-5.027278666219675,0.0,-4.685009906341377,2.0653330446258407e-05,6.137509768147034
DGD2ps,5,"[0.00238060594347973, -0.2624952729409198, 0.003759170694199154, 0.053236593000382075, 5.155586072685704, 1.2477148308392918]","[0.002381, -0.262495, 0.678128, 0.003759, 0.053237]",5.155586072685704,1.2477148308392918,0.13230408487081233,0.3019951720402016,0.14721246519900488,0.0,0.0,,-5.0667487225290735,0.0,-4.7114036550239184,1.943552806631466e-05,5.066564472479886
DGD2ps,6,"[0.008080273625810697, -0.2565206427704044, 0.0046599859094960195, 0.05386137350903464, 4.907831405553055, 1.2151044428688973]","[0.00808, -0.256521, 0.676878, 0.00466, 0.053861]",4.907831405553055,1.2151044428688973,0.13230408487081233,0.3019951720402016,0.14372958937582964,0.0,0.0,,-5.096554489374361,0.0,-4.692753186580869,2.028835397163895e-05,4.212533368850595
DGD2ps,7,"[0.01306010933811586, -0.2502432934067345, 0.005174186316830596, 0.05476433914074035, 5.035350099434065, 1.4212457722580714]","[0.01306, -0.250243, 0.676758, 0.005174, 0.054764]",5.035350099434065,1.4212457722580714,0.13230408487081233,0.3019951720402016,0.14798092243592423,0.0,0.0,,-5.1242248205480445,0.0,-4.7114036550239184,1.943552806631466e-05,3.5652636559044897
DGD2ps,8,"[0.017960439628454367, -0.24427157337034405, 0.005830738334404394, 0.05591308961279763, 4.893139714838073, 1.6084863536625889]","[0.01796, -0.244272, 0.676024, 0.005831, 0.055913]",4.893139714838073,1.6084863536625889,0.13230408487081233,0.3019951720402016,0.1492368269316116,0.0,0.0,,-5.149854697562517,0.0,-4.7114036550239184,1.943552806631466e-05,3.236682519407403
DGD2ps,9,"[0.022969673722603, -0.2387655841121043, 0.006256737980037037, 0.05739811709887061, 4.882384496884839, 1.8363019345951759]","[0.02297, -0.238766, 0.67461, 0.006257, 0.057398]",4.882384496884839,1.8363019345951759,0.13230408487081233,0.3019951720402016,0.15238891505327648,0.0,0.0,,-5.173889717214168,0.0,-4.7114036550239184,1.943552806631466e-05,3.0044297754746423
DGD2ps,10,"[0.028098636171497507, -0.23379829647175424, 0.0067172575076778545, 0.05918337723487087, 4.837232685287323, 2.052872488394324]","[0.028099, -0.233798, 0.672202, 0.006717, 0.059183]",4.837232685287323,2.052872488394324,0.13230408487081233,0.3019951720402016,0.15489101622586016,0.0,0.0,,-5.196531565727274,0.0,-4.7114036550239184,1.943552806631466e-05,2.8049769005066874
DGD2ps,11,"[0.03329510353416306, -0.22936875717819188, 0.007174973001239014, 0.06126472652042352, 4.795505484589904, 2.263366881372705]","[0.033295, -0.229369, 0.668896, 0.007175, 0.061265]",4.795505484589904,2.263366881372705,0.13230408487081233,0.3019951720402016,0.15720465824794674,0.0,0.0,,-5.218097282941081,0.0,-4.7114036550239184,1.943552806631466e-05,2.624041447610296
DGD2ps,12,"[0.03850983300415454, -0.22546971694054, 0.007655006153396935, 0.06361320946564061, 4.756494743567114, 2.4678313331899044]","[0.03851, -0.22547, 0.664752, 0.007655, 0.063613]",4.756494743567114,2.4678313331899044,0.13230408487081233,0.3019951720402016,0.15932314466550163,0.0,0.0,,-5.23885910633807,0.0,-4.7114036550239184,1.943552806631466e-05,2.462445010685256
DGD2ps,13,"[0.04369238028035484, -0.22207591525064704, 0.008176148222386211, 0.06619163363036454, 4.720059215693929, 2.666424747172617]","[0.043692, -0.222076, 0.659864, 0.008176, 0.066192]",4.720059215693929,2.666424747172617,0.13230408487081233,0.3019951720402016,0.16125582236514288,0.0,0.0,,-5.25904801723699,0.0,-4.7114036550239184,1.943552806631466e-05,2.317726349963951
DGD2ps,14,"[0.048795895024631636, -0.21914546711127272, 0.008753540018134703, 0.06895799408924395, 4.686084115337327, 2.8593062160101774]","[0.048796, -0.219145, 0.654347, 0.008754, 0.068958]",4.686084115337327,2.8593062160101774,0.13230408487081233,0.3019951720402016,0.16301875792085557,0.0,0.0,,-5.278847116773725,0.0,-4.685009906341377,2.0653330446258407e-05,2.186380961819919
