env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL20x10_TxHeavy,0,"[-0.0323467625195012, -0.3, -0.009205498744195715, 0.05830074049010282, 6.017194722963993, 1.7004931695233119]","[-0.032347, -0.3, 0.600147, -0.009205, 0.058301]",6.017194722963993,1.7004931695233119,0.1750436216980317,0.3995517500525718,0.105,0.0,0.0,,-4.3422450487476185,0.0,-4.425821024016241,3.7512756325226876e-05,11.283794278517606
IL20x10_TxHeavy,1,"[-0.024731680831133813, -0.29423472523140587, -0.008772934067170918, 0.05993629101585687, 5.894048569655156, 1.4368342517427135]","[-0.024732, -0.294235, 0.612324, -0.008773, 0.059936]",5.894048569655156,1.4368342517427135,0.17808254503910598,0.40648834749852997,0.105,0.0,0.0,,-4.4108416465160465,0.0,-4.465448772653584,3.424137747722837e-05,6.31433993641211
IL20x10_TxHeavy,2,"[-0.01723271943780002, -0.28893244650860456, -0.00912003048256696, 0.061951290630109165, 5.79318469369523, 1.1732003551619803]","[-0.017233, -0.288932, 0.622764, -0.00912, 0.061951]",5.79318469369523,1.1732003551619803,0.18127098181290077,0.4137662218966007,0.10499999999999998,0.0,0.0,,-4.469512487517008,0.0,-4.466436932308164,3.4163555896493786e-05,5.383882882050952
IL20x10_TxHeavy,3,"[-0.009904913886005087, -0.2841750994866037, -0.01022174923057773, 0.06435010938118738, 5.715440398411631, 0.9106678714681209]","[-0.009905, -0.284175, 0.631348, -0.010222, 0.06435]",5.715440398411631,0.9106678714681209,0.18467205516440446,0.4215294571203024,0.105,0.0,0.0,,-4.520248902324228,0.0,-4.468647237388876,3.3990125069684486e-05,4.588056706458253
IL20x10_TxHeavy,4,"[-0.002823280943925169, -0.280044342710421, -0.012104243442877645, 0.06711015916590075, 5.65986720676391, 0.6509593373005308]","[-0.002823, -0.280044, 0.637918, -0.012104, 0.06711]",5.65986720676391,0.6509593373005308,0.18838301644890534,0.4300000375460063,0.105,0.0,0.0,,-4.564953563120788,0.0,-4.470637139755184,3.3834741301768276e-05,3.928920500672179
IL20x10_TxHeavy,5,"[0.0037999806467268827, -0.27652259693893166, -0.014882821690174063, 0.07023291888062975, 5.624200706283931, 0.3958200181745772]","[0.0038, -0.276523, 0.634562, -0.014883, 0.070233]",5.624200706283931,0.3958200181745772,0.19501073131895558,0.4451283527024779,0.105,0.0,0.0,,-4.604124931527968,0.0,-4.459216071798462,3.4736329697118376e-05,3.3331068805068202
IL20x10_TxHeavy,6,"[0.00989039848960807, -0.2732202718970914, -0.018231039138189457, 0.07342276775440079, 5.6068646582903465, 0.14653047982698922]","[0.00989, -0.27322, 0.625236, -0.018231, 0.073423]",5.6068646582903465,0.14653047982698922,0.20359210280576334,0.46471605296910146,0.10499999999999998,0.0,0.0,,-4.641396871326979,0.0,-4.459216071798462,3.4736329697118376e-05,2.9404260593549267
IL20x10_TxHeavy,7,"[0.015431652353375139, -0.26978096159437365, -0.021895773633648464, 0.07647547132382244, 5.605732507319226, 0.0]","[0.015432, -0.269781, 0.616416, -0.021896, 0.076475]",5.605732507319226,0.0,0.21006348624010768,0.47948752850971854,0.105,0.0,0.0,,-4.672448459129581,0.0,-4.4695608163784515,3.391869882042262e-05,2.6357347944756446
IL20x10_TxHeavy,8,"[0.020715750020587183, -0.2664988744786472, -0.0257337215337601, 0.07930420554082546, 5.612721132542339, 0.0]","[0.020716, -0.266499, 0.607747, -0.025734, 0.079304]",5.612721132542339,0.0,0.21355403344243531,0.487454995303436,0.10499999999999997,0.0,0.0,,-4.69386179079638,0.0,-4.459216071798462,3.4736329697118376e-05,2.487928264179083
IL20x10_TxHeavy,9,"[0.025748134006682796, -0.26357513437003743, -0.029803382289779197, 0.08201710855770929, 5.618742175481045, 0.0]","[0.025748, -0.263575, 0.598856, -0.029803, 0.082017]",5.618742175481045,0.0,0.21733157183953802,0.4960775435734719,0.105,0.0,0.0,,-4.714318088222152,0.0,-4.470637139755184,3.3834741301768276e-05,2.381603066008748
IL20x10_TxHeavy,10,"[0.030523113830767303, -0.2609204754636631, -0.03403627041560193, 0.08458896512006596, 5.623215557372973, 0.0]","[0.030523, -0.26092, 0.589931, -0.034036, 0.084589]",5.623215557372973,0.0,0.22133221366446634,0.5052093441325413,0.105,0.0,0.0,,-4.733850896808526,0.0,-4.470637139755184,3.3834741301768276e-05,2.276506168355389
IL20x10_TxHeavy,11,"[0.03503907299413996, -0.2584607247737287, -0.038382100687616924, 0.08700456201336867, 5.625552295345999, 0.0]","[0.035039, -0.258461, 0.581114, -0.038382, 0.087005]",5.625552295345999,0.0,0.22550490655176916,0.5147338656739766,0.105,0.0,0.0,,-4.752462702428557,0.0,-4.459216071798462,3.4736329697118376e-05,2.1682224974346114
IL20x10_TxHeavy,12,"[0.03929454047172742, -0.2561359885749094, -0.04280496001754138, 0.089255480868407, 5.625173831215687, 0.0]","[0.039295, -0.256136, 0.572509, -0.042805, 0.089255]",5.625173831215687,0.0,0.22980851919070608,0.5245572225307147,0.10500000000000001,0.0,0.0,,-4.770140666690572,0.0,-4.470637139755184,3.3834741301768276e-05,2.0542970866095933
IL20x10_TxHeavy,13,"[0.043285775332378554, -0.253898645345258, -0.04727983607570452, 0.0913378761799674, 5.621530392168942, 0.0]","[0.043286, -0.253899, 0.564198, -0.04728, 0.091338]",5.621530392168942,0.0,0.23420892507733074,0.5346015180947974,0.10499999999999998,0.0,0.0,,-4.78686650420391,0.0,-4.4695608163784515,3.391869882042262e-05,1.9335923944605369
IL20x10_TxHeavy,14,"[0.04700524146439443, -0.25171111889748216, -0.05178976775669628, 0.09325107676608405, 5.614118605221017, 0.0]","[0.047005, -0.251711, 0.556243, -0.05179, 0.093251]",5.614118605221017,0.0,0.23867636330536796,0.5447988206011595,0.10499999999999997,0.0,0.0,,-4.802622529002081,0.0,-4.458221120615308,3.481600045716121e-05,1.8058669853041462
