env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL20x20,0,"[-0.0323467625195012, -0.3, -0.009205498744195715, 0.05830074049010282, 6.017194722963993, 1.7004931695233119]","[-0.032347, -0.3, 0.600147, -0.009205, 0.058301]",6.017194722963993,1.7004931695233119,0.3167456011678669,0.7229984048570347,0.18999999999999997,0.0,0.0,,-4.149514324020477,0.0,-3.96275606020086,0.00010895419086232441,11.283794278517606
IL20x20,1,"[-0.024755771076522458, -0.2964316304440602, -0.013955943997274673, 0.059380952285245446, 6.003770588082847, 1.409802969133459]","[-0.024756, -0.296432, 0.605476, -0.013956, 0.059381]",6.003770588082847,1.409802969133459,0.3264980822588832,0.745259261033744,0.19000000000000003,0.0,0.0,,-4.257539875387186,0.0,-4.240511967225643,5.74761980741723e-05,7.388329871757659
IL20x20,2,"[-0.017642038694378186, -0.29362120479742837, -0.019265271097941728, 0.06073618142384476, 5.992928203418705, 1.1277412815635326]","[-0.017642, -0.293621, 0.608735, -0.019265, 0.060736]",5.992928203418705,1.1277412815635326,0.33716389984627626,0.7696048843786265,0.19,0.0,0.0,,-4.362216742433631,0.0,-4.268816824154508,5.3849686073805954e-05,6.829223424336791
IL20x20,3,"[-0.010927620830744752, -0.29139106702108525, -0.02482646928942725, 0.062257152632962685, 5.98507067192148, 0.8540521519979247]","[-0.010928, -0.291391, 0.610598, -0.024826, 0.062257]",5.98507067192148,0.8540521519979247,0.348423767904935,0.7953064777560718,0.18999999999999997,0.0,0.0,,-4.465633137575513,0.0,-4.286250376801756,5.173085104232031e-05,6.414243509177391
IL20x20,4,"[-0.004504695288867083, -0.289570451601943, -0.030414343416487306, 0.0638638217535284, 5.980279813174804, 0.5885075229393387]","[-0.004505, -0.28957, 0.611647, -0.030414, 0.063864]",5.980279813174804,0.5885075229393387,0.3599603163329871,0.8216396172859783,0.19,0.0,0.0,,-4.568837620859943,0.0,-4.316705096323623,4.822751709849249e-05,6.067424140432572
IL20x20,5,"[0.0018297849687629198, -0.28806245098513217, -0.03577543615147832, 0.0654767046946352, 5.978453956891446, 0.3308937855933345]","[0.00183, -0.288062, 0.608856, -0.035775, 0.065477]",5.978453956891446,0.3308937855933345,0.373695595785901,0.8529915448205913,0.18999999999999997,0.0,0.0,,-4.672196795934333,0.0,-4.327688337529207,4.70231439438088e-05,5.855923722869264
IL20x20,6,"[0.008006129978057601, -0.2864428191230909, -0.040890154019872164, 0.06704305465039152, 5.979927837877953, 0.08100653068739294]","[0.008006, -0.286443, 0.597618, -0.04089, 0.067043]",5.979927837877953,0.08100653068739294,0.3931441066191446,0.8973844022349797,0.19000000000000003,0.0,0.0,,-4.777152933403949,0.0,-4.3205174839917255,4.7806011983635644e-05,5.423206915239899
IL20x20,7,"[0.01389787417655787, -0.28373276442493844, -0.04552306092038017, 0.06837074257673051, 5.985425978325776, 0.0]","[0.013898, -0.283733, 0.588476, -0.045523, 0.068371]",5.985425978325776,0.0,0.40472924771980584,0.923828458616311,0.19000000000000003,0.0,0.0,,-4.84165736815024,0.0,-4.310506951047635,4.8920743512151246e-05,4.734787224009774
IL20x20,8,"[0.01943741314944194, -0.2807992582812372, -0.050055315308165954, 0.0696325211561297, 5.990870937041475, 0.0]","[0.019437, -0.280799, 0.580075, -0.050055, 0.069633]",5.990870937041475,0.0,0.4126857516058714,0.9419898461672481,0.19000000000000003,0.0,0.0,,-4.883691619618615,0.0,-4.319132702754889,4.795868839723057e-05,4.326609673323989
IL20x20,9,"[0.024716830665404005, -0.27809056586552144, -0.05463785870553239, 0.07089194894475205, 5.994384214976034, 0.0]","[0.024717, -0.278091, 0.571663, -0.054638, 0.070892]",5.994384214976034,0.0,0.4209874050447891,0.9609390665254259,0.19,0.0,0.0,,-4.923744791114926,0.0,-4.321775165298938,4.766776994747022e-05,4.0710333057620955
IL20x20,10,"[0.029735584244529312, -0.2755136597895406, -0.059223225153076056, 0.07212706692373447, 5.995891316026748, 0.0]","[0.029736, -0.275514, 0.5634, -0.059223, 0.072127]",5.995891316026748,0.0,0.4294984876524227,0.9803663265291548,0.19000000000000003,0.0,0.0,,-4.961600027181996,0.0,-4.327685523756834,4.7023448605409236e-05,3.7890621391005372
IL20x20,11,"[0.034487915278396446, -0.2730062612923827, -0.063789754615354, 0.07332736726828112, 5.995276567080262, 0.0]","[0.034488, -0.273006, 0.555389, -0.06379, 0.073327]",5.995276567080262,0.0,0.43812697409521423,1.0000615706350473,0.18999999999999997,0.0,0.0,,-4.997054078691467,0.0,-4.335863953472603,4.614621089439577e-05,3.4783707233279486
IL20x20,12,"[0.038959745196458846, -0.27052512114878163, -0.06833252806602683, 0.07448995590523216, 5.992407830066546, 0.0]","[0.03896, -0.270525, 0.547693, -0.068333, 0.07449]",5.992407830066546,0.0,0.44680571573554956,1.0198715264449887,0.19,0.0,0.0,,-5.029925658522464,0.0,-4.3262521969259256,4.717889915295637e-05,3.138928534485239
IL20x20,13,"[0.04312529226446593, -0.2680369757035091, -0.07285828900710976, 0.07561751263605743, 5.9871506119825915, 0.0]","[0.043125, -0.268037, 0.540362, -0.072858, 0.075618]",5.9871506119825915,0.0,0.4554777969934598,1.039666279373339,0.18999999999999997,0.0,0.0,,-5.060055706815326,0.0,-4.323324941958396,4.749797100488027e-05,2.7719821809156824
IL20x20,14,"[0.04694093210161237, -0.26551119497752157, -0.07738272813391128, 0.07671764692883302, 5.979375135087638, 0.0]","[0.046941, -0.265511, 0.533447, -0.077383, 0.076718]",5.979375135087638,0.0,0.46408167457166155,1.0593053516814919,0.19,0.0,0.0,,-5.087301747817265,0.0,-4.3240176106497925,4.7422275512829816e-05,2.380047693228879
