env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,target_drive_rms,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-1.794403060443213,0.016054505732618234,-1.754555442169035,-1.823306517979882,15,15,False,0.165,,-4.7114036550239184,1.943552806631466e-05,2,-4.7114036550239184,1.943552806631466e-05,-4.666359437898326,-2.9170005945807054,-2.9170005945807054,"[-0.017753, -0.279419, 0.649917, 0.00039, 0.05252]",5.438564364567416,1.3582046747853553,0.14811941244341717,0.33809498389275777,0.4381,1.0,marginal_gain,False
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-2.948637985193528,0.0011255428016372,-3.805167987135215,-3.3893947688457575,15,14,False,0.06,,-4.514599158110663,3.057742023184019e-05,0,-4.493700372713209,3.208482148502944e-05,-4.482810667128753,-1.565961172917135,-1.5450623875196814,"[-0.030547, -0.29655, 0.609247, -0.008583, 0.055072]",6.0129566708367195,1.7002799227932353,0.13230408487081233,0.3019951720402016,0.4381,1.0,marginal_gain,True
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-3.574854288311732,0.0002661617918914007,-3.665828391055609,-4.236601957656912,15,15,False,0.19,,-4.335863953472603,4.614621089439577e-05,11,-4.3240176106497925,4.7422275512829816e-05,-3.96275606020086,-0.7610096651608709,-0.7491633223380605,"[0.034488, -0.273006, 0.555389, -0.06379, 0.073327]",5.995276567080262,0.0,0.43812697409521423,1.0000615706350473,0.4381,1.0,,False
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-4.393090315321589,4.044917653633348e-05,-3.665828391055609,-4.236601957656912,15,15,False,0.105,,-4.470637139755184,3.3834741301768276e-05,4,-4.458221120615308,3.481600045716121e-05,-4.425821024016241,-0.07754682443359506,-0.06513080529371873,"[-0.002823, -0.280044, 0.637918, -0.012104, 0.06711]",5.65986720676391,0.6509593373005308,0.18838301644890534,0.4300000375460063,0.4381,1.0,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-1.7302300918778755,0.018611008527796586,-1.754555442169035,-1.823306517979882,15,15,False,0.06,,-4.49025824895676,3.2340129233289155e-05,6,-4.468492436420047,3.400224275104908e-05,-4.467431883491318,-2.7600281570788843,-2.7382623445421714,"[0.00808, -0.256521, 0.676878, 0.00466, 0.053861]",4.907831405553055,1.2151044428688973,0.13230408487081233,0.3019951720402016,0.4381,1.0,,False
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.443236281320836,0.00036038252073717774,-3.8231981552846674,-3.7813012014466767,15,15,False,0.16,,-4.565228205213427,2.7212710080309737e-05,0,-4.5510935890290645,2.811294940326289e-05,-4.526498184308758,-1.1219919238925908,-1.1078573077082283,"[-0.036166, -0.3, 0.599945, -0.007634, 0.056255]",5.954059819430911,1.7035383670535436,0.2182886570377368,0.49826217082341206,0.4381,1.0,marginal_gain,False
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-1.7785739120640318,0.016650454315583048,-1.754555442169035,-1.823306517979882,15,15,False,0.06,,-4.557551704342964,2.7697992648232562e-05,8,-4.540632800493121,2.879832307225951e-05,-4.540632800493121,-2.7789777922789316,-2.762058888429089,"[0.01796, -0.244272, 0.676024, 0.005831, 0.055913]",4.893139714838073,1.6084863536625889,0.13230408487081233,0.3019951720402016,0.4381,1.0,,False
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-1.7883562542389946,0.016279600598450843,-1.754555442169035,-1.823306517979882,15,14,False,0.18,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-2.923047400784924,-2.8966536521023825,"[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.15547385568828873,0.35488211752633814,0.4381,1.0,marginal_gain,True
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-1.8001641252978888,0.015842943547303433,-1.754555442169035,-1.823306517979882,15,15,False,0.06,,-4.714260815022457,1.9308084241168456e-05,4,-4.685009906341377,2.0653330446258407e-05,-4.674465623718354,-2.914096689724568,-2.884845781043488,"[-0.003938, -0.268249, 0.671977, 0.003042, 0.052794]",4.905053475109083,1.1877015908663124,0.13230408487081233,0.3019951720402016,0.4381,1.0,,False
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-1.7940989276968349,0.016065752504520563,-1.754555442169035,-1.823306517979882,15,15,False,0.06,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-2.9173047273270836,-2.890910978644542,"[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.13230408487081233,0.3019951720402016,0.4381,1.0,,False
DGD5ps,10.0,10.0,0.0,5.0,45.0,False,-1.7960583531518035,0.015993431214814755,-1.754555442169035,-1.823306517979882,15,14,False,0.175,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-2.915345301872115,-2.8889515531895738,"[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.15115513747472514,0.3450242809283843,0.4381,1.0,marginal_gain,True
Comb_IL20x20_CD15_DGD5,20.0,20.0,15.0,5.0,45.0,False,-3.5023123385445785,0.0003145485311198445,-3.665828391055609,-4.236601957656912,15,15,False,0.195,,-4.3343607433745595,4.6306212095043304e-05,14,-4.3343607433745595,4.6306212095043304e-05,-3.8807884019843826,-0.832048404829981,-0.832048404829981,"[0.046703, -0.266115, 0.533223, -0.078311, 0.075648]",6.003441416815538,0.0,0.4767013905902613,1.088110912098291,0.4381,1.0,,False
