env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x10_CD15_DGD5,0,"[-0.0323467625195012, -0.3, -0.009205498744195715, 0.05830074049010282, 6.017194722963993, 1.7004931695233119]","[-0.032347, -0.3, 0.600147, -0.009205, 0.058301]",6.017194722963993,1.7004931695233119,0.258397727268523,0.5898144881728441,0.15500000000000003,1.5032271730182481e-05,1.87903396627281e-05,,-4.241322418003856,-4.822975382331945,-4.4573431687614935,3.4886454240281204e-05,11.283794278517606
Comb_IL20x10_CD15_DGD5,1,"[-0.024398407486213552, -0.29507585876705006, -0.011354614985951075, 0.05973174879273297, 5.974505090826059, 1.4126414797455238]","[-0.024398, -0.295076, 0.609439, -0.011355, 0.059732]",5.974505090826059,1.4126414797455238,0.2642995111319526,0.6032858049120123,0.15499999999999997,1.203093207015384e-05,1.50386650876923e-05,,-4.332096950390585,-4.919700725341458,-4.467497485236894,3.408022981953776e-05,7.063085881433155
Comb_IL20x10_CD15_DGD5,2,"[-0.016761851237428148, -0.290946716273482, -0.014465274630870667, 0.061598903981895346, 5.9393195955577855, 1.1325730348561962]","[-0.016762, -0.290947, 0.616227, -0.014465, 0.061599]",5.9393195955577855,1.1325730348561962,0.2709684777528874,0.6185082806502794,0.15499999999999997,1.0221482075943428e-05,1.2776852594929286e-05,,-4.414737202233726,-4.990486128590954,-4.459216071798462,3.4736329697118376e-05,6.108255752298905
Comb_IL20x10_CD15_DGD5,3,"[-0.009566412038636552, -0.28766048998649213, -0.018447070750253026, 0.0638054559717115, 5.91146605423081, 0.8601915731537586]","[-0.009566, -0.28766, 0.620521, -0.018447, 0.063805]",5.91146605423081,0.8601915731537586,0.2785250883494392,0.6357568782228696,0.15499999999999997,9.191056918783974e-06,1.1488821148479968e-05,,-4.492210785047787,-5.036634544369852,-4.468492436420047,3.400224275104908e-05,5.420038483217073
Comb_IL20x10_CD15_DGD5,4,"[-0.0028395422311486406, -0.2851345952801657, -0.0230273004966321, 0.06620647865794618, 5.890436194441758, 0.5954376357956044]","[-0.00284, -0.285135, 0.622792, -0.023027, 0.066206]",5.890436194441758,0.5954376357956044,0.2868386224231497,0.6547332171265686,0.15500000000000003,8.673724390016273e-06,1.0842155487520343e-05,,-4.566863053611749,-5.061794381794907,-4.468492436420047,3.400224275104908e-05,4.94665577434162
Comb_IL20x10_CD15_DGD5,5,"[0.0035537256713754186, -0.28322623868397206, -0.02785694870292181, 0.0686357195931552, 5.87560310793553, 0.33824480742505614]","[0.003554, -0.283226, 0.616727, -0.027857, 0.068636]",5.87560310793553,0.33824480742505614,0.2991588300618658,0.6828551245420356,0.15499999999999997,8.494151535070382e-06,1.0617689418837979e-05,,-4.639734990493931,-5.070879995492991,-4.478837181000038,3.320189096395539e-05,4.665196182037461
Comb_IL20x10_CD15_DGD5,6,"[0.009652767010575224, -0.28117241449584923, -0.03262821125991246, 0.07091668225370368, 5.867228532421068, 0.08849357324483836]","[0.009653, -0.281172, 0.60563, -0.032628, 0.070917]",5.867228532421068,0.08849357324483836,0.31431535172209746,0.7174511566356938,0.15500000000000003,8.478753508087976e-06,1.059844188510997e-05,,-4.713206107672213,-5.071667990237352,-4.459216071798462,3.4736329697118376e-05,4.308114188241459
Comb_IL20x10_CD15_DGD5,7,"[0.01537236517583352, -0.27841709481378163, -0.037191725769073494, 0.07295441956462531, 5.864982870170426, 0.0]","[0.015372, -0.278417, 0.596064, -0.037192, 0.072954]",5.864982870170426,0.0,0.3238525281029149,0.7392205617505476,0.155,8.650948130126477e-06,1.059844188510997e-05,,-4.762154017426184,-5.062936291943661,-4.459216071798462,3.4736329697118376e-05,3.853255653534649
Comb_IL20x10_CD15_DGD5,8,"[0.02082990354111679, -0.2755880694743547, -0.041678825540845225, 0.07482610105589896, 5.863915523346919, 0.0]","[0.02083, -0.275588, 0.587077, -0.041679, 0.074826]",5.863915523346919,0.0,0.3304051228236656,0.7541774088647925,0.15499999999999997,9.057827556678636e-06,1.059844188510997e-05,,-4.795449410868106,-5.0429759516919,-4.470637139755184,3.3834741301768276e-05,3.629123309715447
Comb_IL20x10_CD15_DGD5,9,"[0.026020744648327664, -0.2729713746199821, -0.04624168861635954, 0.07661033294867571, 5.861452163509546, 0.0]","[0.026021, -0.272971, 0.578156, -0.046242, 0.07661]",5.861452163509546,0.0,0.3372198692287027,0.769732639189004,0.155,9.701354696249003e-06,1.059844188510997e-05,,-4.827265419916685,-5.013167616658908,-4.478837181000038,3.320189096395539e-05,3.4554121496574988
