env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL10x16,0,"[-0.031797120257450975, -0.29147402350189083, -0.004266477920891115, 0.05322709836823713, 5.878244565211531, 1.7258182827038406]","[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.13230408487081233,0.3019951720402016,0.15317517643926348,1.1691697271611057e-05,1.4614621589513821e-05,,-4.750132954015689,-4.932122438180399,-4.542611214958238,2.866743160526165e-05,7.649329269768677
IL10x16,1,"[-0.024752711017683664, -0.2854058694324611, -0.0015310202020071858, 0.05282575597010005, 5.630472753086006, 1.573207244059733]","[-0.024753, -0.285406, 0.635485, -0.001531, 0.052826]",5.630472753086006,1.573207244059733,0.13230408487081233,0.3019951720402016,0.15058202688448885,8.868742351076639e-06,1.1085927938845798e-05,,-4.840160035455586,-5.052137961759312,-4.540632800493121,2.879832307225951e-05,8.472280144128561
IL10x16,2,"[-0.01773080305548204, -0.27949198001564746, 0.00051924259816391, 0.05261498598574758, 5.384703652827603, 1.4343767637674905]","[-0.017731, -0.279492, 0.649643, 0.000519, 0.052615]",5.384703652827603,1.4343767637674905,0.13230408487081233,0.3019951720402016,0.1480089228473804,7.030978274079797e-06,8.788722842599746e-06,,-4.9151475319504145,-5.152984244044711,-4.540632800493121,2.879832307225951e-05,7.578017069963928
IL10x16,3,"[-0.010780123480754985, -0.2737681092775709, 0.002010029794801523, 0.0526044384502842, 5.142443703182972, 1.3067930765586966]","[-0.01078, -0.273768, 0.660837, 0.00201, 0.052604]",5.142443703182972,1.3067930765586966,0.13230408487081233,0.3019951720402016,0.14525629801865014,5.7953129803536865e-06,7.244141225442108e-06,,-4.975854025038875,-5.23692310465809,-4.540632800493121,2.879832307225951e-05,6.803990391755633
IL10x16,4,"[-0.003938009586476796, -0.26824918377507506, 0.0030422015150132027, 0.05279390147937321, 4.905053475109083, 1.1877015908663124]","[-0.003938, -0.268249, 0.671977, 0.003042, 0.052794]",4.905053475109083,1.1877015908663124,0.13230408487081233,0.3019951720402016,0.1428668041979798,4.968810525180631e-06,6.211013156475789e-06,,-5.027278666219675,-5.303747563817443,-4.546643756073423,2.8402478772355247e-05,6.137509768147034
IL10x16,5,"[0.00238060594347973, -0.2624952729409198, 0.003759170694199154, 0.053236593000382075, 5.155586072685704, 1.2477148308392918]","[0.002381, -0.262495, 0.678128, 0.003759, 0.053237]",5.155586072685704,1.2477148308392918,0.13230408487081233,0.3019951720402016,0.14721246519900488,4.661556853577153e-06,5.826946066971441e-06,,-5.0667487225290735,-5.331469014640764,-4.550488604652984,2.8152138818748178e-05,5.066564472479886
IL10x16,6,"[0.008080273625810697, -0.2565206427704044, 0.0046599859094960195, 0.05386137350903464, 4.907831405553055, 1.2151044428688973]","[0.00808, -0.256521, 0.676878, 0.00466, 0.053861]",4.907831405553055,1.2151044428688973,0.13230408487081233,0.3019951720402016,0.14372958937582964,4.179907744063273e-06,5.224884680079092e-06,,-5.096554489374361,-5.378833303556639,-4.550488604652984,2.8152138818748178e-05,4.212533368850595
IL10x16,7,"[0.01306010933811586, -0.2502432934067345, 0.005174186316830596, 0.05476433914074035, 5.035350099434065, 1.4212457722580714]","[0.01306, -0.250243, 0.676758, 0.005174, 0.054764]",5.035350099434065,1.4212457722580714,0.13230408487081233,0.3019951720402016,0.14798092243592423,4.046323271214135e-06,5.0579040890176685e-06,,-5.1242248205480445,-5.392939423271578,-4.550488604652984,2.8152138818748178e-05,3.5652636559044897
IL10x16,8,"[0.017960439628454367, -0.24427157337034405, 0.005830738334404394, 0.05591308961279763, 4.893139714838073, 1.6084863536625889]","[0.01796, -0.244272, 0.676024, 0.005831, 0.055913]",4.893139714838073,1.6084863536625889,0.13230408487081233,0.3019951720402016,0.1492368269316116,3.866465929131542e-06,4.833082411414428e-06,,-5.149854697562517,-5.412685812423824,-4.557551704342964,2.7697992648232562e-05,3.236682519407403
IL10x16,9,"[0.022969673722603, -0.2387655841121043, 0.006256737980037037, 0.05739811709887061, 4.882384496884839, 1.8363019345951759]","[0.02297, -0.238766, 0.67461, 0.006257, 0.057398]",4.882384496884839,1.8363019345951759,0.13230408487081233,0.3019951720402016,0.15238891505327648,3.808423946144515e-06,4.760529932680644e-06,,-5.173889717214168,-5.419254712802529,-4.550488604652984,2.8152138818748178e-05,3.0044297754746423
IL10x16,10,"[0.028098636171497507, -0.23379829647175424, 0.0067172575076778545, 0.05918337723487087, 4.837232685287323, 2.052872488394324]","[0.028099, -0.233798, 0.672202, 0.006717, 0.059183]",4.837232685287323,2.052872488394324,0.13230408487081233,0.3019951720402016,0.15489101622586016,3.788353666194746e-06,4.735442082743432e-06,,-5.196531565727274,-5.421549483705972,-4.557551704342964,2.7697992648232562e-05,2.8049769005066874
