env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,seed_gain,seed_gain_ratio,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,best_u_gain,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-4.685009906341377,2.0653330446258407e-05,-4.351892276326364,0.0,15,15,False,0.138052798606414,0.4061571009309033,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-0.0263937486825414,0.0,"[-0.02651, -0.292569, 0.621715, 0.002207, 0.056999]",6.115922931574151,2.2766981639535304,0.1429042730655905,0.4204303414698162,-0.3763059495005479,,False
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-4.514599158110663,3.057742023184019e-05,-4.231924259007788,0.0,15,15,False,0.1256152007636402,0.369565168472022,,-4.514599158110663,3.057742023184019e-05,0,-4.493700372713209,3.208482148502944e-05,-4.482810667128753,0.0,0.0208987853974536,"[-0.026314, -0.292462, 0.623035, 0.000996, 0.057194]",6.285530660471754,2.09204478220173,0.1300295910863353,0.3825524892213456,-0.4173089677907875,,False
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-4.201942118080223,6.281420707822838e-05,-4.639205862253837,0.0,15,15,False,0.2996744373723211,0.8816547142463109,,-4.332154318804502,4.654206851911134e-05,4,-4.323281932923206,4.7502675055123136e-05,-4.27418717816679,-0.1302122007242792,-0.1213398148429831,"[0.006112, -0.280019, 0.65209, -0.012928, 0.048851]",6.185470228000899,0.6005156624625678,0.3526003067456847,1.0373648330264336,0.0159315211961831,,False
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-4.451551803405019,3.535478467799001e-05,-4.194091062978357,0.0,15,13,False,0.16560955749523,0.4872302368203297,,-4.49025824895676,3.2340129233289155e-05,8,-4.481983721048415,3.296220673911073e-05,-4.468492436420047,-0.0387064455517407,-0.030431917643396,"[0.018509, -0.242228, 0.688328, -0.000128, 0.050808]",6.501518139047934,0.0,0.2182578473114643,0.6421237049469384,-0.1923812971639904,marginal_gain,True
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-4.467577705540719,3.40739353027464e-05,-4.33789309685928,0.0,15,15,False,0.1338693804668257,0.3938493099936032,,-4.47991350437677,3.311970772942967e-05,2,-4.47991350437677,3.311970772942967e-05,-4.459216071798462,-0.0123357988360517,-0.0123357988360517,"[-0.011745, -0.28099, 0.646793, 0.005298, 0.055175]",6.022117226439939,2.8296314571597536,0.1480283006546668,0.4355054447033446,-0.3610064110585294,,False
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-4.533052921358087,2.9305361202868476e-05,-4.257176935694421,0.0,15,13,False,0.1227393088115526,0.3611041742028616,,-4.5510935890290645,2.811294940326289e-05,0,-4.5510935890290645,2.811294940326289e-05,-4.542611214958238,-0.0180406676709772,-0.0180406676709772,"[-0.027247, -0.291731, 0.621535, 0.002225, 0.057262]",6.157398662854694,2.255393149734981,0.1270526340599156,0.3737941572813053,-0.4273674912940503,marginal_gain,True
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-4.5497593415445055,2.8199451331175343e-05,-4.185530988000843,0.0,15,15,False,0.1026481589764645,0.3019951720402016,,-4.565228205213427,2.7212710080309737e-05,11,-4.532150426422295,2.9366323155136795e-05,-4.526498184308758,-0.0154688636689215,0.0176089151222109,"[0.039985, -0.233745, 0.644358, 0.019618, 0.062295]",5.946547194435981,4.0,0.1449943784406613,0.4265795188015926,-0.37,,False
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-4.685009906341377,2.0653330446258407e-05,-4.384792083334257,0.0,15,15,False,0.1506030530251789,0.4430804737428037,,-4.7114036550239184,1.943552806631466e-05,0,-4.692753186580869,2.028835397163895e-05,-4.685009906341377,-0.0263937486825414,-0.0077432802394916,"[-0.026521, -0.292541, 0.621802, 0.002154, 0.056982]",5.945155036012317,2.294944113223488,0.1558955706170078,0.4586512816034359,-0.3385173886111481,,False
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-4.685009906341377,2.0653330446258407e-05,-4.305345872228452,0.0,15,15,False,0.1255025441876491,0.369233728119003,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-0.0263937486825414,0.0,"[-0.0265, -0.292596, 0.621634, 0.002255, 0.057015]",6.128818408324256,2.270935080188604,0.1299129755141732,0.3822094013361966,-0.417698634658773,,False
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-4.685009906341377,2.0653330446258407e-05,-4.185530988000843,0.0,15,15,False,0.1026481589764645,0.3019951720402016,,-4.7114036550239184,1.943552806631466e-05,0,-4.685009906341377,2.0653330446258407e-05,-4.685009906341377,-0.0263937486825414,0.0,"[-0.026485, -0.292638, 0.621505, 0.002332, 0.05704]",6.135506414996004,2.2676527815938603,0.1062554376885432,0.3126079367123955,-0.505,,False
