env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,seed_gain,seed_gain_ratio,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,best_u_gain,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-6.922641392861164,1.194974415597765e-07,-5.989465922776405,-6.0057827597138616,15,15,False,0.138052798606414,0.4061571009309033,,-6.922641392861164,1.194974415597765e-07,0,-6.922641392861164,1.194974415597765e-07,-6.922641392861164,0.0,0.0,"[-0.026399, -0.292676, 0.622621, 0.001775, 0.056528]",6.299897690059078,1.9921657484576132,0.1429042730655905,0.4204303414698162,-0.3763059495005479,marginal_gain,False
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-6.9226344385968375,1.194993550619807e-07,-5.90479908517358,-5.869546103632004,15,15,False,0.1256152007636402,0.369565168472022,,-6.9226344385968375,1.194993550619807e-07,0,-6.9226344385968375,1.194993550619807e-07,-6.9226344385968375,0.0,0.0,"[-0.026361, -0.29246, 0.623471, 0.000889, 0.05682]",6.297707822650093,1.9629857820163563,0.1300295910863353,0.3825524892213456,-0.4173089677907875,,False
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-4.798444556538556,1.590579729499268e-05,-6.574254391849719,-5.9944942014783775,15,13,False,0.2996744373723211,0.8816547142463109,,-6.8222824915702525,1.5056273958839702e-07,7,-6.504201655090477,3.131831189722014e-07,-5.1447523052386925,-2.023837935031697,-1.7057570985519217,"[0.018876, -0.254619, 0.670422, -0.012856, 0.043227]",6.236594143449832,0.0,0.3587385256286487,1.0554237294164424,0.023426854327335,marginal_gain,True
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-5.841207901295529,1.4414251610874887e-06,-5.990152737385019,-5.846178806429112,15,15,False,0.16560955749523,0.4872302368203297,,-6.922633608229476,1.194995835439513e-07,1,-6.922633608229476,1.194995835439513e-07,-6.763593189989589,-1.0814257069339472,-1.0814257069339472,"[-0.01876, -0.28654, 0.637947, 0.001123, 0.05563]",6.264874154618917,1.4727419761506766,0.177270062062452,0.5215359283979173,-0.2827157678367078,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-6.822290276341483,1.50560040760695e-07,-5.964786113499668,-6.002549398035961,15,15,False,0.1338693804668257,0.3938493099936032,,-6.922633608229476,1.194995835439513e-07,0,-6.922633608229476,1.194995835439513e-07,-6.922633608229476,-0.1003433318879931,-0.1003433318879931,"[-0.026398, -0.292681, 0.622594, 0.001791, 0.056535]",6.2972341338999245,2.040643199243682,0.1385738405484514,0.407690028091943,-0.3896699110585294,marginal_gain,False
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-6.148563208672957,7.102917842351776e-07,-5.9518836661916925,-5.793953138698333,15,15,False,0.1227393088115526,0.3611041742028616,,-6.922636306917596,1.1949884098074144e-07,0,-6.922636306917596,1.1949884098074144e-07,-6.922636306917596,-0.7740730982446387,-0.7740730982446387,"[-0.027864, -0.291142, 0.622039, 0.00195, 0.057005]",6.228128274811492,2.194826821129773,0.1270526340599156,0.3737941572813053,-0.4273674912940503,,False
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-6.922636306917596,1.1949884098074144e-07,-5.691253866013483,-5.920615115557043,15,15,False,0.1026481589764645,0.3019951720402016,,-6.922636306917596,1.1949884098074144e-07,0,-6.922636306917596,1.1949884098074144e-07,-6.922636306917596,0.0,0.0,"[-0.026393, -0.292708, 0.622417, 0.0019, 0.056583]",6.240326153684791,2.179564305626353,0.1062554376885432,0.3126079367123955,-0.505,marginal_gain,False
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-6.922641392861164,1.194974415597765e-07,-6.046530646388733,-6.004500698097568,15,15,False,0.1506030530251789,0.4430804737428037,,-6.922641392861164,1.194974415597765e-07,0,-6.922641392861164,1.194974415597765e-07,-6.922641392861164,0.0,0.0,"[-0.026402, -0.292664, 0.622707, 0.001722, 0.056505]",6.226607910542682,1.8034068798775504,0.1558955706170078,0.4586512816034359,-0.3385173886111481,marginal_gain,False
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-6.922641392861164,1.194974415597765e-07,-5.906939142837292,-5.990591601355161,15,15,False,0.1255025441876491,0.369233728119003,,-6.922641392861164,1.194974415597765e-07,0,-6.922641392861164,1.194974415597765e-07,-6.922641392861164,0.0,0.0,"[-0.026397, -0.292688, 0.622543, 0.001823, 0.056549]",6.280641866662675,2.106019539124112,0.1299129755141732,0.3822094013361966,-0.417698634658773,,False
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-6.922641392861164,1.194974415597765e-07,-5.691253866013483,-5.920615115557043,15,15,False,0.1026481589764645,0.3019951720402016,,-6.922641392861164,1.194974415597765e-07,0,-6.922641392861164,1.194974415597765e-07,-6.922641392861164,0.0,0.0,"[-0.026393, -0.292708, 0.622417, 0.0019, 0.056583]",6.240326153684791,2.179564305626353,0.1062554376885432,0.3126079367123955,-0.505,marginal_gain,False
DGD5ps,10.0,10.0,0.0,5.0,45.0,False,-6.922641392861164,1.194974415597765e-07,-5.798950306571461,-5.958927223021471,15,15,False,0.1129522897688842,0.3323103553071027,,-6.922641392861164,1.194974415597765e-07,0,-6.922641392861164,1.194974415597765e-07,-6.922641392861164,0.0,0.0,"[-0.026394, -0.292699, 0.622472, 0.001866, 0.056568]",6.25554252708905,2.157156027084366,0.1169216779627558,0.3439884612025769,-0.4634561252194481,,False
Comb_IL20x20_CD15_DGD5,20.0,20.0,15.0,5.0,45.0,False,-4.660706890137366,2.1842035561945863e-05,-6.572808264113174,-5.986745416506284,15,13,False,0.3075606067768558,0.904856154094898,,-6.922625823458247,1.195017256049177e-07,4,-6.244817904962596,5.690914948117853e-07,-5.1364007624712125,-2.2619189333208807,-1.58411101482523,"[0.002973, -0.272496, 0.667165, -0.008528, 0.048838]",6.173903104077306,0.5987017675611346,0.337725377804663,0.993602170652142,-0.0027874683941278,marginal_gain,True
Comb_IL20x10_CD15_DGD5,20.0,10.0,15.0,5.0,45.0,False,-6.822290276341483,1.50560040760695e-07,-6.472983801511385,-5.997485678583061,15,14,False,0.2444712515405777,0.719244635306201,,-6.922633608229476,1.194995835439513e-07,0,-6.922633608229476,1.194995835439513e-07,-6.922633608229476,-0.1003433318879931,-0.1003433318879931,"[-0.026191, -0.292704, 0.624144, -0.000451, 0.05651]",6.07211958704098,1.7087977246568316,0.2530625010105244,0.7445204501633553,-0.1281233687363543,marginal_gain,True
HighNoise_IL10x10,10.0,10.0,0.0,0.0,0.0,True,-6.359242699518326,4.372776702328263e-07,-6.08300930136357,-5.97716627375919,15,15,False,0.1673367255835322,0.4923116374920041,,-6.922641392861164,1.194974415597765e-07,4,-6.922641392861164,1.194974415597765e-07,-6.356318058082491,-0.5633986933428377,-0.5633986933428377,"[0.001626, -0.269634, 0.673997, 0.005095, 0.049649]",5.958971552854921,0.594212985675375,0.1907805773257984,0.561284428731387,-0.2508170059004729,,False
HighNoise_IL16x16,16.0,16.0,0.0,0.0,0.0,True,-5.856046265626553,1.3930083971009864e-06,-6.641201861524102,-5.997485678583061,15,15,False,0.2002588722714806,0.5891699684362479,,-6.922631324711045,1.1950021187387558e-07,3,-6.922631324711045,1.1950021187387558e-07,-6.255964658044378,-1.066585059084492,-1.066585059084492,"[-0.010291, -0.269353, 0.666779, 0.001113, 0.052465]",6.787717594635825,1.346456899134102,0.2285311269010619,0.6723481226862663,-0.1724058034126065,marginal_gain,False
