env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
CD15ps,0,"[-0.026520627194112925, -0.2925406916930001, 0.002153919944486841, 0.05698240709487083, 5.945155036012317, 2.294944113223488, -0.3385173886111481]","[-0.026521, -0.292541, 0.621802, 0.002154, 0.056982]",5.945155036012317,2.294944113223488,0.15589557061700787,0.45865128160343593,-0.3385173886111481,0.19429261646466153,3.133252635321664e-05,3.91656579415208e-05,,-4.502954418176622,-4.504004586381395,-4.7114036550239184,1.943552806631466e-05,11.650667690616944
CD15ps,1,"[-0.019099069901662494, -0.2865908636478182, 0.003747734947329266, 0.0559481018573527, 5.6691867076205655, 2.3872614015538014, -0.3239673886111481]","[-0.019099, -0.286591, 0.634614, 0.003748, 0.055948]",5.6691867076205655,2.3872614015538014,0.1612069554460176,0.4742775976640706,-0.3239673886111481,0.20150374286018297,2.593719961498963e-05,3.2421499518737036e-05,,-4.6113323253802685,-4.586076915584617,-4.685009906341377,2.0653330446258407e-05,10.931264426584962
CD15ps,2,"[-0.011747650595338239, -0.2808911811439363, 0.004842120782729442, 0.05505263874765967, 5.4277306510992185, 2.5334644304867204, -0.3098538886111481]","[-0.011748, -0.280891, 0.647466, 0.004842, 0.055053]",5.4277306510992185,2.5334644304867204,0.1665318382365002,0.48994362529126273,-0.3098538886111481,0.21078155235756438,2.2508452337398697e-05,2.813556542174837e-05,,-4.70700048437808,-4.647654365702945,-4.685009906341377,2.0653330446258407e-05,10.13364914471171
CD15ps,3,"[-0.0044593798478551935, -0.2754972339799021, 0.005603525133923967, 0.05434277438746662, 5.6951569160771855, 2.4747219991142946, -0.2961637936111481]","[-0.004459, -0.275497, 0.660097, 0.005604, 0.054343]",5.6951569160771855,2.4747219991142946,0.1718649717348179,0.5056339268455955,-0.2961637936111481,0.2234845590339875,2.053845032505669e-05,2.5673062906320862e-05,,-4.786796963430773,-4.687432328054529,-4.685009906341377,2.0653330446258407e-05,9.225779270552973
CD15ps,4,"[0.00244379562244554, -0.27006687001522445, 0.006576776140259888, 0.053809450789822334, 5.493985230503393, 2.301324031211577, -0.3094431857611481]","[0.002444, -0.270067, 0.667103, 0.006577, 0.053809]",5.493985230503393,2.301324031211577,0.16668939826433254,0.4904071734755297,-0.3094431857611481,0.21092213369280288,1.8401788634538115e-05,2.3002235793172643e-05,,-4.849066523115351,-4.7351399619710595,-4.7114036550239184,1.943552806631466e-05,7.623465594145789
CD15ps,5,"[0.008714524367991687, -0.26427240760326404, 0.00727179469199314, 0.05320817858990057, 5.479007656275834, 2.044139576605935, -0.2965621753756481]","[0.008715, -0.264272, 0.666533, 0.007272, 0.053208]",5.479007656275834,2.044139576605935,0.1717073909225182,0.5051703175125573,-0.2965621753756481,0.21022697755490213,1.768803234298565e-05,2.2110040428732065e-05,,-4.901873342585051,-4.752320476310881,-4.7114036550239184,1.943552806631466e-05,6.252631361573199
CD15ps,6,"[0.014330375933515781, -0.25819078244242194, 0.007861077081423704, 0.05249191818888434, 5.48599600002679, 1.7943457105058886, -0.2840675953017131]","[0.01433, -0.258191, 0.667126, 0.007861, 0.052492]",5.48599600002679,1.7943457105058886,0.17671913182021365,0.5199150686090428,-0.2840675953017131,0.210237777747234,1.742511447604347e-05,2.1781393095054338e-05,,-4.952852422806463,-4.758824360079268,-4.692753186580869,2.028835397163895e-05,5.292218976803839
CD15ps,7,"[0.019871356924674143, -0.2523810807231343, 0.008346432703793281, 0.051721883608866474, 5.4876926194402005, 1.5519567948063033, -0.27194785262999616]","[0.019871, -0.252381, 0.667679, 0.008346, 0.051722]",5.4876926194402005,1.5519567948063033,0.1817202442815077,0.5346285504016114,-0.27194785262999616,0.21022910284006954,1.7561503924881028e-05,2.1781393095054338e-05,,-5.001958289515871,-4.75543829490433,-4.685009906341377,2.0653330446258407e-05,4.834646074039344
CD15ps,8,"[0.02545703120431414, -0.24695968918913092, 0.008746394492532134, 0.05090081565149526, 5.488059286259576, 1.3168340728777639, -0.26019170223843074]","[0.025457, -0.24696, 0.667936, 0.008746, 0.050901]",5.488059286259576,1.3168340728777639,0.18670651057765228,0.5492983541560821,-0.26019170223843074,0.21019085703265572,1.806621805188643e-05,2.1781393095054338e-05,,-5.049550357345578,-4.743132752314626,-4.685009906341377,2.0653330446258407e-05,4.485591378954346
CD15ps,9,"[0.031064994813859974, -0.2419151579672833, 0.009085673269440094, 0.05001568002818195, 5.487739699152219, 1.0887649791957077, -0.24878823635861227]","[0.031065, -0.241915, 0.667918, 0.009086, 0.050016]",5.487739699152219,1.0887649791957077,0.19167387734469798,0.5639125547063784,-0.24878823635861227,0.21013574840301083,1.8932900433936266e-05,2.1781393095054338e-05,,-5.095967401872581,-4.722782849006991,-4.7114036550239184,1.943552806631466e-05,4.1513056159057795
CD15ps,10,"[0.03667198997363614, -0.23723232874568628, 0.009379713454280767, 0.04905355195875594, 5.486965018998619, 0.8675390974954265, -0.23772687445518836]","[0.036672, -0.237232, 0.667662, 0.00938, 0.049054]",5.486965018998619,0.8675390974954265,0.19661845996783006,0.5784597233534277,-0.23772687445518836,0.21007348146948282,2.0172605727846248e-05,2.1781393095054338e-05,,-5.141516192813425,-4.695237999648757,-4.7114036550239184,1.943552806631466e-05,3.831278488320617
CD15ps,11,"[0.03946296919894018, -0.23506241388020052, 0.009508490889008755, 0.04852750705167629, 5.486404339609989, 0.7602453519788861, -0.23236211393202777]","[0.039463, -0.235062, 0.667439, 0.009508, 0.048528]",5.486404339609989,0.7602453519788861,0.19906231511464126,0.5856496472922662,-0.23236211393202777,0.21003659072565067,2.0931576661878845e-05,2.1781393095054338e-05,,-5.163882428754508,-4.679198057386853,-4.685009906341377,2.0653330446258407e-05,3.524785664907187
CD15ps,12,"[0.042199908309871054, -0.2330041468067927, 0.009627271754991775, 0.04798526853289364, 5.485779184209291, 0.6561708754068718, -0.227158296224562]","[0.0422, -0.233004, 0.667183, 0.009627, 0.047985]",5.485779184209291,0.6561708754068718,0.20146187349624234,0.5927092482972708,-0.227158296224562,0.2100038238927419,2.1778443713080598e-05,2.1781393095054338e-05,,-5.185793310936906,-4.661973158141778,-4.685009906341377,2.0653330446258407e-05,3.3780838236952304
