env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x20_CD15_DGD5,0,"[-0.025811436889752154, -0.29433976725742345, -0.003053487639482482, 0.05605243909153222, 6.0543627449614705, 1.7049666256840523, -0.028420455544127844]","[-0.025811, -0.29434, 0.620743, -0.003053, 0.056052]",6.0543627449614705,1.7049666256840523,0.31836895288420825,0.936654759882931,-0.028420455544127844,0.19855619317978343,3.351503664482537e-05,4.1893795806031716e-05,,-4.841834859403124,-4.474760301419091,-4.246173815133933,5.673175058074199e-05,10.565154145979623
Comb_IL20x20_CD15_DGD5,1,"[-0.017655248040382224, -0.290404071727971, -0.005872263076678352, 0.05401985718973269, 6.097181284056838, 1.4171340828579526, -0.013870455544127844]","[-0.017655, -0.290404, 0.632049, -0.005872, 0.05402]",6.097181284056838,1.4171340828579526,0.3292158295445539,0.9685667241675608,-0.013870455544127844,0.2021408019212131,2.825720954275933e-05,3.5321511928449165e-05,,-5.032748480121857,-4.548870727838397,-4.3021369637423525,4.987271787308237e-05,9.694278644669973
Comb_IL20x20_CD15_DGD5,2,"[-0.009563776814307789, -0.28692829025454636, -0.008579726075914996, 0.052110417048127855, 6.131371897182306, 1.1369424433072612, 0.00024304445587215728]","[-0.009564, -0.286928, 0.642818, -0.00858, 0.05211]",6.131371897182306,1.1369424433072612,0.340090271656844,1.0005597871634129,0.00024304445587215728,0.20569008435798578,2.4617365940179206e-05,3.0771707425224005e-05,,-5.227208903189666,-4.608758418457699,-4.331301410124515,4.6633562058463186e-05,8.963410956401866
Comb_IL20x20_CD15_DGD5,3,"[-0.0015703699453696474, -0.2838893998664274, -0.011218341187124437, 0.05032002529646906, 6.159259829254275, 0.864564500572613, 0.013933139455872157]","[-0.00157, -0.283889, 0.653002, -0.011218, 0.05032]",6.159259829254275,0.864564500572613,0.35098156331273317,1.0326024222204566,0.013933139455872157,0.20919049052909952,2.209595691162138e-05,2.7619946139526725e-05,,-5.426979423388566,-4.655687185663675,-4.325399781355518,4.727159091612105e-05,8.33990104002008
Comb_IL20x20_CD15_DGD5,4,"[0.005936316320545544, -0.2808816598629792, -0.014279849229224822, 0.04842142954468251, 6.182555966938503, 0.6000003451804093, 0.027212531605872156]","[0.005936, -0.280882, 0.650481, -0.01428, 0.048421]",6.182555966938503,0.6000003451804093,0.3618792621863607,1.0646639075797608,0.027212531605872156,0.20844470360948578,2.0150978509254416e-05,2.518872313656802e-05,,-5.6107294376080805,-4.695703860150579,-4.313287441999839,4.860853788956051e-05,7.006646852869698
Comb_IL20x20_CD15_DGD5,5,"[0.012468747631942749, -0.2765505643375918, -0.016971339261649614, 0.046170374945900546, 6.204555155397618, 0.34332115411170605, 0.040093541991372154]","[0.012469, -0.276551, 0.647839, -0.016971, 0.04617]",6.204555155397618,0.34332115411170605,0.37277322124859913,1.0967143902577203,0.040093541991372154,0.2078489925935516,1.8585167588168605e-05,2.3231459485210756e-05,,-5.7934867087307484,-4.7308335183837675,-4.32629846747026,4.7173872892780576e-05,5.985079708454532
Comb_IL20x20_CD15_DGD5,6,"[0.01779041935172178, -0.27091015052395234, -0.01881498291138304, 0.04375154127858265, 6.2254855563974365, 0.09430763880866827, 0.05258812206530715]","[0.01779, -0.27091, 0.648733, -0.018815, 0.043752]",6.2254855563974365,0.09430763880866827,0.38365360786713615,1.1287249422392944,0.05258812206530715,0.2087932611595071,1.736856278844821e-05,2.171070348556026e-05,,-5.982065203816555,-4.760236117008863,-4.322576801650912,4.757986422049083e-05,5.648552300193581
Comb_IL20x20_CD15_DGD5,7,"[0.02268649727271494, -0.26495694629778704, -0.019825190808189605, 0.04154906808137433, 6.244751504296217, 0.0, 0.0647078647370241]","[0.022686, -0.264957, 0.650982, -0.019825, 0.041549]",6.244751504296217,0.0,0.3945109203684038,1.1606676092038948,0.0647078647370241,0.21366021313918365,1.7042042444239235e-05,2.1302553055299044e-05,,-6.1072245867747865,-4.7684783573916825,-4.320308601221345,4.7829010788535686e-05,5.8378630913083
Comb_IL20x20_CD15_DGD5,8,"[0.027841379721020677, -0.2598669696955983, -0.022063247129698357, 0.03956518442013206, 6.261421891380243, 0.0, 0.07646401512858954]","[0.027841, -0.259867, 0.650663, -0.022063, 0.039565]",6.261421891380243,0.0,0.4053360021498624,1.1925154520443142,0.07646401512858954,0.2193319811039315,1.7672048187742817e-05,2.1302553055299044e-05,,-6.182757770419857,-4.752713112910599,-4.327713855390517,4.7020381083896814e-05,5.525924166017585
Comb_IL20x20_CD15_DGD5,9,"[0.03306540014314439, -0.2568232241357237, -0.026421721520640477, 0.038067168788109486, 6.276445490456078, 0.0, 0.08786748100840802]","[0.033065, -0.256823, 0.645622, -0.026422, 0.038067]",6.276445490456078,0.0,0.4161200534415766,1.2242425814697753,0.08786748100840802,0.22262932003470354,1.8979585700980645e-05,2.1302553055299044e-05,,-6.255200253682534,-4.721713271874044,-4.312661487938478,4.8678648495879084e-05,5.262746567488079
