env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
DGD5ps,0,"[-0.026491576746956055, -0.292619925418931, 0.0022988464119875376, 0.05702885589448642, 6.133457738609783, 2.2686801667506606, -0.4634561252194481]","[-0.026492, -0.29262, 0.621561, 0.002299, 0.057029]",6.133457738609783,2.2686801667506606,0.11692167796275589,0.3439884612025769,-0.4634561252194481,0.14738666554589755,3.240711273176049e-05,4.050889091470061e-05,,-4.368660497552653,-4.489359660128571,-4.7114036550239184,1.943552806631466e-05,10.10794154959263
DGD5ps,1,"[-0.019047489594727136, -0.2867351150578866, 0.004027633908342592, 0.0560013018681639, 6.216780679039681, 2.54749603358416, -0.4489061252194481]","[-0.019047, -0.286735, 0.634188, 0.004028, 0.056001]",6.216780679039681,2.54749603358416,0.12090521658451317,0.3557081982480529,-0.4489061252194481,0.16036834520703194,2.488049089056383e-05,3.1100613613204786e-05,,-4.487008311942318,-4.604141055293118,-4.7114036550239184,1.943552806631466e-05,9.709455914051418
DGD5ps,2,"[-0.011696438163999576, -0.2810890987297986, 0.005410774955028867, 0.055164197137121895, 6.246026311746659, 2.828246894433363, -0.4347926252194481]","[-0.011696, -0.281089, 0.646639, 0.005411, 0.055164]",6.246026311746659,2.828246894433363,0.12489887867737512,0.367457718968447,-0.4347926252194481,0.17362224594004758,2.003324554075543e-05,2.5041556925944285e-05,,-4.598595628168583,-4.698248685940667,-4.7114036550239184,1.943552806631466e-05,9.276274431758011
DGD5ps,3,"[-0.004442414413926418, -0.2757126703202108, 0.006601576483375391, 0.05457060704038893, 6.226100276465521, 3.1013227695332786, -0.4211025302194481]","[-0.004442, -0.275713, 0.658673, 0.006602, 0.054571]",6.226100276465521,3.1013227695332786,0.12889872880111342,0.3792254451341966,-0.4211025302194481,0.18685647594510396,1.6909598991977723e-05,2.1136998739972152e-05,,-4.70240474184413,-4.771866691493701,-4.685009906341377,2.0653330446258407e-05,8.777197692853829
DGD5ps,4,"[0.0022915308096987204, -0.27010647190287773, 0.007825596266013285, 0.05425338070764068, 6.169419023167324, 3.360791723117206, -0.4078231380694481]","[0.002292, -0.270106, 0.665523, 0.007826, 0.054253]",6.169419023167324,3.360791723117206,0.1329009319892515,0.39100009411371434,-0.4078231380694481,0.19869583924320552,1.4895111127230826e-05,1.8618888909038533e-05,,-4.790031079519882,-4.826956252317141,-4.7114036550239184,1.943552806631466e-05,7.440682098013431
DGD5ps,5,"[0.008364605905509775, -0.26418193112441, 0.009149870793017668, 0.054332659402966624, 6.094950530961654, 3.6074141371212005, -0.3949421276839481]","[0.008365, -0.264182, 0.663971, 0.00915, 0.054333]",6.094950530961654,3.6074141371212005,0.13690176172366894,0.4027707023350072,-0.3949421276839481,0.20819701824129158,1.3589415727060758e-05,1.6986769658825946e-05,,-4.8599892743579005,-4.8667992152298485,-4.7114036550239184,1.943552806631466e-05,6.178922434746387
DGD5ps,6,"[0.013818321921317728, -0.25807037377251746, 0.01055174972901233, 0.0549025891370619, 6.020118804558438, 3.845838182077039, -0.3824475476100131]","[0.013818, -0.25807, 0.662657, 0.010552, 0.054903]",6.020118804558438,3.845838182077039,0.14089760694914716,0.41452664592276306,-0.3824475476100131,0.2178704872215735,1.283588877428291e-05,1.6044860967853635e-05,,-4.927693049384767,-4.89157405481465,-4.7114036550239184,1.943552806631466e-05,5.328795628463343
DGD5ps,7,"[0.019346368201584887, -0.2525020396592652, 0.012103492523465351, 0.056047177085775154, 5.94795530900525, 4.0, -0.37032780493829615]","[0.019346, -0.252502, 0.660001, 0.012103, 0.056047]",5.94795530900525,4.0,0.14488497815577334,0.4262576585930372,-0.37032780493829615,0.22538209472863766,1.2702015604739255e-05,1.587751950592407e-05,,-4.988163089095096,-4.896127358055141,-4.685009906341377,2.0653330446258407e-05,5.028521723050057
DGD5ps,8,"[0.02504481224688576, -0.24768750156812874, 0.013885393147242317, 0.05765905609637825, 5.8828494504607045, 4.0, -0.35857165454673073]","[0.025045, -0.247688, 0.655723, 0.013885, 0.057659]",5.8828494504607045,4.0,0.14886051256170685,0.43795384690116756,-0.35857165454673073,0.22868587824874204,1.3268629613157148e-05,1.587751950592407e-05,,-5.035173197660682,-4.877173928844423,-4.685009906341377,2.0653330446258407e-05,4.904918028718811
DGD5ps,9,"[0.030812637509911898, -0.24349588041177841, 0.015765559942865923, 0.059509083904756385, 5.828486731171077, 4.0, -0.34716818866691224]","[0.030813, -0.243496, 0.650417, 0.015766, 0.059509]",5.828486731171077,4.0,0.15282097843264322,0.4496057029498183,-0.34716818866691224,0.23178922463480675,1.4193910009881368e-05,1.587751950592407e-05,,-5.078131001162422,-4.847897952547729,-4.685009906341377,2.0653330446258407e-05,4.7238527447259315
