env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL10x16,0,"[-0.026485209976823246, -0.2926384295884556, 0.002332116826820544, 0.05703960086198195, 6.135506414996004, 2.2676527815938603, -0.505]","[-0.026485, -0.292638, 0.621505, 0.002332, 0.05704]",6.135506414996004,2.2676527815938603,0.10625543768854323,0.3126079367123955,-0.505,0.13393919580427907,3.416858528586958e-05,4.271073160733697e-05,,-4.306707195072233,-4.466373002332624,-4.5567458311426,2.7749436525879078e-05,9.534878052006393
IL10x16,1,"[-0.01903140823698316, -0.2867681294372754, 0.004068613264631316, 0.05601247093851494, 6.232287830139782, 2.5420873961794985, -0.49045]","[-0.019031, -0.286768, 0.634119, 0.004069, 0.056012]",6.232287830139782,2.5420873961794985,0.10987557594843773,0.32325853471149674,-0.49045,0.14581632466841019,2.5962186790296287e-05,3.2452733487870356e-05,,-4.424351123155124,-4.585658729785357,-4.5567458311426,2.7749436525879078e-05,9.216897565652802
IL10x16,2,"[-0.011671968751710563, -0.2811327851420207, 0.005440775654635902, 0.055159243822204274, 6.2879037216707765, 2.8188241402327825, -0.4763365]","[-0.011672, -0.281133, 0.646595, 0.005441, 0.055159]",6.2879037216707765,2.8188241402327825,0.11350491416057287,0.33393619935443625,-0.4763365,0.15812569028342396,2.0610209750933342e-05,2.5762762188666678e-05,,-4.53684102595731,-4.685917588365892,-4.5321504264222945,2.9366323155136795e-05,8.87704367406331
IL10x16,3,"[-0.004414710994658815, -0.27576022527448196, 0.00660806209397213, 0.054524851846477936, 6.303336622747208, 3.0921907548878553, -0.462646405]","[-0.004415, -0.27576, 0.658692, 0.006608, 0.054525]",6.303336622747208,3.0921907548878553,0.11713987589728149,0.3446304086416049,-0.462646405,0.17066151493888568,1.708460683592484e-05,2.135575854490605e-05,,-4.643113597137774,-4.7673950110679115,-4.5321504264222945,2.9366323155136795e-05,8.483254554744045
IL10x16,4,"[0.002263443925667819, -0.27008793353045635, 0.007807525779270464, 0.05412114893319116, 6.28374719227934, 3.357055166546608, -0.44936701284999997]","[0.002263, -0.270088, 0.66572, 0.007808, 0.054121]",6.28374719227934,3.357055166546608,0.12077697603887848,0.3553309092052912,-0.44936701284999997,0.18213316546652408,1.4756152927973793e-05,1.844519115996724e-05,,-4.734160992005391,-4.831026852535029,-4.5321504264222945,2.9366323155136795e-05,7.220925283941373
IL10x16,5,"[0.00816020006115074, -0.26398198274399537, 0.009105141166543356, 0.05405604080646144, 6.241013506366304, 3.6111063493992557, -0.4364860024645]","[0.00816, -0.263982, 0.664697, 0.009105, 0.054056]",6.241013506366304,3.6111063493992557,0.12441282802077766,0.36602773763100227,-0.4364860024645,0.19157618493206918,1.3220886678022597e-05,1.6526108347528246e-05,,-4.807421279429325,-4.878739417281604,-4.540632800493121,2.879832307225951e-05,6.007480732358609
IL10x16,6,"[0.01327343276715107, -0.2575600800649889, 0.010468168598328324, 0.05443075349026548, 6.1889715702083326, 3.855518806877427, -0.423991422390565]","[0.013273, -0.25756, 0.664268, 0.010468, 0.054431]",6.1889715702083326,3.855518806877427,0.12804415020813206,0.37671123921192134,-0.423991422390565,0.20116131109766652,1.224305031191356e-05,1.530381288989195e-05,,-4.878830883235099,-4.912110365802212,-4.5321504264222945,2.9366323155136795e-05,5.176330987897697
IL10x16,7,"[0.018369514666258344, -0.25154189387995224, 0.011964849385291932, 0.055355393251372356, 6.131878261308908, 4.0, -0.411871679718848]","[0.01837, -0.251542, 0.662768, 0.011965, 0.055355]",6.131878261308908,4.0,0.13166777142336744,0.38737208421114283,-0.411871679718848,0.20838273527341378,1.1937921062813777e-05,1.4922401328517221e-05,,-4.94177448808032,-4.923071297122828,-4.526498184308758,2.975101697111222e-05,4.838259142274114
IL10x16,8,"[0.023663484155632804, -0.2462065921727517, 0.013709681182352053, 0.05672993684287893, 6.075822234557678, 4.0, -0.4001155293272826]","[0.023663, -0.246207, 0.65969, 0.01371, 0.05673]",6.075822234557678,4.0,0.135280635656148,0.39800128171858784,-0.4001155293272826,0.211870724732656,1.2342264441101745e-05,1.4922401328517221e-05,,-4.991614627455863,-4.908605152778143,-4.526498184308758,2.975101697111222e-05,4.68512025012135
IL10x16,9,"[0.029059015965385557, -0.24145899804630783, 0.015577313717170648, 0.058359556881321294, 6.0259289039235355, 4.0, -0.3887120634474641]","[0.029059, -0.241459, 0.655545, 0.015577, 0.05836]",6.0259289039235355,4.0,0.1388798059887952,0.40859019119975054,-0.3887120634474641,0.2151057961423542,1.3079358521545918e-05,1.4922401328517221e-05,,-5.037694988723462,-4.88341355550598,-4.526498184308758,2.975101697111222e-05,4.49364361098965
IL10x16,10,"[0.03451466264845345, -0.23730714264398672, 0.017552734878967705, 0.060223735390463176, 5.982745562206407, 4.0, -0.3776507015440402]","[0.034515, -0.237307, 0.650402, 0.017553, 0.060224]",5.982745562206407,4.0,0.14246246777301536,0.41913053184176335,-0.3776507015440402,0.21809922527969905,1.4158692017051556e-05,1.4922401328517221e-05,,-5.080216893893278,-4.848976865008849,-4.526498184308758,2.975101697111222e-05,4.315473286675156
IL10x16,11,"[0.0372496049673655, -0.23552587116561036, 0.018585404144569315, 0.06125918652495632, 5.964646378321194, 4.0, -0.3722859410208796]","[0.03725, -0.235526, 0.64738, 0.018585, 0.061259]",5.964646378321194,4.0,0.14423319487133296,0.42434008494066777,-0.3722859410208796,0.2194778459791744,1.4824911485254023e-05,1.4922401328517221e-05,,-5.10006356904847,-4.82900789098768,-4.526498184308758,2.975101697111222e-05,4.151269139174354
IL10x16,12,"[0.03758546187259676, -0.23532358971526568, 0.01871471037782054, 0.06139191125666287, 5.962634998652378, 4.0, -0.3716354638074464]","[0.037585, -0.235324, 0.646984, 0.018715, 0.061392]",5.962634998652378,4.0,0.14444938620420109,0.4249761288737896,-0.3716354638074464,0.21964101509523504,1.4912275866437841e-05,1.4922401328517221e-05,marginal_gain,-5.10243527591795,-4.826456070778485,-4.540632800493121,2.879832307225951e-05,4.076171687297228
