env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,target_drive_rms,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.4263814953158094,0.0003746437610538747,-3.350332037922552,0.0,15,7,False,0.145,,-3.761524035328042,0.00017317131892230112,0,-3.745590817558174,0.0001796425381119523,-3.743862371549896,-0.33514254001223254,-0.31920932224236465,"[-0.024504, -0.295839, 0.62065, -0.001214, 0.057793]",-0.2919651271097078,-0.06896640161565779,0.27952142090712073,0.6380310908630923,0.4381,1.0,marginal_gain,True
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.3002423018907634,0.0005009076888733489,-3.5257541633607548,0.0,15,14,False,0.14,,-3.564094286698493,0.00027283853774537505,11,-3.5569129633781773,0.0002773875959290221,-3.5465154961595355,-0.2638519848077294,-0.2566706614874139,"[0.050581, -0.29691, 0.617683, -0.015431, 0.019395]",2.353779098989055,-1.0489333916277546,0.2733355352409681,0.6239112879273411,0.4381,1.0,marginal_gain,True
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.2222621470866022,0.059942914202658,-3.1529923100342883,0.0,15,15,False,0.195,,-2.8181733767581894,0.0015199406258979995,14,-2.8181733767581894,0.0015199406258979995,-1.2866004655894132,-1.5959112296715872,-1.5959112296715872,"[0.000897, -0.286038, 0.626377, -0.056863, -0.029825]",-2.266408802584177,-2.662896495727261,0.8221382270707664,1.876599468319485,0.4381,1.0,,False
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.325710904043751,0.0004723773831547641,-3.1529923100342883,0.0,15,15,False,0.135,,-3.528588473522433,0.0002960816732839731,4,-3.528588473522433,0.0002960816732839731,-3.4786115214900817,-0.20287756947868196,-0.20287756947868196,"[0.003663, -0.294766, 0.658599, -0.009155, 0.033817]",-0.18292491350395268,-1.298901402477812,0.3791344093453882,0.8654060930047666,0.4381,1.0,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-2.951485132938411,0.0011181881024982594,-3.350332037922552,0.0,15,7,False,0.145,,-3.5180607848441525,0.00030334665835936433,1,-3.4738719799184827,0.00033583659660190373,-3.4738719799184827,-0.5665756519057417,-0.5223868469800719,"[-0.016611, -0.290644, 0.634386, 0.000946, 0.057413]",-0.026689052007408565,0.05065635532598485,0.2654660013438983,0.6059484166717606,0.4381,1.0,marginal_gain,True
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.4618654893401435,0.00034525065458416667,-3.5685849445800573,0.0,15,10,False,0.12,,-3.6086173096173213,0.0002462536579396555,7,-3.5967109836873874,0.0002530981765644919,-3.5933207490049583,-0.1467518202771778,-0.1348454943472439,"[0.023081, -0.279556, 0.662784, -0.007653, 0.026926]",1.58679323860501,-0.39263196841291004,0.2401144152067042,0.5480812946968825,0.4381,1.0,marginal_gain,True
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.1918456933456674,0.000642916107535166,-3.350332037922552,0.0,15,7,False,0.135,,-3.611920072504071,0.00024438802826952415,1,-3.6002564219693163,0.00025104037676034233,-3.6002564219693163,-0.42007437915840384,-0.4084107286236489,"[-0.016673, -0.290584, 0.634331, 0.001019, 0.057393]",-0.021124613387577096,0.0374592349891206,0.24707265179296328,0.563964053396401,0.4381,1.0,marginal_gain,True
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.4306703799019735,0.00037096216720753646,-3.350332037922552,0.0,15,7,False,0.135,,-3.7507309371806716,0.0001775289002870336,5,-3.74713434565855,0.00017900520295479686,-3.742226593384982,-0.3200605572786981,-0.31646396575657665,"[0.012374, -0.269953, 0.657689, 0.004299, 0.055685]",0.9694405639310193,0.4657751506156345,0.2121835944307824,0.48432685330011965,0.4381,1.0,marginal_gain,True
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.4134678161523166,0.0003859510118391651,-3.350332037922552,0.0,15,7,False,0.14,,-3.7589119175398467,0.00017421601778897202,2,-3.7390094648262546,0.00018238559535580485,-3.7390094648262546,-0.34544410138753,-0.325541648673938,"[-0.008811, -0.28565, 0.645948, 0.002544, 0.057046]",0.23521026307247872,0.15618397933939004,0.244272860397695,0.5575732946763182,0.4381,1.0,marginal_gain,True
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5379678598641884,0.00028975580146998136,-3.350332037922552,0.0,15,7,False,0.11,,-3.760175470061984,0.0001737098838651482,1,-3.7500714986390378,0.0001777986672973392,-3.7406269657577256,-0.22220761019779545,-0.2121036387748494,"[-0.016787, -0.290478, 0.634226, 0.001152, 0.057357]",-0.016754180713083378,0.02558482779715507,0.2012662596436142,0.4594071208482406,0.4381,1.0,marginal_gain,True
