env,n_steps,pred_drop_total_dex,real_best_delta_dex,real_final_delta_dex,best_step,reg_slope_pred_to_real,corr_pred_real,disp_best_sigma,disp_end_sigma,disp_best_over_rho,disp_end_over_rho
Base_IL10x10,7,-0.24714537789037871,-0.33514254001214594,-0.31920932224227805,0,-0.035517766545622366,-0.49209558168883943,0.0,1.568400602340271,0.0,0.9129165438820629
IL14x14,14,-0.34217823746985454,-0.26385198480768723,-0.2566706614873717,11,0.026260073245729317,0.5791746698613809,2.5894688652439046,2.964616010838177,1.5072481886460025,1.7256095148863262
IL20x20,15,-1.4616065930330313,-1.5959112296715872,-1.5959112296715872,14,1.1213117355291584,0.9962094562268219,3.0685540441264476,3.0685540441264476,1.7861085672240022,1.7861085672240022
IL20x10_TxHeavy,15,-0.4326771379118104,-0.2028775694786229,-0.2028775694786229,4,0.09338578994369741,0.8418991607894238,1.0609723629192067,2.89723881008611,0.6175585633321828,1.6863913705198652
IL10x20_RxHeavy,7,-0.24714537789037871,-0.5665756519057186,-0.5223868469800488,1,-0.038210111024881095,-0.23180103364212754,0.2835852408240252,1.568400602340271,0.16506602813256532,0.9129165438820629
IL16x10,10,-0.16214978264350588,-0.14675182027709344,-0.13484549434715998,7,0.03026919261788034,0.28185570779620406,1.7685788467280514,2.1904532908112686,1.0294339889494704,1.2749938024753902
IL10x16,7,-0.2419749047044033,-0.42007437915835943,-0.4084107286236045,1,-0.03242121550809284,-0.5906343778801352,0.2835912389096984,1.5708757680572252,0.1650695194291349,0.9143572598117083
CD15ps,7,-0.2419749047044033,-0.3200605572786559,-0.316463965756534,5,-0.012212157926579094,-0.32256893602265874,1.3319634590366862,1.5708757680572252,0.7752939368848566,0.9143572598117083
CD28ps,7,-0.24464276251256978,-0.3454441013874572,-0.32554164867386515,2,-0.06484855636330024,-0.7233442664270014,0.5585159673868235,1.5720551962790825,0.3250945363632968,0.9150437677959876
DGD2ps,7,-0.22492054912433757,-0.22220761019767332,-0.21210363877472727,1,-0.03327382461531167,-0.40238626638005603,0.28359316914132926,1.5562952898578253,0.1650706429561131,0.9058704231284768
DGD5ps,8,-0.25953101264521816,-0.2958721218216738,-0.2958721218216738,7,0.006443658846560361,0.06224150535957717,1.4340551388999252,1.4340551388999252,0.8347182851035407,0.8347182851035407
Comb_IL20x20_CD15_DGD5,15,-1.4616065930330313,-1.006437419641071,-1.006437419641071,14,0.7047104962333539,0.9970071536730465,3.0685540441264476,3.0685540441264476,1.7861085672240022,1.7861085672240022
Comb_IL20x10_CD15_DGD5,15,-0.4787751327996421,-0.14223146428199485,-0.13725355515977222,8,0.12872322572290107,0.8011780575235111,1.9052350119291046,2.88043667959699,1.1089772343737383,1.6766113800804998
HighNoise_IL10x10,7,-0.23841355764443195,-0.48723552961480543,-0.48119873075399155,4,0.14770248292788715,0.8239468210093908,0.9784054877907764,1.3251524793484617,0.5694989883939202,0.7713294803371181
HighNoise_IL16x16,12,-0.30801754472970844,-0.31232160612357696,-0.31232160612357696,11,0.6586712590606546,0.9155717157925757,2.3523505429722102,2.3523505429722102,1.369229088846891,1.369229088846891
