env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,target_drive_rms,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.738907911102482,0.00018242824867713435,-2.297564554640556,-2.684699557576352,15,8,False,0.145,,-3.7699922285860734,0.0001698274041686118,2,-3.7453942887796132,0.00017972384911045026,-3.738907911102482,-0.031084317483591306,-0.006486377677131117,"[0.044334, -0.253847, 0.583392, -0.109752, 0.008676]",-0.07620046948478476,-5.0,0.3526663761231163,0.8049905869050817,0.4381,1.0,marginal_gain,True
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.556647281012457,0.0002775573414419754,-2.631148881521492,-2.287657605836973,15,3,False,0.14,,-3.5611093391475173,0.0002747202422954981,2,-3.5611093391475173,0.0002747202422954981,-3.5524509052431177,-0.004462058135060065,-0.004462058135060065,"[0.045305, -0.254861, 0.581227, -0.108674, 0.009934]",0.739730655944628,-5.0,0.4075114685392355,0.9301791110231351,0.4381,1.0,marginal_gain,True
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-2.3659663591200624,0.0043055996080026086,-2.0978428655262213,-2.0246159992424695,15,6,False,0.195,,-3.3558639343884518,0.00044069291213661197,2,-3.3341616146355624,0.0004632744886472502,-3.31661119501906,-0.9898975752683894,-0.9681952555155,"[0.062647, -0.267457, 0.530394, -0.132577, 0.006924]",0.1805331657507558,-5.0,0.9386522327721839,2.142552460105419,0.4381,1.0,marginal_gain,True
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.5142812652704123,0.000305998103421546,-2.0978428655262213,-2.0246159992424695,15,2,False,0.135,,-3.528588473522433,0.0002960816732839731,1,-3.528588473522433,0.0002960816732839731,-3.5276070133068393,-0.014307208252020587,-0.014307208252020587,"[0.056151, -0.263254, 0.557617, -0.115265, 0.007714]",0.4580884799140368,-5.0,0.5615999593104033,1.2818990169148672,0.4381,1.0,marginal_gain,True
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-3.528588473522433,0.0002960816732839731,-2.297564554640556,-2.684699557576352,15,8,False,0.145,,-3.5304933013639093,0.000294785894456168,3,-3.528588473522433,0.0002960816732839731,-3.5266452923021916,-0.0019048278414763864,0.0,"[0.041732, -0.247003, 0.597048, -0.10442, 0.009797]",0.1286906758102075,-5.0,0.33405806568511437,0.762515557373007,0.4381,1.0,marginal_gain,True
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.5991212755326356,0.00025169739715955513,-2.6021772461551067,-2.1725028382648546,15,2,False,0.12,,-3.6107086442857064,0.0002450706799391736,1,-3.6107086442857064,0.0002450706799391736,-3.6002564219693163,-0.01158736875307076,-0.01158736875307076,"[0.047912, -0.262347, 0.568371, -0.113531, 0.00784]",0.48770718679561087,-5.0,0.4128053503912679,0.9422628404274548,0.4381,1.0,marginal_gain,True
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.611920072504071,0.00024438802826952415,-2.297564554640556,-2.684699557576352,15,7,False,0.135,,-3.6083746342221428,0.00024639129819446363,1,-3.59782029813703,0.00025245251514603587,-3.5967109836873874,0.003545438281928437,0.014099774367041018,"[0.046806, -0.260999, 0.569609, -0.115205, 0.007382]",-0.13273861769615183,-5.0,0.3425043277601544,0.7817948590736233,0.4381,1.0,marginal_gain,True
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.738907911102482,0.00018242824867713435,-2.297564554640556,-2.684699557576352,15,7,False,0.135,,-3.7699922285860734,0.0001698274041686118,2,-3.7519756415115317,0.0001770208242074492,-3.738907911102482,-0.031084317483591306,-0.013067730409049627,"[0.044174, -0.254126, 0.583361, -0.109522, 0.008818]",0.09464357282950686,-5.0,0.3236490775062311,0.7387561686971722,0.4381,1.0,marginal_gain,True
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.738907911102482,0.00018242824867713435,-2.297564554640556,-2.684699557576352,15,7,False,0.14,,-3.7699922285860734,0.0001698274041686118,4,-3.7519756415115317,0.0001770208242074492,-3.7519756415115317,-0.031084317483591306,-0.013067730409049627,"[0.038883, -0.240668, 0.610625, -0.099017, 0.010807]",0.47307123167202947,-5.0,0.3018172432872505,0.6889231757298574,0.4381,1.0,marginal_gain,True
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.738907911102482,0.00018242824867713435,-2.297564554640556,-2.684699557576352,15,6,False,0.11,,-3.7699922285860734,0.0001698274041686118,3,-3.7699922285860734,0.0001698274041686118,-3.738907911102482,-0.031084317483591306,-0.031084317483591306,"[0.04085, -0.248554, 0.59719, -0.103154, 0.010253]",0.4603348089699892,-5.0,0.24601109109634303,0.5615409520573911,0.4381,1.0,marginal_gain,True
