env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,target_drive_rms,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.738907911102482,0.00018242824867713435,-3.8957737504581345,-2.284308402283136,15,14,False,0.145,,-3.7699922285860734,0.0001698274041686118,4,-3.7519756415115317,0.0001770208242074492,-3.7519756415115317,-0.031084317483591306,-0.013067730409049627,"[0.020412, -0.265885, 0.653689, -0.052668, 0.007346]",-1.51297371848037,-3.8062343290660694,0.32719050371765473,0.7468397710971347,0.4381,1.0,,True
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.5651031049085553,0.00027220549942040225,-2.7181609259499395,-2.079506201295381,15,15,False,0.14,,-3.5651031049085553,0.00027220549942040225,0,-3.5611093391475173,0.0002747202422954981,-3.5484571394820787,0.0,0.003993765761038048,"[0.007061, -0.283095, 0.630866, -0.056446, -0.022533]",-2.1652417480528268,-2.9453238794517342,0.44655944479925813,1.0193093923744765,0.4381,1.0,,False
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.9293981005589338,0.01176527003343517,-1.7385159013203186,-1.919608601144275,15,15,False,0.195,,-3.3966685215810504,0.0004011727988567805,6,-3.383279700690259,0.0004137331305293342,-2.9813634854240907,-1.4672704210221166,-1.4538816001313253,"[0.052589, -0.283009, 0.566098, -0.086282, -0.012022]",-3.174227715792601,-4.245550887034497,1.0670258463534383,2.4355760017197863,0.4381,1.0,,False
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.520916029156042,0.00030135886452647856,-1.7385159013203186,-1.919608601144275,15,15,False,0.135,,-3.5346212142200315,0.00029199726644090607,3,-3.528588473522433,0.0002960816732839731,-3.528588473522433,-0.013705185063989322,-0.007672444366390696,"[0.029706, -0.288267, 0.601843, -0.070719, -0.009466]",-2.3303118012303816,-3.7916658111207133,0.6171520907890432,1.408701417003066,0.4381,1.0,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-3.528588473522433,0.0002960816732839731,-3.8957737504581345,-2.284308402283136,15,14,False,0.145,,-3.5366893183537935,0.0002906100851095546,0,-3.528588473522433,0.0002960816732839731,-3.528588473522433,-0.008100844831360643,0.0,"[0.006464, -0.281663, 0.633187, -0.055849, -0.022837]",-2.2361649603157105,-2.9613681191771963,0.3600195375160859,0.8217747946041678,0.4381,1.0,,True
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.6108107580544284,0.00024501306431202465,-2.457752843027091,-2.012275890962903,15,14,False,0.12,,-3.6108107580544284,0.00024501306431202465,1,-3.6002564219693163,0.00025104037676034233,-3.6002564219693163,0.0,0.010554336085112137,"[0.011855, -0.282863, 0.632701, -0.058611, -0.01397]",-1.8029894579659373,-3.029668474352333,0.408496384607686,0.9324272645690163,0.4381,1.0,,True
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.611920072504071,0.00024438802826952415,-3.8957737504581345,-2.284308402283136,15,14,False,0.135,,-3.611920072504071,0.00024438802826952415,1,-3.6108107580544284,0.00024501306431202465,-3.59782029813703,0.0,0.0011093144496427954,"[0.009995, -0.277902, 0.642763, -0.054627, -0.014713]",-2.029558315293542,-3.1662941893407646,0.32434209557212773,0.7403380405663724,0.4381,1.0,,True
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.7519756415115317,0.0001770208242074492,-3.8957737504581345,-2.284308402283136,15,14,False,0.135,,-3.7699922285860734,0.0001698274041686118,2,-3.7519756415115317,0.0001770208242074492,-3.7519756415115317,-0.01801658707454168,0.0,"[0.012597, -0.274341, 0.652961, -0.05364, -0.006461]",-1.8250973385992946,-3.3609016452853773,0.31330022670527047,0.715134048631067,0.4381,1.0,,True
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.7519756415115317,0.0001770208242074492,-3.8957737504581345,-2.284308402283136,15,14,False,0.14,,-3.7699922285860734,0.0001698274041686118,4,-3.761524035328042,0.00017317131892230112,-3.7519756415115317,-0.01801658707454168,-0.009548393816510181,"[0.019959, -0.266158, 0.653794, -0.052428, 0.007661]",-1.4691299009133727,-3.767001056100218,0.3145774571194939,0.7180494341919514,0.4381,1.0,,True
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.738907911102482,0.00018242824867713435,-3.8957737504581345,-2.284308402283136,15,14,False,0.11,,-3.7699922285860734,0.0001698274041686118,0,-3.7519756415115317,0.0001770208242074492,-3.7453942887796132,-0.031084317483591306,-0.013067730409049627,"[0.006464, -0.281663, 0.633187, -0.055849, -0.022837]",-2.2361649603157105,-2.9613681191771963,0.2731182698397893,0.6234153614238515,0.4381,1.0,,True
DGD5ps,10.0,10.0,0.0,5.0,45.0,False,-3.7534532054313314,0.0001764195843649818,-3.8957737504581345,-2.284308402283136,15,14,False,0.155,,-3.768356450421159,0.00017046826837005581,2,-3.760175470061984,0.0001737098838651482,-3.7406269657577256,-0.014903244989827424,-0.006722264630652397,"[0.013543, -0.273648, 0.651657, -0.054021, -0.007131]",-1.935271769178951,-3.449001048551115,0.36394242848921593,0.8307291223218807,0.4381,1.0,,True
Comb_IL20x20_CD15_DGD5,20.0,20.0,15.0,5.0,45.0,False,-1.6344373578205333,0.023203988533240016,-1.7385159013203186,-1.919608601144275,15,15,False,0.195,,-3.390928217559075,0.0004065105137755457,14,-3.390928217559075,0.0004065105137755457,-2.236999076848471,-1.7564908597385416,-1.7564908597385416,"[0.098824, -0.270202, 0.51063, -0.111908, 0.008436]",-3.681008711004055,-5.0,1.306718111648904,2.982693703832239,0.4381,1.0,,False
Comb_IL20x10_CD15_DGD5,20.0,10.0,15.0,5.0,45.0,False,-3.5148895814608045,0.00030556979197968604,-1.7385159013203186,-1.919608601144275,15,15,False,0.14,,-3.537670778569387,0.00028995407817175144,10,-3.5346212142200315,0.00029199726644090607,-3.5266321623010675,-0.022781197108582507,-0.019731632759226958,"[0.076894, -0.285234, 0.533814, -0.094978, 0.00908]",-2.3802485479522724,-5.0,0.7867656246955133,1.7958585361687132,0.4381,1.0,,False
HighNoise_IL10x10,10.0,10.0,0.0,0.0,0.0,True,-3.742500801734614,0.00018092525702580108,-3.8957737504581345,-2.284308402283136,15,15,False,0.16,,-3.7682584973574706,0.00017050672101693676,5,-3.7439172170998236,0.0001803361455252137,-3.7390448207495717,-0.02575769562285668,-0.0014164153652096445,"[0.026971, -0.260008, 0.648945, -0.053256, 0.010819]",-1.5131653184312739,-4.121426755229549,0.364240084399008,0.8314085469048346,0.4381,1.0,,False
HighNoise_IL16x16,16.0,16.0,0.0,0.0,0.0,True,-3.3989593598791465,0.0003990622437968129,-2.457752843027091,-2.012275890962903,15,14,False,0.15,,-3.48733456341972,0.00032558578585895504,11,-3.4792277194506624,0.00033172047649705034,-3.472295199989009,-0.08837520354057338,-0.0802683595715159,"[0.075206, -0.269575, 0.545251, -0.099692, 0.010276]",-0.30020969805483744,-4.9680057370734465,0.5752699812529926,1.3131019887080406,0.4381,1.0,,True
