env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Base_IL10x10,0,"[0.00646432974598007, -0.2816631006560844, -0.05584853947664663, -0.022836726602608493, -2.2361649603157105, -2.9613681191771963]","[0.006464, -0.281663, 0.633187, -0.055849, -0.022837]",-2.2361649603157105,-2.9613681191771963,0.3600195375160859,0.8217747946041678,0.14499999999999996,0.006595630548330076,0.006495335834447086,,-3.627370341843332,-2.1807436791820503,-3.761524035328042,0.00017317131892230112,18.58349847447445
Base_IL10x10,1,"[0.01022114236213151, -0.2777301797410138, -0.054721326428108515, -0.014884501581513379, -2.0572576277238483, -3.190874472781764]","[0.010221, -0.27773, 0.642443, -0.054721, -0.014885]",-2.0572576277238483,-3.190874472781764,0.3493742525238023,0.7974760386299984,0.145,0.006484871575391362,0.006495335834447086,,-3.702019552490601,-2.1880986201429136,-3.761524035328042,0.00017317131892230112,13.43661709025924
Base_IL10x10,2,"[0.013078931554853051, -0.27398856122684434, -0.05383099870891027, -0.006786975454552429, -1.874930790670211, -3.4063582944250985]","[0.013079, -0.273989, 0.652315, -0.053831, -0.006787]",-1.874930790670211,-3.4063582944250985,0.33834375369480846,0.7722979997598916,0.145,0.006580604472872613,0.006495335834447086,,-3.758299787758515,-2.1817342116785086,-3.7604438347695637,0.00017360257602719968,12.112553516263178
Base_IL10x10,3,"[0.01626556500353941, -0.27025463949887163, -0.05316492568269701, 0.0008783192566597722, -1.69314072349065, -3.6111016750713616]","[0.016266, -0.270255, 0.659437, -0.053165, 0.000878]",-1.69314072349065,-3.6111016750713616,0.32910115144894525,0.7512009848184096,0.14499999999999996,0.00676548986406055,0.006495335834447086,,-3.80680680992489,-2.1697007522731364,-3.761524035328042,0.00017317131892230112,10.305898340461095
Base_IL10x10,4,"[0.02041227438515681, -0.26588483304733523, -0.05266792139931075, 0.007346465480005586, -1.51297371848037, -3.8062343290660694]","[0.020412, -0.265885, 0.653689, -0.052668, 0.007346]",-1.51297371848037,-3.8062343290660694,0.32719050371765473,0.7468397710971347,0.14499999999999996,0.007001109197830767,0.006495335834447086,,-3.862030622311884,-2.1548331485092462,-3.7699922285860734,0.0001698274041686118,7.522728446094043
Base_IL10x10,5,"[0.02563256170636314, -0.2607477673411948, -0.05231558767966551, 0.011816077303681345, -1.334156320215457, -3.9916865048373746]","[0.025633, -0.260748, 0.649488, -0.052316, 0.011816]",-1.334156320215457,-3.9916865048373746,0.32442521915555605,0.7405277771183658,0.145,0.007255061030801765,0.006495335834447086,,-3.910239219847474,-2.1393589298521656,-3.7604438347695637,0.00017360257602719968,5.821121808911461
Base_IL10x10,6,"[0.03127841375334789, -0.25556721955375405, -0.05221600335574069, 0.01508113447738799, -1.1553717528489722, -4.1662771430777115]","[0.031278, -0.255567, 0.645857, -0.052216, 0.015081]",-1.1553717528489722,-4.1662771430777115,0.3213523446388603,0.7335136832660587,0.145,0.007523202324999334,0.006495335834447086,,-3.952225812332609,-2.1235972583390996,-3.7604438347695637,0.00017360257602719968,5.139472304514305
Base_IL10x10,7,"[0.03689696109145763, -0.25075906390275166, -0.05237788165477688, 0.01833244009321611, -0.9767043624535381, -4.33008565500777]","[0.036897, -0.250759, 0.641634, -0.052378, 0.018332]",-0.9767043624535381,-4.33008565500777,0.3185985624271035,0.7272279443668193,0.145,0.007837342810977213,0.006495335834447086,,-3.9931137081497177,-2.1058311564655074,-3.7604438347695637,0.00017360257602719968,4.878448490765177
Base_IL10x10,8,"[0.04247158678221547, -0.24631355603111238, -0.05279429743767943, 0.02155935369806426, -0.799142144368345, -4.484210563832749]","[0.042472, -0.246314, 0.636861, -0.052794, 0.021559]",-0.799142144368345,-4.484210563832749,0.31618205890281975,0.7217120723643455,0.145,0.008182609157696094,0.006495335834447086,,-4.033580916165277,-2.0871081924032318,-3.7604438347695637,0.00017360257602719968,4.63965390447761
Base_IL10x10,9,"[0.0479847451513693, -0.24221773790178278, -0.053455845460062844, 0.024751036501299686, -0.6233909676463425, -4.6295623354411655]","[0.047985, -0.242218, 0.631591, -0.053456, 0.024751]",-0.6233909676463425,-4.6295623354411655,0.3141088328484271,0.7169797599827142,0.14500000000000002,0.008544556548304633,0.006495335834447086,,-4.074163556634132,-2.068310471693596,-3.761524035328042,0.00017317131892230112,4.421668209419701
