env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
CD28ps,0,"[0.00646432974598007, -0.2816631006560844, -0.05584853947664663, -0.022836726602608493, -2.2361649603157105, -2.9613681191771963]","[0.006464, -0.281663, 0.633187, -0.055849, -0.022837]",-2.2361649603157105,-2.9613681191771963,0.3476050707051864,0.7934377327212655,0.14,0.006997243049531347,0.006495335834447086,,-3.5471678687468327,-2.1550730405887824,-3.761524035328042,0.00017317131892230112,18.58349847447445
CD28ps,1,"[0.010108792014850895, -0.27781543786475327, -0.0546740623506597, -0.014797821870276087, -2.0426403531852197, -3.178690981377631]","[0.010109, -0.277815, 0.642604, -0.054674, -0.014798]",-2.0426403531852197,-3.178690981377631,0.33682058813664756,0.7688212466027107,0.14,0.006916196297278745,0.006495335834447086,,-3.6143143139336225,-2.1601326889644605,-3.7519756415115317,0.0001770208242074492,12.93773314664939
CD28ps,2,"[0.012839452976456483, -0.274163358686615, -0.053735701661035126, -0.006621357560714193, -1.8486950836572063, -3.3837801944720947]","[0.012839, -0.274163, 0.65264, -0.053736, -0.006621]",-1.8486950836572063,-3.3837801944720947,0.32575519272044245,0.7435635533449954,0.14,0.007049361365456953,0.006495335834447086,,-3.6640018284270424,-2.151850225990315,-3.7519756415115317,0.0001770208242074492,11.65541024221001
CD28ps,3,"[0.01591103064333151, -0.27049771121088556, -0.053010553984486154, 0.0011181385831008864, -1.6573195183850524, -3.579593558317297]","[0.015911, -0.270498, 0.659463, -0.053011, 0.001118]",-1.6573195183850524,-3.579593558317297,0.3167266182542713,0.7229550747643718,0.14000000000000004,0.007275594678206638,0.006495335834447086,,-3.7069814091992406,-2.138131503385551,-3.761524035328042,0.00017317131892230112,9.833223761422055
CD28ps,4,"[0.019959439635240928, -0.26615762441311375, -0.05242758305473439, 0.00766095999751132, -1.4691299009133727, -3.767001056100218]","[0.019959, -0.266158, 0.653794, -0.052428, 0.007661]",-1.4691299009133727,-3.767001056100218,0.3145774571194939,0.7180494341919514,0.14,0.00755843241076903,0.006495335834447086,,-3.756749628711884,-2.1215682661317516,-3.7699922285860734,0.0001698274041686118,7.094071097529351
CD28ps,5,"[0.025131238854412236, -0.2609900513936258, -0.05196970800578303, 0.012142192534869752, -1.283578437252266, -3.9457154252868185]","[0.025131, -0.26099, 0.649767, -0.05197, 0.012142]",-1.283578437252266,-3.9457154252868185,0.31158230563093475,0.711212749671159,0.14000000000000004,0.007861426860935161,0.006495335834447086,,-3.7992425936867606,-2.104498621697113,-3.7699922285860734,0.0001698274041686118,5.407383282405471
CD28ps,6,"[0.03070446001267243, -0.25580977490265217, -0.05177030866239396, 0.015525743539300859, -1.0992360452887093, -4.114427295096692]","[0.030704, -0.25581, 0.64619, -0.05177, 0.015526]",-1.0992360452887093,-4.114427295096692,0.30838493564810593,0.7039144844741062,0.13999999999999999,0.008185446298630035,0.006495335834447086,,-3.8363013519036397,-2.0869576363805424,-3.7519756415115317,0.0001770208242074492,4.782813234899036
CD28ps,7,"[0.03625976130483165, -0.25100636140008453, -0.0518458589442955, 0.018893794337262553, -0.9161024665268774, -4.273227034710265]","[0.03626, -0.251006, 0.641994, -0.051846, 0.018894]",-0.9161024665268774,-4.273227034710265,0.3055418899346816,0.6974249941444456,0.14000000000000004,0.008559334498258155,0.006495335834447086,,-3.8726916735417847,-2.06756000109036,-3.7519756415115317,0.0001770208242074492,4.526727931867361
CD28ps,8,"[0.04177910221390315, -0.24656975948897875, -0.052189330420551176, 0.022234577494411416, -0.7349358696435367, -4.423098623029569]","[0.041779, -0.24657, 0.637227, -0.052189, 0.022235]",-0.7349358696435367,-4.423098623029569,0.3030632843146572,0.691767368899012,0.13999999999999999,0.008967113497089766,0.006495335834447086,,-3.909032969660435,-2.0473473333248244,-3.7519756415115317,0.0001770208242074492,4.293528410997569
CD28ps,9,"[0.04724363291015798, -0.24248660329504715, -0.052791138885573186, 0.02553604574223368, -0.55626749111643, -4.564849193199033]","[0.047244, -0.242487, 0.631943, -0.052791, 0.025536]",-0.55626749111643,-4.564849193199033,0.3009488331909584,0.6869409568385263,0.14,0.009392824957503088,0.006495335834447086,,-3.9458101927131928,-2.0272037709987623,-3.7519756415115317,0.0001770208242074492,4.0815653616098935
CD28ps,10,"[0.052634410093158224, -0.23874013059804222, -0.053639325800649895, 0.028786196037775102, -0.380467906237839, -4.699147357073013]","[0.052634, -0.23874, 0.6262, -0.053639, 0.028786]",-0.380467906237839,-4.699147357073013,0.299189899278016,0.6829260426341383,0.14000000000000004,0.009820700817059998,0.006495335834447086,,-3.983383379707502,-2.0078575193289425,-3.7519756415115317,0.0001770208242074492,3.8887957909959794
CD28ps,11,"[0.05793306065999068, -0.23531029925308283, -0.05471990274390704, 0.031973439723378516, -0.20779303382085273, -4.826553939278005]","[0.057933, -0.23531, 0.620063, -0.05472, 0.031973]",-0.20779303382085273,-4.826553939278005,0.2977711916668856,0.6796877235035051,0.14,0.010235670336036786,0.006495335834447086,,-4.021997858241512,-1.9898837100401927,-3.761524035328042,0.00017317131892230112,3.7128758623082465
CD28ps,12,"[0.06312233818141724, -0.23217410181465742, -0.056017337063857274, 0.035086966792382164, -0.03841647831549541, -4.947546221747573]","[0.063122, -0.232174, 0.613599, -0.056017, 0.035087]",-0.03841647831549541,-4.947546221747573,0.29667224115908103,0.6771792767840242,0.14,0.010624036532793443,0.006495335834447086,,-4.0617954859891645,-1.9737104445683655,-3.7519756415115317,0.0001770208242074492,3.551257430204737
CD28ps,13,"[0.06818652088532919, -0.22930604436265392, -0.05751513413055883, 0.038117057607862874, 0.1275475145381826, -5.0]","[0.068187, -0.229306, 0.606875, -0.057515, 0.038117]",0.1275475145381826,-5.0,0.29574592930747745,0.6750648922791086,0.14000000000000004,0.011143953521507674,0.006495335834447086,,-4.096698565003627,-1.9529607079081093,-3.761524035328042,0.00017317131892230112,3.401286979183427
