env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x10_CD15_DGD5,0,"[0.008457409686115726, -0.2863596194152713, -0.05877566622952765, -0.02357372219268472, -2.198635344684108, -2.9551408428141936]","[0.008457, -0.28636, 0.622834, -0.058776, -0.023574]",-2.198635344684108,-2.9551408428141936,0.5925372391800328,1.352515953389712,0.14,0.006646107711381214,0.008307634639226518,,-2.089661556191957,-2.177432624525945,-3.5266321623010675,0.0002974184032502733,3.5971872951290713
Comb_IL20x10_CD15_DGD5,1,"[0.015971376983184307, -0.28722684702314755, -0.06312732048361538, -0.019338003010821815, -2.269405403512018, -3.2374041928501027]","[0.015971, -0.287227, 0.614336, -0.063127, -0.019338]",-2.269405403512018,-3.2374041928501027,0.6119728804300583,1.3968794349008407,0.14000000000000004,0.005323554064339151,0.006654442580423938,,-2.18281763450399,-2.2737983310162933,-3.5346212142200315,0.00029199726644090607,4.303072600225246
Comb_IL20x10_CD15_DGD5,2,"[0.02313972487526991, -0.2877887652136726, -0.06727522245603666, -0.014908191878011224, -2.3297797165200627, -3.513141921913078]","[0.02314, -0.287789, 0.606888, -0.067275, -0.014908]",-2.3297797165200627,-3.513141921913078,0.6296886902466612,1.4373172568971953,0.13999999999999999,0.004275534890639336,0.00534441861329917,,-2.2743609720116487,-2.3690095451412976,-3.528588473522433,0.0002960816732839731,4.387506716650944
Comb_IL20x10_CD15_DGD5,3,"[0.030070104016938812, -0.28812749386159137, -0.0711884305216556, -0.010454080183871235, -2.3797853526678803, -3.782338721294241]","[0.03007, -0.288127, 0.60016, -0.071188, -0.010454]",-2.3797853526678803,-3.782338721294241,0.6459868256196282,1.4745191180543897,0.13999999999999999,0.003444465341367703,0.004305581676709629,,-2.364415603357791,-2.462878180814137,-3.528588473522433,0.0002960816732839731,4.553152684994452
Comb_IL20x10_CD15_DGD5,4,"[0.03676021734970213, -0.28832059025061996, -0.07491916389064178, -0.006020000589115491, -2.419291068773507, -4.0449719270096915]","[0.03676, -0.288321, 0.59398, -0.074919, -0.00602]",-2.419291068773507,-4.0449719270096915,0.6610570298951464,1.5089181234767093,0.14000000000000004,0.002785777766323944,0.0034822222079049303,,-2.452950360093221,-2.5550535321004286,-3.528588473522433,0.0002960816732839731,4.700775144852824
Comb_IL20x10_CD15_DGD5,5,"[0.04345150382516348, -0.28842529500108494, -0.0786370991413217, -0.0021296159834778266, -2.448270373414222, -4.300957026816466]","[0.043452, -0.288425, 0.587356, -0.078637, -0.00213]",-2.448270373414222,-4.300957026816466,0.6768022588721772,1.54485792940465,0.14,0.002253337049579397,0.002816671311974246,,-2.5435724528975108,-2.6471738425307656,-3.528588473522433,0.0002960816732839731,4.658456541899781
Comb_IL20x10_CD15_DGD5,6,"[0.050153939612025626, -0.2884189032644643, -0.08231944735767262, 0.0011721807064735165, -2.465104708983321, -4.550280947922196]","[0.050154, -0.288419, 0.577936, -0.082319, 0.001172]",-2.465104708983321,-4.550280947922196,0.6971831952100875,1.5913791262499146,0.14,0.0018249904695342356,0.0022812380869177947,,-2.6421165704172638,-2.738739399174355,-3.528588473522433,0.0002960816732839731,4.59800380144943
Comb_IL20x10_CD15_DGD5,7,"[0.05688361228072489, -0.28814815469878907, -0.08585259762194297, 0.003899574690204888, -2.4674548234657996, -4.792664408441626]","[0.056884, -0.288148, 0.565216, -0.085853, 0.0039]",-2.4674548234657996,-4.792664408441626,0.723477387855241,1.651397826649717,0.14000000000000004,0.0014844973629589485,0.0018556217036986857,,-2.750445004673492,-2.828420569542099,-3.528588473522433,0.0002960816732839731,4.560049485544894
Comb_IL20x10_CD15_DGD5,8,"[0.06363931769093112, -0.2874303955999319, -0.08909433748145246, 0.00608171912081756, -2.4528654346806253, -5.0]","[0.063639, -0.28743, 0.553754, -0.089094, 0.006082]",-2.4528654346806253,-5.0,0.747310492527218,1.7057988873024836,0.14000000000000004,0.0012269977180108247,0.001533747147513531,,-2.8529899011292716,-2.911156244979783,-3.528588473522433,0.0002960816732839731,4.559996578540247
Comb_IL20x10_CD15_DGD5,9,"[0.07033494908124002, -0.28638719814716557, -0.09208046673140918, 0.007801724270957751, -2.421414367863144, -5.0]","[0.070335, -0.286387, 0.543396, -0.09208, 0.007802]",-2.421414367863144,-5.0,0.767679074093321,1.7522918833447183,0.14,0.0010825289798214845,0.0013531612247768556,,-2.936108959052984,-2.9655604685467982,-3.528588473522433,0.0002960816732839731,4.5501149055072885
Comb_IL20x10_CD15_DGD5,10,"[0.07689406939632382, -0.2852342774536762, -0.09497774014702176, 0.009079987003981905, -2.3802485479522724, -5.0]","[0.076894, -0.285234, 0.533814, -0.094978, 0.00908]",-2.3802485479522724,-5.0,0.7867656246955133,1.7958585361687132,0.14,0.0009630422565696574,0.0012038028207120718,,-3.0166270627393006,-3.016354656393224,-3.537670778569387,0.00028995407817175144,4.519665008943609
Comb_IL20x10_CD15_DGD5,11,"[0.08328486061874106, -0.2840045079668631, -0.09777891642453339, 0.0100620642662489, -2.3294071550111077, -5.0]","[0.083285, -0.284005, 0.52487, -0.097779, 0.010062]",-2.3294071550111077,-5.0,0.8045651322561185,1.8364874052867348,0.14,0.0008642003577153123,0.0010802504471441403,,-3.0940662469371305,-3.0633855582588154,-3.5335981369774725,0.0002926859417899436,4.462698051373688
Comb_IL20x10_CD15_DGD5,12,"[0.08949291123391097, -0.2827222573323136, -0.1004841601204928, 0.010861638907123708, -2.2694725637936664, -5.0]","[0.089493, -0.282722, 0.516439, -0.100484, 0.010862]",-2.2694725637936664,-5.0,0.8211410480721609,1.87432332360685,0.14000000000000004,0.0007821473399520955,0.0009776841749401194,,-3.1681860050330637,-3.106711427374036,-3.528588473522433,0.0002960816732839731,4.368505133562896
Comb_IL20x10_CD15_DGD5,13,"[0.0954928564918585, -0.2814084391385112, -0.10308819884851968, 0.011750496245438996, -2.2013991483396573, -5.0]","[0.095493, -0.281408, 0.50826, -0.103088, 0.01175]",-2.2013991483396573,-5.0,0.8368747311811037,1.910236775122355,0.14,0.0007139581765109647,0.0008924477206387058,,-3.2396654958047897,-3.146327228339378,-3.526670525843706,0.00029739213186039657,4.245346344868664
Comb_IL20x10_CD15_DGD5,14,"[0.100897, -0.28006971848296636, -0.10560279626347006, 0.012726011313379292, -2.126722702675982, -5.0]","[0.100897, -0.28007, 0.500704, -0.105603, 0.012726]",-2.126722702675982,-5.0,0.8509983220980232,1.9424750561470514,0.13999999999999999,0.000660671496571695,0.0008258393707146188,,-3.3047952995699537,-3.1800144296055706,-3.5346212142200315,0.00029199726644090607,4.082235787354772
