env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,target_drive_rms,cloud,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.4263814953158094,0.0003746437610538747,-3.350332037922552,-3.40664424991073,15,8,False,0.145,,-3.7699922285860734,0.0001698274041686118,5,-3.7549426825961234,0.0001758155636863181,-3.742226593384982,-0.34361073327026403,-0.328561187280314,"[0.013455, -0.271692, 0.651608, 0.006422, 0.056823]",0.0,0.0,0.2542991849929456,0.5804592216227931,0.4381,1.0,marginal_gain,True
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.3002423018907634,0.0005009076888733489,-3.5257541633607548,-3.625660452412635,15,13,False,0.14,,-3.5651031049085553,0.00027220549942040225,5,-3.551672055035825,0.0002807552880368898,-3.546452602023926,-0.2648608030177919,-0.2514297531450618,"[0.015218, -0.283268, 0.658612, -0.001863, 0.041039]",0.0,0.0,0.3012888160372338,0.6877169962045967,0.4381,1.0,marginal_gain,True
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.2222621470866022,0.059942914202658,-3.1529923100342883,-3.6396845881855224,15,2,False,0.195,,-1.3209520238983068,0.04775820287798912,1,-1.3209520238983068,0.04775820287798912,-1.2603196474743341,-0.0986898768117046,-0.0986898768117046,"[-0.026102, -0.3, 0.616013, -0.009473, 0.048412]",0.0,0.0,0.5659115917169183,1.29174067956384,0.4381,1.0,marginal_gain,True
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.325710904043751,0.0004723773831547641,-3.1529923100342883,-3.6396845881855224,15,15,False,0.135,,-3.528588473522433,0.0002960816732839731,12,-3.528588473522433,0.0002960816732839731,-3.460974626053035,-0.20287756947868196,-0.20287756947868196,"[0.040169, -0.3, 0.622648, -0.037132, 5.2e-05]",0.0,0.0,0.4223635236202599,0.9640801726095867,0.4381,1.0,,False
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-2.951485132938411,0.0011181881024982594,-3.350332037922552,-3.40664424991073,15,8,False,0.145,,-3.525663832086598,0.0002980822858173991,3,-3.51942308232698,0.0003023966096171454,-3.488314547188954,-0.5741786991481872,-0.5679379493885692,"[-0.000952, -0.281114, 0.657467, 0.003681, 0.056786]",0.0,0.0,0.2537325573475814,0.579165846490713,0.4381,1.0,marginal_gain,True
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.4618654893401435,0.00034525065458416667,-3.5685849445800573,-3.648950672229978,15,5,False,0.12,,-3.607163206003778,0.00024707954561922714,2,-3.6002564219693163,0.00025104037676034233,-3.59782029813703,-0.14529771666363445,-0.1383909326291728,"[-0.010433, -0.287413, 0.651879, -0.001423, 0.048853]",0.0,0.0,0.2810271538596715,0.6414680526356346,0.4381,1.0,marginal_gain,True
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.1918456933456674,0.000642916107535166,-3.350332037922552,-3.40664424991073,15,8,False,0.135,,-3.611920072504071,0.00024438802826952415,1,-3.6108107580544284,0.00024501306431202465,-3.5967109836873874,-0.42007437915840384,-0.41896506470876105,"[-0.016637, -0.290578, 0.63459, 0.000863, 0.057331]",0.0,0.0,0.2466707027620526,0.56304657101587,0.4381,1.0,marginal_gain,True
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.4306703799019735,0.00037096216720753646,-3.350332037922552,-3.40664424991073,15,8,False,0.135,,-3.768356450421159,0.00017046826837005581,4,-3.7634108758541545,0.00017242058892376726,-3.7487701238234656,-0.3376860705191853,-0.3327404959521809,"[0.005917, -0.275657, 0.656837, 0.005046, 0.056543]",0.0,0.0,0.2355994268344043,0.537775454997499,0.4381,1.0,marginal_gain,True
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.4134678161523166,0.0003859510118391651,-3.350332037922552,-3.40664424991073,15,8,False,0.14,,-3.759888257163128,0.00017382480178955342,5,-3.7504437242818156,0.0001776463446850666,-3.748807946116901,-0.34642044101081115,-0.33697590812949896,"[0.012716, -0.270635, 0.653641, 0.006371, 0.056637]",0.0,0.0,0.2446279525584635,0.5583838223201633,0.4381,1.0,marginal_gain,True
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5379678598641884,0.00028975580146998136,-3.350332037922552,-3.40664424991073,15,8,False,0.11,,-3.766682849962809,0.0001711264535410624,1,-3.760175470061984,0.0001737098838651482,-3.7406269657577256,-0.2287149900986205,-0.22220761019779545,"[-0.016768, -0.290459, 0.634426, 0.001037, 0.05731]",0.0,0.0,0.20099312591565893,0.4587836702023715,0.4381,1.0,marginal_gain,True
