env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x10_CD15_DGD5,0,"[-0.02607640225566433, -0.2965375576332701, -0.0026760989572278114, 0.05316224889780625, -0.21948408800897848, -0.20451585540213507]","[-0.026076, -0.296538, 0.621548, -0.002676, 0.053162]",-0.21948408800897848,-0.20451585540213507,0.40400646263451045,0.9221786410283279,0.14000000000000004,0.0002065729632485128,0.00028656650355584327,,-3.2732720019897177,-3.6849265205722084,-3.490687313367055,0.0003230819434379389,8.098498235792258
Comb_IL20x10_CD15_DGD5,1,"[-0.017963896727587546, -0.2941012270699569, -0.004001947999769264, 0.048625325737824215, -0.34001754204845547, -0.46937937961283743]","[-0.017964, -0.294101, 0.635308, -0.004002, 0.048625]",-0.34001754204845547,-0.46937937961283743,0.4022066170954619,0.9180703426054826,0.14,0.0001750967309313185,0.00028656650355584327,,-3.3466227122629943,-3.756721962150378,-3.4591994845649445,0.00034737656425040404,6.825871673604565
Comb_IL20x10_CD15_DGD5,2,"[-0.0103802710879408, -0.29332668543016854, -0.005979055212450613, 0.04347663313916483, -0.4233474949621799, -0.7390689638525638]","[-0.01038, -0.293327, 0.646837, -0.005979, 0.043477]",-0.4233474949621799,-0.7390689638525638,0.4018013435225254,0.9171452716788985,0.14000000000000004,0.0001554300871033608,0.00028656650355584327,,-3.4035582954835775,-3.8084649096135705,-3.467797668580822,0.00034056681782425205,5.12181844700732
Comb_IL20x10_CD15_DGD5,3,"[-0.0036966357655439566, -0.2943163986708916, -0.008605239057337209, 0.03793137881820683, -0.4654466295855534, -1.0096149734471853]","[-0.003697, -0.294316, 0.65545, -0.008605, 0.037931]",-0.4654466295855534,-1.0096149734471853,0.40306038726273186,0.9200191446307506,0.13999999999999999,0.00014444323693592193,0.00028656650355584327,,-3.4510674657411866,-3.84030278770812,-3.5114755418511727,0.000307981378239549,4.098052694377228
Comb_IL20x10_CD15_DGD5,4,"[0.002509845324572689, -0.2963559388484772, -0.011460510671663314, 0.03268336697616306, -0.4557574100200142, -1.275026015744983]","[0.00251, -0.296356, 0.65699, -0.011461, 0.032683]",-0.4557574100200142,-1.275026015744983,0.40786879683703053,0.9309947428373215,0.14,0.00013817127733313142,0.00028656650355584327,,-3.4945602673492395,-3.859582227527502,-3.5218032079033263,0.0003007438756292607,3.8172660502840294
Comb_IL20x10_CD15_DGD5,5,"[0.008338249344960857, -0.29863226482239097, -0.014190963376001831, 0.027474231985161957, -0.38571016496020194, -1.5229404261371065]","[0.008338, -0.298632, 0.651364, -0.014191, 0.027474]",-0.38571016496020194,-1.5229404261371065,0.4157089942718118,0.9488906511568405,0.14,0.00013437308277333638,0.00028656650355584327,,-3.536703228765885,-3.87168771918237,-3.522108297220253,0.0003005326790179275,3.5124494248822185
Comb_IL20x10_CD15_DGD5,6,"[0.013863041047744436, -0.3, -0.016375478789945688, 0.02193747849902108, -0.2565425596114289, -1.7368599021509865]","[0.013863, -0.3, 0.647824, -0.016375, 0.021937]",-0.2565425596114289,-1.7368599021509865,0.4186698493527882,0.9556490512503726,0.14,0.00013112846699160708,0.00028656650355584327,,-3.572776136445866,-3.882303016049722,-3.527613622516661,0.00029674702759622824,3.114158469800811
Comb_IL20x10_CD15_DGD5,7,"[0.019063544093569848, -0.3, -0.018181085499839666, 0.016280563062586698, -0.09070236498115769, -1.9136430880495567]","[0.019064, -0.3, 0.646475, -0.018181, 0.016281]",-0.09070236498115769,-1.9136430880495567,0.41724041697014685,0.9523862519291186,0.13999999999999999,0.00012786308721009774,0.00028656650355584327,,-3.6017930305583334,-3.893254813885232,-3.5318101583744106,0.0002938934057166957,2.8498784321672037
Comb_IL20x10_CD15_DGD5,8,"[0.023729802756077438, -0.3, -0.01996215428011623, 0.01064622943019293, 0.09266225727693886, -2.060817284550802]","[0.02373, -0.3, 0.645662, -0.019962, 0.010646]",0.09266225727693886,-2.060817284550802,0.41436341199899634,0.945819246745027,0.14,0.0001259680988515475,0.00028656650355584327,,-3.626562702724276,-3.89973942509594,-3.5326232859717006,0.00029334366521924763,2.6478351979795782
Comb_IL20x10_CD15_DGD5,9,"[0.027793713108422814, -0.3, -0.021722039604944354, 0.005040550494936834, 0.28518865225034185, -2.183084209217365]","[0.027794, -0.3, 0.645444, -0.021722, 0.005041]",0.28518865225034185,-2.183084209217365,0.41040048989645606,0.9367735446164256,0.14000000000000004,0.00012516851246919573,0.00028656650355584327,,-3.6475733965917345,-3.90250490899112,-3.528588473522433,0.0002960816732839731,2.4788567961084893
Comb_IL20x10_CD15_DGD5,10,"[0.031426208797108474, -0.3, -0.023535493342724548, -0.00026153547789494, 0.48158303649475886, -2.2849210232909773]","[0.031426, -0.3, 0.644777, -0.023535, -0.000262]",0.48158303649475886,-2.2849210232909773,0.40643669978565294,0.9277258611861514,0.14,0.00012507940669118824,0.00028656650355584327,,-3.6660986533709554,-3.902814187481504,-3.528588473522433,0.0002960816732839731,2.198909647685946
Comb_IL20x10_CD15_DGD5,11,"[0.03481404630823409, -0.3, -0.02547349963544904, -0.0048754378299293525, 0.6785285903153521, -2.3701354445099216]","[0.034814, -0.3, 0.634837, -0.025473, -0.004875]",0.6785285903153521,-2.3701354445099216,0.4101281559471397,0.9361519195323892,0.14,0.00012530459298564138,0.00028656650355584327,,-3.6906773034772207,-3.9020330098377616,-3.525683396223029,0.00029806885808253636,1.8245692312642614
Comb_IL20x10_CD15_DGD5,12,"[0.038697582806916285, -0.3, -0.026685335331190135, -0.009503659645109233, 0.875771304422504, -2.436640043626821]","[0.038698, -0.3, 0.625113, -0.026685, -0.009504]",0.875771304422504,-2.436640043626821,0.41315450069123233,0.9430598052755816,0.14,0.00012522082261449705,0.00028656650355584327,,-3.7136639139262555,-3.9023234475261193,-3.527645376849478,0.0002967253311211713,1.4510177180715136
Comb_IL20x10_CD15_DGD5,13,"[0.04282346675747316, -0.3, -0.027049310455683942, -0.014183787157960058, 1.0705893983957426, -2.4896758996993027]","[0.042823, -0.3, 0.615943, -0.027049, -0.014184]",1.0705893983957426,-2.4896758996993027,0.4152407493353445,0.9478218428106471,0.14,0.0001248651890263178,0.00028656650355584327,,-3.734453379965385,-3.903558621041203,-3.528588473522433,0.0002960816732839731,1.1777938448875942
Comb_IL20x10_CD15_DGD5,14,"[0.04696988404153342, -0.3, -0.02651566281444924, -0.01880158201372082, 1.2615850648617268, -2.53301437978791]","[0.04697, -0.3, 0.607713, -0.026516, -0.018802]",1.2615850648617268,-2.53301437978791,0.4159619086734063,0.9494679494941939,0.14000000000000004,0.00012416746952073816,0.00028656650355584327,,-3.7520471347893594,-3.9059921695228748,-3.527645376849478,0.0002967253311211713,0.937240746613126
