env,ratio,gain,gdc,gdc2,log10_ber,ber,drive_rms,symbols
Base_IL10x10,0.4,0.17524,-3.0,-3.0,-2.9913623042569846,0.0010200881340101254,0.0697478630144399,65536
Base_IL10x10,0.4,0.17524,-3.0,0.0,-3.006211685769216,0.0009857988659918322,0.07137286557763714,65536
Base_IL10x10,0.4,0.17524,-3.0,3.0,-3.0084830291326923,0.0009806566345612264,0.07450964229573377,65536
Base_IL10x10,0.4,0.17524,0.0,-3.0,-3.1012902619294658,0.000791971836967643,0.08949099454587768,65536
Base_IL10x10,0.4,0.17524,0.0,0.0,-3.0980723387563978,0.0007978617794407597,0.091950193496413,65536
Base_IL10x10,0.4,0.17524,0.0,3.0,-3.106161863665377,0.00078313770913446,0.0966705942852509,65536
Base_IL10x10,0.4,0.17524,3.0,-3.0,-3.1162658350883228,0.0007651281225672115,0.11950530288696255,65536
Base_IL10x10,0.4,0.17524,3.0,0.0,-3.1077976418302917,0.0007801935546159447,0.12312779606365963,65536
Base_IL10x10,0.4,0.17524,3.0,3.0,-3.102776393018333,0.0007892663858432688,0.1300550300565586,65536
Base_IL10x10,0.6,0.26286,-3.0,-3.0,-3.1180793217927287,0.0007619398326797894,0.10462179452165983,65536
Base_IL10x10,0.6,0.26286,-3.0,0.0,-3.1180793217927287,0.0007619398326797894,0.10705929836645571,65536
Base_IL10x10,0.6,0.26286,-3.0,3.0,-3.099523113921947,0.0007952009424038071,0.11176446344360064,65536
Base_IL10x10,0.6,0.26286,0.0,-3.0,-3.1095108550477613,0.0007771218946447237,0.13423649181881653,65536
Base_IL10x10,0.6,0.26286,0.0,0.0,-3.1111257154658247,0.0007742376463582816,0.13792529024461947,65536
Base_IL10x10,0.6,0.26286,0.0,3.0,-3.1061431686531082,0.0007831714214766947,0.14500589142787632,65536
Base_IL10x10,0.6,0.26286,3.0,-3.0,-3.1077976418302917,0.0007801935546159447,0.1792579543304438,65536
Base_IL10x10,0.6,0.26286,3.0,0.0,-3.1162658350883228,0.0007651281225672115,0.18469169409548944,65536
Base_IL10x10,0.6,0.26286,3.0,3.0,-2.9989719358714715,0.0010023700091792165,0.19508254508483788,65536
Base_IL10x10,0.8,0.35048,-3.0,-3.0,-3.1095108550477613,0.0007771218946447237,0.1394957260288798,65536
Base_IL10x10,0.8,0.35048,-3.0,0.0,-3.1180793217927287,0.0007619398326797894,0.14274573115527428,65536
Base_IL10x10,0.8,0.35048,-3.0,3.0,-3.1163245751286097,0.0007650246429713368,0.14901928459146754,65536
Base_IL10x10,0.8,0.35048,0.0,-3.0,-3.1095108550477613,0.0007771218946447237,0.17898198909175536,65536
Base_IL10x10,0.8,0.35048,0.0,0.0,-3.111358082814754,0.0007738235047192974,0.183900386992826,65536
Base_IL10x10,0.8,0.35048,0.0,3.0,-3.069540601057863,0.0008520388527667192,0.1933411885705018,65536
Base_IL10x10,0.8,0.35048,3.0,-3.0,-3.012292580876803,0.0009720921120954679,0.2390106057739251,65536
Base_IL10x10,0.8,0.35048,3.0,0.0,-2.754036260049029,0.0017618289419158368,0.24625559212731926,65536
Base_IL10x10,0.8,0.35048,3.0,3.0,-2.3263550125591634,0.004716773126007645,0.2601100601131172,65536
Base_IL10x10,1.0,0.4381,-3.0,-3.0,-3.1032386739432725,0.0007884267051854219,0.17436965753609973,65536
Base_IL10x10,1.0,0.4381,-3.0,0.0,-3.1016390463160164,0.0007913360551822257,0.17843216394409284,65536
Base_IL10x10,1.0,0.4381,-3.0,3.0,-3.094776300883744,0.0008039401140546044,0.18627410573933442,65536
Base_IL10x10,1.0,0.4381,0.0,-3.0,-3.1131128294788737,0.0007707032147611476,0.2237274863646942,65536
Base_IL10x10,1.0,0.4381,0.0,0.0,-3.006372227566883,0.0009854345217953488,0.22987548374103245,65536
Base_IL10x10,1.0,0.4381,0.0,3.0,-2.6638227249218707,0.0021685891226383034,0.24167648571312725,65536
Base_IL10x10,1.0,0.4381,3.0,-3.0,-2.353446843211866,0.004431524521561639,0.2987632572174064,65536
Base_IL10x10,1.0,0.4381,3.0,0.0,-2.10853331275018,0.0077887306845932066,0.3078194901591491,65536
Base_IL10x10,1.0,0.4381,3.0,3.0,-1.808830228850776,0.015529939760997624,0.32513757514139646,65536
Base_IL10x10,1.3,0.56953,-3.0,-3.0,-3.1147303304103438,0.0007678381206026114,0.22668055479692964,65536
Base_IL10x10,1.3,0.56953,-3.0,0.0,-3.082498420797906,0.0008269925157116844,0.2319618131273207,65536
Base_IL10x10,1.3,0.56953,-3.0,3.0,-2.8718430693316246,0.0013432502518514451,0.24215633746113474,65536
Base_IL10x10,1.3,0.56953,0.0,-3.0,-2.5676023787243225,0.0027064351252703727,0.29084573227410243,65536
Base_IL10x10,1.3,0.56953,0.0,0.0,-2.3133138960177493,0.004860557710598443,0.2988381288633422,65536
Base_IL10x10,1.3,0.56953,0.0,3.0,-1.9780968972270172,0.010517271924668182,0.3141794314270654,65536
Base_IL10x10,1.3,0.56953,3.0,-3.0,-1.7042647474010069,0.019757648399225215,0.38839223438262827,65536
Base_IL10x10,1.3,0.56953,3.0,0.0,-1.5617383903054927,0.0274322613499572,0.40016533720689385,65536
Base_IL10x10,1.3,0.56953,3.0,3.0,-1.381210325420145,0.0415709237004724,0.42267884768381536,65536
IL14x14,0.4,0.17524,-3.0,-3.0,-2.046385241187979,0.008987000354298426,0.055440143430235234,65536
IL14x14,0.4,0.17524,-3.0,0.0,-2.0186693001476876,0.009579232182223242,0.05720892751447286,65536
IL14x14,0.4,0.17524,-3.0,3.0,-2.0261118256148376,0.009416471024813002,0.06058796953710274,65536
IL14x14,0.4,0.17524,0.0,-3.0,-2.534012680595359,0.002924066999250496,0.07235256966474947,65536
IL14x14,0.4,0.17524,0.0,0.0,-2.4891905446560383,0.0032419734608435218,0.07499780704011338,65536
IL14x14,0.4,0.17524,0.0,3.0,-2.5098109166582208,0.0030916411797698427,0.08002167692841983,65536
IL14x14,0.4,0.17524,3.0,-3.0,-2.8959719507925894,0.0012706561687598622,0.09771071980533588,65536
IL14x14,0.4,0.17524,3.0,0.0,-2.8596550157859935,0.0013814812160743452,0.10157383370570447,65536
IL14x14,0.4,0.17524,3.0,3.0,-2.8802907445785237,0.0013173745082963864,0.10888381998016666,65536
IL14x14,0.6,0.26286,-3.0,-3.0,-2.8775471723686725,0.0013257231120259976,0.08316021514535285,65536
IL14x14,0.6,0.26286,-3.0,0.0,-2.8776973288237073,0.0013252648251220608,0.08581339127170927,65536
IL14x14,0.6,0.26286,-3.0,3.0,-2.868641967142382,0.001353187672916411,0.09088195430565411,65536
IL14x14,0.6,0.26286,0.0,-3.0,-2.906855380558938,0.0012392091727126391,0.1085288544971242,65536
IL14x14,0.6,0.26286,0.0,0.0,-2.8954845993700142,0.0012720828589481877,0.11249671056017006,65536
IL14x14,0.6,0.26286,0.0,3.0,-2.898620422210625,0.0012629308667669026,0.12003251539262971,65536
IL14x14,0.6,0.26286,3.0,-3.0,-2.914218213985911,0.0012183772638052449,0.1465660797080038,65536
IL14x14,0.6,0.26286,3.0,0.0,-2.906900022023228,0.0012390817999938146,0.1523607505585567,65536
IL14x14,0.6,0.26286,3.0,3.0,-2.828211070945127,0.0014852136399350314,0.16332572997025,65536
IL14x14,0.8,0.35048,-3.0,-3.0,-2.9131653742376344,0.001221334501774168,0.11088028686047047,65536
IL14x14,0.8,0.35048,-3.0,0.0,-2.911020670902498,0.001227380810722688,0.11441785502894572,65536
IL14x14,0.8,0.35048,-3.0,3.0,-2.9078388982670877,0.0012364059937457824,0.12117593907420549,65536
IL14x14,0.8,0.35048,0.0,-3.0,-2.913134063579504,0.001221422557614543,0.14470513932949894,65536
IL14x14,0.8,0.35048,0.0,0.0,-2.9047872764251763,0.0012451243419311403,0.14999561408022677,65536
IL14x14,0.8,0.35048,0.0,3.0,-2.8601961633261,0.0013797609096314856,0.16004335385683965,65536
IL14x14,0.8,0.35048,3.0,-3.0,-2.8792622942376123,0.0013204978722744197,0.19542143961067177,65536
IL14x14,0.8,0.35048,3.0,0.0,-2.7069324023068035,0.0019636658965491312,0.20314766741140894,65536
IL14x14,0.8,0.35048,3.0,3.0,-2.3553892869780215,0.004411748157862988,0.21776763996033333,65536
IL14x14,1.0,0.4381,-3.0,-3.0,-2.9131418906091784,0.001221400544844743,0.13860035857558808,65536
IL14x14,1.0,0.4381,-3.0,0.0,-2.911020670902498,0.001227380810722688,0.14302231878618213,65536
IL14x14,1.0,0.4381,-3.0,3.0,-2.9089072782254917,0.0012333681289401028,0.15146992384275684,65536
IL14x14,1.0,0.4381,0.0,-3.0,-2.9089836521945163,0.0012331512508975781,0.1808814241618737,65536
IL14x14,1.0,0.4381,0.0,0.0,-2.852861204725612,0.0014032620985365064,0.1874945176002835,65536
IL14x14,1.0,0.4381,0.0,3.0,-2.6007643721523794,0.0025074693194710885,0.20005419232104954,65536
IL14x14,1.0,0.4381,3.0,-3.0,-2.4645320954268315,0.003431372801732477,0.2442767995133397,65536
IL14x14,1.0,0.4381,3.0,0.0,-2.2219972769467797,0.005997948369943861,0.25393458426426113,65536
IL14x14,1.0,0.4381,3.0,3.0,-1.91430357243142,0.012181378212747526,0.2722095499504167,65536
IL14x14,1.3,0.56953,-3.0,-3.0,-2.915278766914641,0.0012154056001425734,0.18018046614826447,65536
IL14x14,1.3,0.56953,-3.0,0.0,-2.9089148800228153,0.0012333465405182447,0.1859290144220368,65536
IL14x14,1.3,0.56953,-3.0,3.0,-2.7581199658911477,0.001745339968147517,0.1969109009955839,65536
IL14x14,1.3,0.56953,0.0,-3.0,-2.7078749014933243,0.0019594089999024275,0.23514585141043579,65536
IL14x14,1.3,0.56953,0.0,0.0,-2.417586479838871,0.0038230811813758938,0.24374287288036853,65536
IL14x14,1.3,0.56953,0.0,3.0,-2.076999671215927,0.008375299161814337,0.2600704500173644,65536
IL14x14,1.3,0.56953,3.0,-3.0,-1.842184791879759,0.014381865010881834,0.3175598393673416,65536
IL14x14,1.3,0.56953,3.0,0.0,-1.6867040517773413,0.02057292051790855,0.33011495954353953,65536
IL14x14,1.3,0.56953,3.0,3.0,-1.4696333623993774,0.03391303339931015,0.35387241493554167,65536
IL20x20,0.4,0.17524,-3.0,-3.0,-0.9006782499972883,0.12569608467670643,0.04403306636173866,65536
IL20x20,0.4,0.17524,-3.0,0.0,-0.8940566504588024,0.1276272317798525,0.04600002100304583,65536
IL20x20,0.4,0.17524,-3.0,3.0,-0.8842877911459462,0.13053056229470997,0.04968997780240075,65536
IL20x20,0.4,0.17524,0.0,-3.0,-0.9546484171554912,0.11100731106453275,0.058478132679490806,65536
IL20x20,0.4,0.17524,0.0,0.0,-0.9402322234472841,0.11475398515070248,0.061382854852322324,65536
IL20x20,0.4,0.17524,0.0,3.0,-0.917366371655708,0.12095773012977926,0.06679871566590205,65536
IL20x20,0.4,0.17524,3.0,-3.0,-1.032101676811832,0.09287489230807573,0.07983864202508982,65536
IL20x20,0.4,0.17524,3.0,0.0,-0.9980751458806721,0.10044419768624444,0.08404560750496777,65536
IL20x20,0.4,0.17524,3.0,3.0,-0.9473092114202993,0.11289918025348461,0.09186098484347664,65536
IL20x20,0.6,0.26286,-3.0,-3.0,-1.1259664798738938,0.07482272486633904,0.06604959954260799,65536
IL20x20,0.6,0.26286,-3.0,0.0,-1.1033250422488055,0.07882699260624926,0.06900003150456874,65536
IL20x20,0.6,0.26286,-3.0,3.0,-1.0660094260974036,0.08589948773420666,0.0745349667036011,65536
IL20x20,0.6,0.26286,0.0,-3.0,-1.1745561129132056,0.0669027372941828,0.08771719901923619,65536
IL20x20,0.6,0.26286,0.0,0.0,-1.1265583567218067,0.07472082240916351,0.09207428227848348,65536
IL20x20,0.6,0.26286,0.0,3.0,-1.027279612955702,0.09391184807656029,0.10019807349885305,65536
IL20x20,0.6,0.26286,3.0,-3.0,-1.1771559645687881,0.06650342850752936,0.11975796303763471,65536
IL20x20,0.6,0.26286,3.0,0.0,-1.0764116167367401,0.08386647379035558,0.12606841125745166,65536
IL20x20,0.6,0.26286,3.0,3.0,-0.996731640341639,0.10075540653001996,0.1377914772652149,65536
