step,predA,predB,real,gdc,gdc2,taps
0,-2.290977154276911,-1.7143488539788385,-3.0202987267265478,-0.00531937863191587,-0.003158024643796302,"[-0.0008, 0.0002, -0.0291, -0.2981, 0.5972, -0.0142, 0.0484, -0.0079, -0.0041]"
1,-2.3548583389165887,-1.7067248883100914,-3.0081780940506944,-0.010625274638503098,-0.006144999361964533,"[-0.001, 0.001, -0.0241, -0.2978, 0.5887, -0.0273, 0.0388, -0.0142, -0.0071]"
2,-2.414837186983754,-1.696429114359637,-3.0327673672861457,-0.015268304449536443,-0.008634169717736536,"[-0.0008, 0.0022, -0.0197, -0.2978, 0.5795, -0.0401, 0.0308, -0.0198, -0.0093]"
3,-2.4705566464063424,-1.6837954962888664,-3.0818167646457626,-0.019292393950629996,-0.010680842468220576,"[-0.0003, 0.0037, -0.0156, -0.2979, 0.5698, -0.0522, 0.0241, -0.025, -0.0114]"
4,-2.5218593295735383,-1.669145507402776,-3.077121643437383,-0.022784920802042096,-0.012357033735423139,"[0.0003, 0.0054, -0.0118, -0.298, 0.5595, -0.0637, 0.0185, -0.0296, -0.0132]"
5,-2.568722744192273,-1.653379732261554,-3.0724767383916194,-0.02582864832900669,-0.013728533676315581,"[0.001, 0.007, -0.0081, -0.298, 0.5491, -0.0745, 0.0139, -0.0336, -0.0148]"
6,-2.611151595421082,-1.6398493482252658,-3.0865631996702243,-0.028468811213555496,-0.014841856396123015,"[0.0016, 0.0086, -0.0041, -0.2978, 0.5402, -0.0845, 0.0101, -0.037, -0.016]"
7,-2.649442339052688,-1.6282014629418908,-3.0865631996702243,-0.03073417240328649,-0.015739561410057282,"[0.0022, 0.0101, 0.0004, -0.2974, 0.5325, -0.0937, 0.0071, -0.0398, -0.0169]"
8,-2.6796183059127445,-1.6063362324260804,-3.0818167646457626,-0.032673668638042275,-0.016466692560628153,"[0.0027, 0.0113, 0.0052, -0.2968, 0.5197, -0.1, 0.0047, -0.0421, -0.0175]"
9,-2.6907890673060235,-1.5984490621908813,-3.0865631996702243,-0.03439485363358017,-0.017071269241137686,"[0.0029, 0.0123, 0.0098, -0.2959, 0.5146, -0.1, 0.0027, -0.0439, -0.0178]"
10,-2.700433532964729,-1.591410862167294,-3.0865631996702243,-0.03596755236834167,-0.017611052979224436,"[0.0031, 0.0131, 0.0141, -0.2951, 0.5101, -0.1, 0.0011, -0.0454, -0.018]"
11,-2.7088981368377043,-1.5838771719539522,-3.126526499615244,-0.03740673485570329,-0.01809503055330933,"[0.0032, 0.0138, 0.0179, -0.2945, 0.5054, -0.1, -0.0003, -0.0468, -0.0181]"
12,-2.716583823701791,-1.5740379618986753,-3.126526499615244,-0.0387248911342398,-0.018529306902758523,"[0.0033, 0.0143, 0.0214, -0.2938, 0.4996, -0.1, -0.0016, -0.0479, -0.0181]"
13,-2.723383034649587,-1.5657928663510825,-3.126526499615244,-0.03993244327637704,-0.01891737821913978,"[0.0033, 0.0146, 0.0246, -0.2932, 0.4947, -0.1, -0.0027, -0.0489, -0.0181]"
14,-2.7294138855126224,-1.5588398398818246,-3.126526499615244,-0.04103876580056709,-0.01926554784328342,"[0.0032, 0.0149, 0.0275, -0.2925, 0.4905, -0.1, -0.0037, -0.0496, -0.018]"
15,-2.73477604021491,-1.552932022190751,-3.0818167646457626,-0.042052421077181955,-0.019578951510213143,"[0.0032, 0.0151, 0.0301, -0.2919, 0.487, -0.1, -0.0046, -0.0503, -0.0178]"
16,-2.7395542428884965,-1.5478721734939997,-3.0818167646457626,-0.04298126782440607,-0.01986182735672765,"[0.003, 0.0152, 0.0325, -0.2913, 0.4839, -0.1, -0.0055, -0.0508, -0.0176]"
17,-2.743821039963093,-1.5435046385929858,-3.0865631996702243,-0.04383252108638762,-0.020117718339766992,"[0.0029, 0.0152, 0.0347, -0.2908, 0.4813, -0.1, -0.0063, -0.0513, -0.0174]"
18,-2.7476388321125373,-1.5397070984841943,-3.0865631996702243,-0.04461279478716974,-0.02034962315354204,"[0.0028, 0.0152, 0.0367, -0.2903, 0.479, -0.1, -0.0071, -0.0517, -0.0172]"
19,-2.7510614604412447,-1.536383263049697,-3.0865631996702243,-0.04532814071279371,-0.020560108792951347,"[0.0027, 0.0152, 0.0385, -0.2899, 0.4769, -0.1, -0.0078, -0.052, -0.017]"
20,-2.7541354824191284,-1.5334568902020294,-3.126526499615244,-0.045984088166894095,-0.020751394920265433,"[0.0025, 0.0152, 0.0401, -0.2894, 0.4751, -0.1, -0.0085, -0.0523, -0.0168]"
21,-2.756901232712658,-1.5308671059665726,-3.0865631996702243,-0.046585684397991205,-0.02092541763170738,"[0.0024, 0.0151, 0.0416, -0.2891, 0.4735, -0.1, -0.0091, -0.0526, -0.0167]"
22,-2.7593937223578795,-1.5285648325303374,-3.0865631996702243,-0.047137534655727086,-0.021083878195544303,"[0.0023, 0.015, 0.0429, -0.2887, 0.4721, -0.1, -0.0097, -0.0528, -0.0165]"
23,-2.761643406845074,-1.5265100949488368,-3.0865631996702243,-0.0476438407154654,-0.021228280797592834,"[0.0022, 0.015, 0.0441, -0.2884, 0.4709, -0.1, -0.0102, -0.053, -0.0163]"
24,-2.763674001465425,-1.5246852686928207,-3.0865631996702243,-0.04810880846763651,-0.021360067465537536,"[0.0021, 0.0149, 0.0452, -0.2881, 0.4697, -0.1, -0.0107, -0.0531, -0.0161]"
